cs_chr	Cadenza_v2_tgt_chr	n_anchors	Cadenza_v2_mean_anchor_gap_Mb	Cadenza_v2_interp_type	n_segments	Cadenza_v2_mean_anchor_fraction
Chr1A	Chr1A+Chr1A	3959	0.108	linear+linear	2	0.945
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4211	0.21	pchip_inverted+pchip+linear+pchip+linear	5	0.913
Chr1D	Chr1D	4195	0.118	linear	1	0.959
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A	5252	0.323	linear+linear+linear+linear	4	0.937
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5315	0.2	linear+linear+pchip_inverted+pchip+linear	5	0.899
Chr2D	Chr2D+Chr2D+Chr2D+Chr2D	5448	0.07	linear+linear+pchip_inverted+linear	4	0.954
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A	5007	0.121	linear+pchip_inverted+pchip+pchip	4	0.973
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5292	0.3	pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip_inverted	5	0.927
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D	5146	0.141	linear+pchip_inverted+pchip_inverted+linear	4	0.983
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4540	0.339	linear+pchip_inverted+pchip+linear+pchip+linear+linear+pchip+linear+linear	10	0.967
Chr4B	Chr4B	3622	0.186	linear	1	0.806
Chr4D	Chr4D+Chr4D	3559	0.1	linear+pchip	2	0.994
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5231	0.159	pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear+pchip_inverted	6	0.965
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5230	0.149	pchip_inverted+pchip_inverted+pchip+pchip+pchip_inverted+linear+pchip+linear	8	0.935
Chr5D	Chr5D+Chr5D+Chr5D	5410	0.07	pchip_inverted+linear+pchip	3	0.978
Chr6A	Chr6A	3920	0.158	linear	1	0.973
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B	3930	0.186	linear+pchip_inverted+pchip_inverted+pchip	4	0.77
Chr6D	Chr6D+Chr6D+Chr6D	3856	0.09	linear+pchip_inverted+linear	3	0.98
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	5110	0.091	pchip_inverted+linear+pchip_inverted+linear+pchip+pchip_inverted	6	0.956
Chr7B	Chr7B+Chr7B	4217	0.257	linear+linear	2	0.92
Chr7D	Chr7D+Chr7D+Chr7D	5255	0.072	linear+linear+pchip_inverted	3	0.98
