cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr3D	21214157	116955327	Chr3D	25311327	129008791	968	0.999724173553719
Chr3D	119094314	145655212	Chr3D	131138698	157748373	160	0.99979375
Chr3D	147725835	194192900	Chr3D	159856263	206886140	261	0.9999310344827586
Chr3D	197544325	200969144	Chr3D	210229046	213649152	5	1.0
Chr3D	203187169	203224239	Chr3D	216178925	216214976	4	0.99725
Chr3D	207531742	214535149	Chr3D	220512753	227503331	11	1.0
Chr3D	216957444	220088873	Chr3D	229934298	233045741	6	1.0
Chr3D	226016244	232933791	Chr3D	239188475	246099555	13	0.9999230769230769
Chr3D	235055553	258632836	Chr3D	248213620	271779739	42	0.9992857142857142
Chr3D	260879965	492833467	Chr3D	274023359	505345158	1675	0.9996979104477612
Chr3D	495347019	619489515	Chr3D	508309661	633225532	1639	0.9998407565588774
