gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity	segment
gene:TraesCS6A03G0000400	Chr6A	117718	120689	-	119203	Chr6A	288059	291030	+	289544	1.0	1.0	collinear
gene:TraesCS6A03G0000500	Chr6A	120701	122577	-	121639	Chr6A	286171	288047	+	287109	1.0	1.0	collinear
gene:TraesCS6A03G0000900	Chr6A	298705	305357	-	302031	Chr6A	103455	110107	+	106781	1.0	1.0	collinear
gene:TraesCS6A03G0001000	Chr6A	350333	351902	-	351117	Chr6A	56821	58390	+	57605	1.0	1.0	collinear
gene:TraesCS6A03G0001100	Chr6A	1025042	1029912	+	1027477	Chr6A	1334641	1339511	-	1337076	1.0	0.997	collinear
gene:TraesCS6A03G0001200	Chr6A	1092697	1097130	+	1094913	Chr6A	1267353	1271786	-	1269569	1.0	1.0	collinear
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	1090568	1092586	+	1091577	1.0	1.0	collinear
gene:TraesCS6A03G0001500	Chr6A	1298952	1300428	-	1299690	Chr6A	1062071	1063547	+	1062809	1.0	1.0	collinear
gene:TraesCS6A03G0001600	Chr6A	1304914	1305519	-	1305216	Chr6A	1056980	1057585	+	1057282	1.0	1.0	collinear
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	1029778	1031799	-	1030788	1.0	0.997	collinear
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	967860	968797	-	968328	1.0	1.0	collinear
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	955857	960217	+	958037	1.0	1.0	collinear
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	942509	947206	-	944857	1.0	1.0	collinear
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	932264	933310	+	932787	1.0	1.0	collinear
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	925885	926272	-	926078	1.0	1.0	collinear
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	917908	918405	+	918156	1.0	1.0	collinear
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	914925	915899	-	915412	1.0	1.0	collinear
gene:TraesCS6A03G0002800	Chr6A	1493591	1500030	+	1496810	Chr6A	860722	867161	-	863941	1.0	1.0	collinear
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	818204	825117	-	821660	1.0	1.0	collinear
gene:TraesCS6A03G0003100	Chr6A	1544392	1548820	-	1546606	Chr6A	811604	816032	+	813818	1.0	1.0	collinear
gene:TraesCS6A03G0003300	Chr6A	1558341	1564627	+	1561484	Chr6A	795316	801602	-	798459	1.0	1.0	collinear
gene:TraesCS6A03G0003500	Chr6A	1571628	1573212	-	1572420	Chr6A	786731	788315	+	787523	1.0	1.0	collinear
gene:TraesCS6A03G0003600	Chr6A	1584804	1587503	+	1586153	Chr6A	771942	774641	-	773291	1.0	1.0	collinear
gene:TraesCS6A03G0003700	Chr6A	1590243	1592797	-	1591520	Chr6A	766648	769202	+	767925	1.0	1.0	collinear
gene:TraesCS6A03G0004300	Chr6A	1712278	1718977	+	1715627	Chr6A	637766	644465	-	641115	1.0	1.0	collinear
gene:TraesCS6A03G0004400	Chr6A	1717372	1719718	-	1718545	Chr6A	637025	639371	+	638198	1.0	1.0	collinear
gene:TraesCS6A03G0004500	Chr6A	1720510	1722005	-	1721257	Chr6A	634738	636233	+	635485	1.0	1.0	collinear
gene:TraesCS6A03G0004800	Chr6A	1722453	1727315	-	1724884	Chr6A	629428	634290	+	631859	1.0	1.0	collinear
gene:TraesCS6A03G0004900	Chr6A	1735764	1739970	+	1737867	Chr6A	616773	620979	-	618876	1.0	1.0	collinear
gene:TraesCS6A03G0005000	Chr6A	1741213	1746701	-	1743957	Chr6A	610042	615530	+	612786	1.0	1.0	collinear
gene:TraesCS6A03G0005200	Chr6A	1781267	1784895	+	1783081	Chr6A	571479	575107	-	573293	1.0	1.0	collinear
gene:TraesCS6A03G0006100	Chr6A	1985933	1987522	-	1986727	Chr6A	1430060	1431649	-	1430854	1.0	1.0	collinear
gene:TraesCS6A03G0006500	Chr6A	2049229	2059125	-	2054177	Chr6A	1494577	1504714	-	1499645	1.0	1.0	collinear
gene:TraesCS6A03G0006700	Chr6A	2144282	2144913	+	2144597	Chr6A	1590045	1590678	+	1590361	1.0	1.0	collinear
gene:TraesCS6A03G0006800	Chr6A	2178104	2178808	+	2178456	Chr6A	1624440	1625144	+	1624792	1.0	1.0	collinear
gene:TraesCS6A03G0007100	Chr6A	2203802	2204371	+	2204086	Chr6A	1650398	1650967	+	1650682	1.0	1.0	collinear
gene:TraesCS6A03G0007500	Chr6A	2212597	2221548	-	2217072	Chr6A	1659193	1668144	-	1663668	1.0	1.0	collinear
gene:TraesCS6A03G0007600	Chr6A	2224806	2228302	+	2226554	Chr6A	1671926	1675422	+	1673674	1.0	0.998	collinear
gene:TraesCS6A03G0007800	Chr6A	2268384	2269573	+	2268978	Chr6A	1716008	1717197	+	1716602	1.0	0.999	collinear
