cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr4B	233162	86155240	Chr4B	694107	84029275	755	0.9889920529801326
Chr4B	88370406	155154630	Chr4B	86249592	152823896	366	0.9939153005464482
Chr4B	157172475	164642854	Chr4B	154824592	162545225	11	0.9847272727272728
Chr4B	167236891	171319950	Chr4B	165203999	169249741	19	0.994157894736842
Chr4B	174289334	207224234	Chr4B	172126100	205160892	130	0.9870153846153848
Chr4B	212453315	221887890	Chr4B	210322801	219746895	23	0.992
Chr4B	224505993	226695727	Chr4B	222349470	230192207	4	0.98025
Chr4B	294688008	296591676	Chr4B	295630521	297434261	4	0.98425
Chr4B	357379310	364046502	Chr4B	357864869	364511831	11	0.9935454545454546
Chr4B	366288893	428374125	Chr4B	366725251	429322075	286	0.9912727272727272
Chr4B	430804721	673727606	Chr4B	431640691	673536467	1703	0.9876870229007634
