gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity	segment
gene:TraesCS7B03G0626700	Chr7B	417496754	417498580	+	417497667	Chr7B	399572148	399573974	-	399573061	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0626800	Chr7B	417505050	417509375	+	417507212	Chr7B	399561407	399565732	-	399563569	1.0	0.991	rearrangement:Chr7B_block1
gene:TraesCS7B03G0627000	Chr7B	417636562	417638048	-	417637305	Chr7B	399431487	399432973	+	399432230	1.0	0.998	rearrangement:Chr7B_block1
gene:TraesCS7B03G0627100	Chr7B	417827828	417829249	+	417828538	Chr7B	399240126	399241547	-	399240836	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0627300	Chr7B	417835811	417843022	+	417839416	Chr7B	399226292	399233503	-	399229897	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0627400	Chr7B	417984890	417990486	-	417987688	Chr7B	399080256	399085852	+	399083054	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0627500	Chr7B	418287290	418303827	+	418295558	Chr7B	398752815	398769435	-	398761125	0.999	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B03G0627800	Chr7B	418307782	418309645	+	418308713	Chr7B	398747185	398749048	-	398748116	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0628200	Chr7B	418710843	418712678	+	418711760	Chr7B	398341675	398343510	-	398342592	1.0	0.999	rearrangement:Chr7B_block1
gene:TraesCS7B03G0628900	Chr7B	420056489	420057588	+	420057038	Chr7B	397008002	397009101	-	397008551	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0629400	Chr7B	420162347	420177022	+	420169684	Chr7B	396889519	396904194	-	396896856	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0629900	Chr7B	421185756	421188880	+	421187318	Chr7B	395895028	395898152	-	395896590	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B03G0630900	Chr7B	422353516	422362593	+	422358054	Chr7B	404051342	404060419	+	404055880	1.0	0.999	rearrangement:Chr7B_block2
gene:TraesCS7B03G0631300	Chr7B	422591752	422595784	+	422593768	Chr7B	404289895	404293939	+	404291917	1.0	0.994	rearrangement:Chr7B_block2
gene:TraesCS7B03G0631400	Chr7B	422606124	422610467	+	422608295	Chr7B	404304414	404308757	+	404306585	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0631600	Chr7B	422788965	422791529	-	422790247	Chr7B	404484453	404487017	-	404485735	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0631700	Chr7B	422792407	422803233	-	422797820	Chr7B	404487895	404498721	-	404493308	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0632700	Chr7B	422933841	422940942	+	422937391	Chr7B	404628870	404635968	+	404632419	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0632800	Chr7B	423472097	423510650	-	423491373	Chr7B	405137094	405175764	-	405156429	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0633300	Chr7B	423592624	423594566	-	423593595	Chr7B	405257179	405259121	-	405258150	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0633500	Chr7B	423766312	423771127	+	423768719	Chr7B	405430153	405434968	+	405432560	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0633700	Chr7B	423771321	423773934	-	423772627	Chr7B	405435162	405437775	-	405436468	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0633800	Chr7B	423774496	423781660	-	423778078	Chr7B	405438337	405445501	-	405441919	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0634200	Chr7B	425783206	425800146	-	425791676	Chr7B	407426466	407443504	-	407434985	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0634500	Chr7B	426421116	426425385	-	426423250	Chr7B	408062712	408066981	-	408064846	1.0	0.999	rearrangement:Chr7B_block2
gene:TraesCS7B03G0635100	Chr7B	427620859	427621964	-	427621411	Chr7B	409258910	409260015	-	409259462	1.0	0.998	rearrangement:Chr7B_block2
gene:TraesCS7B03G0634900	Chr7B	427613592	427629605	+	427621598	Chr7B	409251642	409267656	+	409259649	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0635200	Chr7B	427649970	427654523	-	427652246	Chr7B	409288033	409292586	-	409290309	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0635600	Chr7B	427857502	427859399	+	427858450	Chr7B	409495894	409497790	+	409496842	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0635800	Chr7B	428262793	428264048	+	428263420	Chr7B	409899667	409900922	+	409900294	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0636200	Chr7B	428469335	428469667	-	428469501	Chr7B	410106540	410106872	-	410106706	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0636600	Chr7B	428478643	428483684	-	428481163	Chr7B	410115846	410120887	-	410118366	1.0	0.999	rearrangement:Chr7B_block2
gene:TraesCS7B03G0636700	Chr7B	428765327	428766351	+	428765839	Chr7B	410402818	410403842	+	410403330	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0636800	Chr7B	428771555	428774785	-	428773170	Chr7B	410409145	410412479	-	410410812	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0637200	Chr7B	428862183	428864701	-	428863442	Chr7B	410499875	410502393	-	410501134	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0637500	Chr7B	429244108	429249544	+	429246826	Chr7B	410882142	410886883	+	410884512	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0637600	Chr7B	429247357	429248775	-	429248066	Chr7B	410884696	410886114	-	410885405	1.0	0.997	rearrangement:Chr7B_block2
gene:TraesCS7B03G0638000	Chr7B	429272295	429275799	-	429274047	Chr7B	410909433	410912937	-	410911185	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0638200	Chr7B	429350668	429351687	+	429351177	Chr7B	410988031	410989050	+	410988540	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0638400	Chr7B	429858434	429860927	+	429859680	Chr7B	411496366	411498859	+	411497612	1.0	0.999	rearrangement:Chr7B_block2
gene:TraesCS7B03G0639400	Chr7B	430104709	430105817	+	430105263	Chr7B	411742475	411743583	+	411743029	1.0	1.0	rearrangement:Chr7B_block2
gene:TraesCS7B03G0639500	Chr7B	430166600	430169708	+	430168154	Chr7B	411805198	411808306	+	411806752	1.0	1.0	rearrangement:Chr7B_block2
