cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr3A	43283	1921282	Chr3A	216671	2222127	22	0.9739090909090908
Chr3A	6895728	128718501	Chr3A	2354607	132208763	1260	0.9941912698412698
Chr3A	130835529	181088605	Chr3A	134280824	183675594	211	0.9960047393364928
Chr3A	184214632	251342423	Chr3A	187173644	254116064	200	0.9987100000000001
Chr3A	259064196	267056348	Chr3A	261730247	269689438	12	0.99775
Chr3A	269215500	273159995	Chr3A	271831041	275732227	6	1.0
Chr3A	275284207	283103162	Chr3A	277853594	285623186	7	0.9997142857142858
Chr3A	290432064	293589663	Chr3A	291619425	294749932	5	0.9911999999999999
Chr3A	295949198	314620161	Chr3A	297092755	315543782	24	0.9992083333333334
Chr3A	321109384	337881732	Chr3A	321566237	338705681	30	0.9991333333333332
Chr3A	340259729	343231466	Chr3A	341085313	344017636	8	0.996625
Chr3A	345871376	349014829	Chr3A	346663188	349791621	6	0.9998333333333335
Chr3A	351126951	528599904	Chr3A	351879903	528587162	861	0.9982241579558653
Chr3A	531630423	545153837	Chr3A	528711509	542311989	96	0.9953958333333333
Chr3A	556260652	750618114	Chr3A	545834350	743797360	2079	0.9956507936507937
