gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	693322	694892	-	694107	0.961	0.927
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	695239	696839	-	696039	1.0	0.998
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	1097197	1101092	+	1099144	0.979	0.975
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	1101965	1106099	-	1104032	0.999	0.99
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	1156394	1157608	+	1157001	0.985	0.969
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	1159029	1164340	-	1161684	1.0	0.992
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	1176088	1179335	+	1177711	0.996	0.974
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	1210501	1211130	+	1210815	1.0	0.973
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	1292764	1293783	-	1293273	1.0	0.965
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	1314880	1315272	+	1315076	1.0	0.997
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	1338350	1339968	+	1339159	1.0	1.0
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	1338499	1339866	-	1339182	1.0	1.0
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	1345653	1348932	+	1347292	1.0	1.0
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	1567499	1569500	+	1568499	0.993	0.978
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	1581433	1582353	+	1581893	1.0	0.994
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	1584012	1585757	-	1584884	1.0	0.996
gene:TraesCS4B03G0002700	Chr4B	1144783	1145893	+	1145338	Chr4B	1587423	1588595	+	1588009	0.996	0.9
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	1703807	1705561	+	1704684	0.98	0.946
gene:TraesCS4B03G0003100	Chr4B	1304995	1306038	+	1305516	Chr4B	1717078	1718106	+	1717592	0.985	0.925
gene:TraesCS4B03G0003200	Chr4B	1322700	1324740	+	1323720	Chr4B	1734765	1736805	+	1735785	1.0	0.999
gene:TraesCS4B03G0003300	Chr4B	1336993	1338899	+	1337946	Chr4B	1749044	1750950	+	1749997	1.0	1.0
gene:TraesCS4B03G0003400	Chr4B	1351991	1352386	-	1352188	Chr4B	1764036	1764431	-	1764233	1.0	1.0
gene:TraesCS4B03G0003600	Chr4B	1386123	1388841	+	1387482	Chr4B	1797931	1800619	+	1799275	0.998	0.981
gene:TraesCS4B03G0003700	Chr4B	1405651	1408832	+	1407241	Chr4B	1808528	1811786	+	1810157	0.98	0.901
gene:TraesCS4B03G0004400	Chr4B	1769850	1774224	+	1772037	Chr4B	2085765	2090158	+	2087961	0.946	0.92
gene:TraesCS4B03G0005300	Chr4B	2021348	2025490	-	2023419	Chr4B	2250089	2254238	-	2252163	0.966	0.901
gene:TraesCS4B03G0007000	Chr4B	2416943	2418089	+	2417516	Chr4B	3056750	3057892	+	3057321	1.0	0.958
gene:TraesCS4B03G0007800	Chr4B	3611489	3612627	+	3612058	Chr4B	2939216	2940354	-	2939785	1.0	0.985
gene:TraesCS4B03G0009600	Chr4B	4394789	4395654	-	4395221	Chr4B	2818113	2818967	-	2818540	0.987	0.967
gene:TraesCS4B03G0010200	Chr4B	4649709	4654096	+	4651902	Chr4B	3154982	3159415	-	3157198	0.997	0.914
gene:TraesCS4B03G0010500	Chr4B	4702115	4703499	+	4702807	Chr4B	3864261	3865625	+	3864943	0.985	0.963
gene:TraesCS4B03G0010700	Chr4B	4748349	4751329	-	4749839	Chr4B	3031361	3034332	-	3032846	0.994	0.966
gene:TraesCS4B03G0010800	Chr4B	4757354	4758546	-	4757950	Chr4B	3002839	3004036	-	3003437	1.0	0.962
gene:TraesCS4B03G0011200	Chr4B	5005176	5006735	+	5005955	Chr4B	3957088	3958633	+	3957860	0.991	0.924
gene:TraesCS4B03G0011300	Chr4B	5013958	5015724	-	5014841	Chr4B	3967102	3968820	-	3967961	0.972	0.947
gene:TraesCS4B03G0011400	Chr4B	5016147	5018598	+	5017372	Chr4B	3969256	3971814	+	3970535	1.0	0.969
gene:TraesCS4B03G0011800	Chr4B	5050011	5052020	-	5051015	Chr4B	3990472	3992448	-	3991460	0.967	0.904
