cs_chr	Aikang58_tgt_chr	n_anchors	Aikang58_mean_anchor_gap_Mb	Aikang58_interp_type	n_segments	Aikang58_mean_anchor_fraction
Chr1A	Chr1A	3767	0.159	linear	1	0.918
Chr1B	Chr1B	3337	0.21	linear	1	0.691
Chr1D	Chr1D	4337	0.115	linear	1	0.971
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5376	0.16	linear+pchip+pchip+linear+linear+linear+linear	7	0.938
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5473	0.141	linear+linear+linear+pchip+pchip_inverted+linear	6	0.914
Chr2D	Chr2D+Chr2D+Chr2D	5727	0.08	linear+pchip_inverted+pchip_inverted	3	0.976
Chr3A	Chr3A+Chr3A	4933	0.147	linear+pchip	2	0.963
Chr3B	Chr3B+Chr3B	5382	0.358	linear+linear	2	0.918
Chr3D	Chr3D+Chr3D+Chr3D	5181	0.165	linear+pchip_inverted+pchip_inverted	3	0.982
Chr4A	Chr4A+Chr4A+Chr4A	4253	0.28	linear+linear+linear	3	0.933
Chr4B	Chr4B+Chr4B	3677	0.863	linear+linear	2	0.922
Chr4D	Chr4D	3510	0.146	linear	1	0.976
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A	5005	0.104	linear+linear+linear+linear	4	0.918
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B	4958	0.096	linear+linear+linear+linear	4	0.895
Chr5D	Chr5D	5340	0.107	linear	1	0.966
Chr6A	Chr6A	3726	0.167	linear	1	0.953
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	4123	0.28	linear+linear+linear+linear+linear+linear+pchip	7	0.915
Chr6D	Chr6D+Chr6D+Chr6D	3873	0.102	linear+linear+pchip	3	0.979
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	4977	0.149	linear+pchip_inverted+pchip_inverted+pchip+linear	5	0.936
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4389	0.425	linear+pchip+linear+linear+pchip+linear+linear+linear+linear	9	0.934
Chr7D	Chr7D+Chr7D	5189	0.078	linear+pchip_inverted	2	0.97
