gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS5B03G0004100	Chr5B	3293517	3295022	-	3294269	Chr5B	989340	990845	+	990092	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004200	Chr5B	3371571	3373018	-	3372294	Chr5B	912145	913598	+	912871	0.997	0.962	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004400	Chr5B	3564118	3565596	+	3564857	Chr5B	720034	721512	-	720773	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004500	Chr5B	3593228	3597197	-	3595212	Chr5B	688765	692735	+	690750	1.0	0.989	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004600	Chr5B	3603885	3607681	+	3605783	Chr5B	678283	682077	-	680180	1.0	0.99	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004700	Chr5B	3614607	3619532	+	3617069	Chr5B	666606	671359	-	668982	0.997	0.995	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004800	Chr5B	4221282	4227412	-	4224347	Chr5B	2523862	2529908	-	2526885	0.994	0.973	rearrangement:Chr5B_block2
gene:TraesCS5B03G0005300	Chr5B	4269528	4272513	-	4271020	Chr5B	2572019	2575023	-	2573521	0.997	0.956	rearrangement:Chr5B_block2
gene:TraesCS5B03G0005500	Chr5B	4505697	4508188	+	4506942	Chr5B	2847034	2849525	+	2848279	1.0	0.996	rearrangement:Chr5B_block2
gene:TraesCS5B03G0005800	Chr5B	4542237	4546889	-	4544563	Chr5B	2883259	2887911	-	2885585	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0006200	Chr5B	4719192	4725126	+	4722159	Chr5B	3058815	3064734	+	3061774	0.999	0.998	rearrangement:Chr5B_block2
gene:TraesCS5B03G0006300	Chr5B	4727039	4730071	-	4728555	Chr5B	3066503	3069535	-	3068019	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0006500	Chr5B	4731523	4732017	+	4731770	Chr5B	3070987	3071481	+	3071234	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0006700	Chr5B	4736950	4739324	+	4738137	Chr5B	3076261	3078635	+	3077448	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0006900	Chr5B	4745447	4747021	-	4746234	Chr5B	3084749	3086323	-	3085536	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0307000	Chr5B	187288555	187293578	+	187291066	Chr5B	180644356	180649384	-	180646870	1.0	0.981	rearrangement:Chr5B_block3
gene:TraesCS5B03G0307600	Chr5B	187502352	187508779	-	187505565	Chr5B	180433266	180439585	+	180436425	0.999	0.983	rearrangement:Chr5B_block3
gene:TraesCS5B03G0308400	Chr5B	188816723	188824380	+	188820551	Chr5B	179126753	179134418	-	179130585	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B03G0308700	Chr5B	189626973	189630095	+	189628534	Chr5B	178250916	178254045	-	178252480	1.0	0.987	rearrangement:Chr5B_block3
gene:TraesCS5B03G0308800	Chr5B	189785354	189788356	-	189786855	Chr5B	178093850	178096852	+	178095351	1.0	0.995	rearrangement:Chr5B_block3
gene:TraesCS5B03G0309500	Chr5B	190554930	190563819	-	190559374	Chr5B	177372341	177381224	+	177376782	1.0	0.998	rearrangement:Chr5B_block3
gene:TraesCS5B03G0309800	Chr5B	191863697	191873381	+	191868539	Chr5B	175938990	175948727	-	175943858	0.999	0.977	rearrangement:Chr5B_block3
gene:TraesCS5B03G0310500	Chr5B	192770859	192779311	-	192775085	Chr5B	175015263	175023672	+	175019467	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B03G0326100	Chr5B	213941072	213942217	+	213941644	Chr5B	205983883	205985028	-	205984455	1.0	0.999	rearrangement:Chr5B_block5
gene:TraesCS5B03G0326800	Chr5B	214349446	214351070	+	214350258	Chr5B	205564797	205566426	-	205565611	1.0	0.982	rearrangement:Chr5B_block5
gene:TraesCS5B03G0326900	Chr5B	214783814	214791401	+	214787607	Chr5B	205125451	205133028	-	205129239	1.0	0.999	rearrangement:Chr5B_block5
gene:TraesCS5B03G0327000	Chr5B	214928649	214933359	+	214931004	Chr5B	204987031	204991714	-	204989372	1.0	1.0	rearrangement:Chr5B_block5
gene:TraesCS5B03G0327100	Chr5B	214933798	214933989	-	214933893	Chr5B	204986400	204986591	+	204986495	1.0	1.0	rearrangement:Chr5B_block5
gene:TraesCS5B03G0327200	Chr5B	215384345	215388386	+	215386365	Chr5B	204541568	204545606	-	204543587	1.0	0.989	rearrangement:Chr5B_block5
gene:TraesCS5B03G0327900	Chr5B	215583413	215600600	+	215592006	Chr5B	204310642	204327839	-	204319240	0.998	0.988	rearrangement:Chr5B_block5
gene:TraesCS5B03G0328400	Chr5B	215823568	215827924	+	215825746	Chr5B	204052765	204057112	-	204054938	0.999	0.992	rearrangement:Chr5B_block5
gene:TraesCS5B03G0328500	Chr5B	215828621	215830036	-	215829328	Chr5B	204050653	204052068	+	204051360	1.0	0.998	rearrangement:Chr5B_block5
gene:TraesCS5B03G0328600	Chr5B	215977281	215990775	+	215984028	Chr5B	203895992	203909428	-	203902710	1.0	0.985	rearrangement:Chr5B_block5
gene:TraesCS5B03G0328800	Chr5B	215983461	215993940	-	215988700	Chr5B	203892833	203903310	+	203898071	0.999	0.981	rearrangement:Chr5B_block5
gene:TraesCS5B03G0329500	Chr5B	216438788	216443208	+	216440998	Chr5B	203552394	203556808	-	203554601	0.998	0.995	rearrangement:Chr5B_block5
gene:TraesCS5B03G0329700	Chr5B	216442708	216448993	-	216445850	Chr5B	203546609	203552894	+	203549751	1.0	0.996	rearrangement:Chr5B_block5
gene:TraesCS5B03G0329800	Chr5B	216658831	216666036	-	216662433	Chr5B	203340227	203347445	+	203343836	1.0	0.989	rearrangement:Chr5B_block5
gene:TraesCS5B03G0330000	Chr5B	217292963	217312191	+	217302577	Chr5B	202657726	202676831	-	202667278	1.0	1.0	rearrangement:Chr5B_block5
gene:TraesCS5B03G0330100	Chr5B	217312626	217316224	+	217314425	Chr5B	202653691	202657291	-	202655491	1.0	1.0	rearrangement:Chr5B_block5
gene:TraesCS5B03G0330400	Chr5B	217445360	217447809	-	217446584	Chr5B	202524510	202526960	+	202525735	1.0	0.995	rearrangement:Chr5B_block5
gene:TraesCS5B03G0330600	Chr5B	218179193	218193770	-	218186481	Chr5B	201772259	201786838	+	201779548	0.99	0.987	rearrangement:Chr5B_block5
gene:TraesCS5B03G0331400	Chr5B	219118342	219136248	+	219127295	Chr5B	200940172	200957607	-	200948889	0.998	0.993	rearrangement:Chr5B_block4
gene:TraesCS5B03G0331700	Chr5B	219632397	219632894	+	219632645	Chr5B	200429700	200430197	-	200429948	1.0	1.0	rearrangement:Chr5B_block4
gene:TraesCS5B03G0331800	Chr5B	219633983	219638918	-	219636450	Chr5B	200423677	200428611	+	200426144	1.0	0.998	rearrangement:Chr5B_block4
gene:TraesCS5B03G0331900	Chr5B	219639107	219643759	+	219641433	Chr5B	200418838	200423488	-	200421163	0.998	0.991	rearrangement:Chr5B_block4
gene:TraesCS5B03G0332700	Chr5B	219887236	219891113	+	219889174	Chr5B	200173904	200177758	-	200175831	1.0	0.996	rearrangement:Chr5B_block4
gene:TraesCS5B03G0332800	Chr5B	219890616	219896929	-	219893772	Chr5B	200168108	200174401	+	200171254	1.0	0.994	rearrangement:Chr5B_block4
gene:TraesCS5B03G0333200	Chr5B	220066089	220100197	-	220083143	Chr5B	199964171	199998241	+	199981206	0.998	0.981	rearrangement:Chr5B_block4
gene:TraesCS5B03G0000300	Chr5B	16033	21153	+	18593	Chr5B	5864246	5869383	-	5866814	0.998	0.985	collinear
gene:TraesCS5B03G0000800	Chr5B	85900	87414	-	86657	Chr5B	63280	64795	-	64037	1.0	0.995	collinear
gene:TraesCS5B03G0000900	Chr5B	208601	214218	+	211409	Chr5B	5690938	5696561	-	5693749	0.998	0.996	collinear
gene:TraesCS5B03G0001100	Chr5B	214767	217901	-	216334	Chr5B	5687262	5690416	+	5688839	0.991	0.972	collinear
gene:TraesCS5B03G0001200	Chr5B	227704	231809	+	229756	Chr5B	5666496	5670613	-	5668554	0.999	0.997	collinear
gene:TraesCS5B03G0001300	Chr5B	606261	606584	-	606422	Chr5B	5127879	5128202	-	5128040	1.0	0.993	collinear
gene:TraesCS5B03G0001600	Chr5B	1005121	1009642	+	1007381	Chr5B	6690730	6695209	-	6692969	1.0	0.985	collinear
gene:TraesCS5B03G0001800	Chr5B	1110422	1112273	-	1111347	Chr5B	6566569	6568412	+	6567490	1.0	0.991	collinear
gene:TraesCS5B03G0001900	Chr5B	1209448	1212378	+	1210913	Chr5B	6550314	6553253	-	6551783	1.0	0.989	collinear
gene:TraesCS5B03G0002900	Chr5B	2118597	2118959	-	2118778	Chr5B	2126803	2127165	+	2126984	1.0	0.997	collinear
gene:TraesCS5B03G0003000	Chr5B	2119731	2120270	+	2120000	Chr5B	2125490	2126029	-	2125759	1.0	1.0	collinear
gene:TraesCS5B03G0003200	Chr5B	2256442	2262369	+	2259405	Chr5B	1983416	1989343	-	1986379	1.0	0.989	collinear
gene:TraesCS5B03G0003500	Chr5B	2311597	2312335	+	2311966	Chr5B	1933482	1934220	-	1933851	1.0	1.0	collinear
