cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr5B	18796	4061276	Chr5B	3019979	7057565	22	0.9953181818181818
Chr5B	6219225	149330732	Chr5B	9391512	160442549	947	0.9957930306230202
Chr5B	152509380	167292122	Chr5B	162814613	181146035	26	0.9977307692307693
Chr5B	176601296	192381573	Chr5B	183645389	206441052	26	0.9950384615384615
Chr5B	202210828	209648357	Chr5B	216542776	225123534	23	0.9985652173913043
Chr5B	219089253	236283952	Chr5B	240769746	258222991	68	0.9979264705882352
Chr5B	238316269	257532817	Chr5B	260022868	278516710	77	0.999168831168831
Chr5B	259539413	341562322	Chr5B	280483557	363296590	503	0.9982504970178927
Chr5B	343826709	412688052	Chr5B	365518885	434290433	418	0.9970191387559809
Chr5B	414828778	700232848	Chr5B	434750030	727800654	2902	0.9961281874569261
Chr5B	704074687	713118452	Chr5B	728220871	737468879	173	0.9956705202312139
