gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity
gene:TraesCS2D03G0004000	Chr2D	2035288	2045623	-	2040455	Chr2D	3003445	3013785	-	3008615	1.0	1.0
gene:TraesCS2D03G0004200	Chr2D	2080191	2084496	-	2082343	Chr2D	3048368	3052673	-	3050520	1.0	1.0
gene:TraesCS2D03G0004400	Chr2D	2112411	2114551	+	2113481	Chr2D	3080595	3082735	+	3081665	1.0	0.994
gene:TraesCS2D03G0004700	Chr2D	2134921	2136477	+	2135699	Chr2D	3103107	3104663	+	3103885	1.0	1.0
gene:TraesCS2D03G0004900	Chr2D	2166064	2169473	+	2167768	Chr2D	3134310	3137719	+	3136014	1.0	1.0
gene:TraesCS2D03G0005500	Chr2D	2236212	2236508	+	2236360	Chr2D	3203527	3203823	+	3203675	1.0	1.0
gene:TraesCS2D03G0005600	Chr2D	2258249	2265583	-	2261916	Chr2D	3225564	3232898	-	3229231	1.0	1.0
gene:TraesCS2D03G0005900	Chr2D	2317970	2318269	+	2318119	Chr2D	3285401	3285700	+	3285550	1.0	1.0
gene:TraesCS2D03G0006000	Chr2D	2342608	2342999	+	2342803	Chr2D	3310046	3310437	+	3310241	1.0	1.0
gene:TraesCS2D03G0006100	Chr2D	2357178	2357867	+	2357522	Chr2D	3324587	3325276	+	3324931	1.0	1.0
gene:TraesCS2D03G0006300	Chr2D	2377158	2383178	+	2380168	Chr2D	3344275	3350296	+	3347285	1.0	0.999
gene:TraesCS2D03G0006700	Chr2D	2441659	2447889	-	2444774	Chr2D	3393933	3400119	-	3397026	1.0	0.997
gene:TraesCS2D03G0006900	Chr2D	2460550	2464534	+	2462542	Chr2D	3412876	3416860	+	3414868	1.0	0.995
gene:TraesCS2D03G0007600	Chr2D	2581561	2586301	-	2583931	Chr2D	3485640	3490389	-	3488014	1.0	0.986
gene:TraesCS2D03G0007700	Chr2D	2586427	2592087	+	2589257	Chr2D	3490515	3496031	+	3493273	1.0	0.999
gene:TraesCS2D03G0007800	Chr2D	2603284	2607140	+	2605212	Chr2D	3507592	3511168	+	3509380	0.992	0.963
gene:TraesCS2D03G0007900	Chr2D	2621863	2623404	-	2622633	Chr2D	3525339	3526880	-	3526109	1.0	0.992
gene:TraesCS2D03G0008000	Chr2D	2626556	2626956	-	2626756	Chr2D	3530032	3530432	-	3530232	1.0	0.996
gene:TraesCS2D03G0008100	Chr2D	2648905	2654771	-	2651838	Chr2D	3552373	3558239	-	3555306	1.0	0.998
gene:TraesCS2D03G0008200	Chr2D	2658256	2661803	+	2660029	Chr2D	3561724	3565272	+	3563498	1.0	0.998
gene:TraesCS2D03G0008300	Chr2D	2724182	2725042	+	2724612	Chr2D	3960903	3961763	+	3961333	1.0	0.991
gene:TraesCS2D03G0008700	Chr2D	2752006	2762262	+	2757134	Chr2D	4067787	4078061	+	4072924	1.0	0.992
gene:TraesCS2D03G0008900	Chr2D	2802388	2806733	-	2804560	Chr2D	4167102	4171461	-	4169281	1.0	0.997
gene:TraesCS2D03G0009200	Chr2D	2859610	2869289	+	2864449	Chr2D	4230010	4239688	+	4234849	1.0	1.0
gene:TraesCS2D03G0009500	Chr2D	2918144	2920257	+	2919200	Chr2D	4288535	4290648	+	4289591	1.0	1.0
gene:TraesCS2D03G0009600	Chr2D	2923559	2927123	+	2925341	Chr2D	4293950	4297514	+	4295732	1.0	0.999
gene:TraesCS2D03G0009900	Chr2D	2982196	2984259	-	2983227	Chr2D	4352586	4354649	-	4353617	1.0	1.0
gene:TraesCS2D03G0010300	Chr2D	2997998	3002398	+	3000198	Chr2D	4368400	4372800	+	4370600	1.0	0.999
gene:TraesCS2D03G0010400	Chr2D	3010267	3011838	-	3011052	Chr2D	4380676	4382247	-	4381461	1.0	1.0
gene:TraesCS2D03G0010500	Chr2D	3016111	3017798	+	3016954	Chr2D	4386519	4388206	+	4387362	1.0	0.999
gene:TraesCS2D03G0010800	Chr2D	3041119	3041313	+	3041216	Chr2D	4409489	4409683	+	4409586	1.0	1.0
gene:TraesCS2D03G0011000	Chr2D	3054024	3055544	-	3054784	Chr2D	4424423	4425943	-	4425183	1.0	1.0
gene:TraesCS2D03G0011100	Chr2D	3074555	3074998	-	3074776	Chr2D	4444949	4445392	-	4445170	1.0	1.0
gene:TraesCS2D03G0011300	Chr2D	3118810	3119517	+	3119163	Chr2D	4489223	4489930	+	4489576	1.0	1.0
gene:TraesCS2D03G0011400	Chr2D	3126359	3126751	+	3126555	Chr2D	4496758	4497150	+	4496954	1.0	1.0
gene:TraesCS2D03G0011500	Chr2D	3130021	3133870	-	3131945	Chr2D	4500420	4504268	-	4502344	1.0	1.0
gene:TraesCS2D03G0011600	Chr2D	3147424	3149486	-	3148455	Chr2D	4517822	4519884	-	4518853	1.0	1.0
gene:TraesCS2D03G0011700	Chr2D	3193684	3196985	+	3195334	Chr2D	4561631	4564917	+	4563274	0.992	0.992
