cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr3A	16208	128718501	Chr3A	137206	141431218	1424	0.9993546348314606
Chr3A	130835529	181088605	Chr3A	143529877	193907361	220	0.9998409090909091
Chr3A	184214632	251342423	Chr3A	197007651	265008916	205	0.9999951219512195
Chr3A	259064196	267056348	Chr3A	272650248	280844635	12	0.9983333333333334
Chr3A	269215500	273159995	Chr3A	283002018	286937665	6	1.0
Chr3A	275284207	283103162	Chr3A	289044816	296813732	7	1.0
Chr3A	288539387	293589663	Chr3A	302888978	307916816	6	1.0
Chr3A	295949198	314620161	Chr3A	310246487	328723850	24	1.0
Chr3A	321109384	337881732	Chr3A	337867065	354884478	30	0.9998666666666668
Chr3A	340259729	343231466	Chr3A	357349040	360282964	8	0.996625
Chr3A	345871376	349014829	Chr3A	362917032	366037354	6	1.0
Chr3A	351126951	528599904	Chr3A	368140854	545171932	864	0.9997708333333333
Chr3A	534989814	545153837	Chr3A	545300191	555401663	60	0.9999666666666668
Chr3A	556260652	750741087	Chr3A	562389846	759558937	2184	0.9996098901098902
