cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr2B	6778459	8387855	Chr2B	7870893	9783728	41	1.0
Chr2B	432726	811011	Chr2B	2881278	3255274	6	1.0
Chr2B	9283222	11086037	Chr2B	548782	2497831	35	1.0
Chr2B	375133991	379787029	Chr2B	267124275	271746112	15	1.0
Chr2B	10698	6750145	Chr2B	3367206	15925682	127	0.9994173228346457
Chr2B	11180525	240314058	Chr2B	16011757	251350975	2073	0.9996222865412444
Chr2B	242536523	270216010	Chr2B	253557881	286703399	129	1.0
Chr2B	272550652	303097333	Chr2B	289046556	319685904	46	0.9999782608695651
Chr2B	305321036	318205778	Chr2B	322211213	335433673	16	1.0
Chr2B	369622950	374265039	Chr2B	382829199	387453973	25	0.9987999999999999
Chr2B	379832912	793530997	Chr2B	395785654	813014967	3299	0.9997362837223401
Chr2B	795979207	801254636	Chr2B	813517438	819750888	80	0.9988624999999999
Chr2B	793579729	794110760	Chr2B	821902822	822421810	17	1.0
Chr2B	794410912	795425707	Chr2B	820298993	821576407	32	1.0
