gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity	segment
gene:TraesCS5B02G001600	Chr5B	2558977	2563902	-	2561439	Chr5B	3368277	3373030	+	3370653	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G001700	Chr5B	2570828	2574624	-	2572726	Chr5B	3357555	3361351	+	3359453	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G001800	Chr5B	2581312	2585281	+	2583296	Chr5B	3346898	3350867	-	3348882	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G001900	Chr5B	2612913	2614391	-	2613652	Chr5B	3318120	3319598	+	3318859	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G002000	Chr5B	2805491	2806938	+	2806214	Chr5B	3125973	3127420	-	3126696	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G002100	Chr5B	2883487	2884992	+	2884239	Chr5B	3048812	3050317	-	3049564	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B02G000100	Chr5B	16235	21357	+	18796	Chr5B	7173064	7178186	-	7175625	1.0	1.0	collinear
gene:TraesCS5B02G000300	Chr5B	86983	88497	-	87740	Chr5B	7106794	7108308	+	7107551	1.0	1.0	collinear
gene:TraesCS5B02G000400	Chr5B	210112	215729	+	212920	Chr5B	6979986	6985603	-	6982794	1.0	1.0	collinear
gene:TraesCS5B02G000500	Chr5B	216278	219412	-	217845	Chr5B	6976303	6979437	+	6977870	1.0	1.0	collinear
gene:TraesCS5B02G000600	Chr5B	229215	233600	+	231407	Chr5B	6962395	6966500	-	6964447	1.0	1.0	collinear
gene:TraesCS5B02G000700	Chr5B	461918	462852	-	462385	Chr5B	7202679	7203613	-	7203146	1.0	1.0	collinear
gene:TraesCS5B02G000800	Chr5B	655778	658708	-	657243	Chr5B	7427614	7430544	-	7429079	1.0	1.0	collinear
gene:TraesCS5B02G000900	Chr5B	756821	758672	+	757746	Chr5B	7527740	7529591	+	7528665	1.0	1.0	collinear
