cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr6B	179338689	199078817	Chr6B	210800436	231158363	103	0.9965728155339806
Chr6B	205346491	227094797	Chr6B	182294541	204576099	85	0.994729411764706
Chr6B	168584	86672251	Chr6B	342541	91360185	876	0.9918961187214612
Chr6B	90940309	103962989	Chr6B	92370904	105654347	74	0.9998783783783783
Chr6B	106468710	109142658	Chr6B	108148481	110803588	7	1.0
Chr6B	111685641	178273138	Chr6B	115028493	181522527	446	0.9925134529147982
Chr6B	199741583	205264825	Chr6B	204645231	210140874	43	0.9987674418604651
Chr6B	227269405	240401733	Chr6B	231649549	244772028	81	0.9993456790123457
Chr6B	243269422	250132421	Chr6B	247764052	254193473	22	0.9945454545454546
Chr6B	257994059	258234767	Chr6B	259537950	259756878	3	0.997
Chr6B	306994300	311549509	Chr6B	308280257	318438746	14	0.9984285714285714
Chr6B	341712366	343111521	Chr6B	346968972	348279111	5	0.9969999999999999
Chr6B	371611328	374329893	Chr6B	380886548	383562858	4	0.9995
Chr6B	402215985	424306904	Chr6B	415310871	437137405	56	0.9958571428571429
Chr6B	430193107	441049080	Chr6B	437965029	449330131	51	0.9987254901960785
Chr6B	444540716	479000671	Chr6B	452825202	491257881	171	0.9958596491228069
Chr6B	495743955	501128363	Chr6B	506195109	512491648	29	0.9995862068965518
Chr6B	516078619	620708761	Chr6B	529793252	634498561	649	0.9965238828967643
Chr6B	622726250	626889431	Chr6B	636412265	640484829	33	0.9937575757575758
Chr6B	630465748	720953306	Chr6B	642987233	737936034	926	0.9908779697624189
Chr6B	479080248	495543407	Chr6B	512690818	529478279	71	0.9932394366197183
Chr6B	501521478	515582492	Chr6B	491931739	505804205	88	0.9992159090909091
