gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity	segment
gene:TraesCS7B02G000100	Chr7B	32906	36770	-	34838	Chr7B	59250	63105	-	61177	0.995	0.985	collinear
gene:TraesCS7B02G000200	Chr7B	43388	51239	-	47313	Chr7B	69426	77299	-	73362	0.989	0.981	collinear
gene:TraesCS7B02G000300	Chr7B	113161	115194	+	114177	Chr7B	178710	180750	+	179730	0.994	0.982	collinear
gene:TraesCS7B02G000400	Chr7B	115309	119981	-	117645	Chr7B	180865	185520	-	183192	1.0	0.995	collinear
gene:TraesCS7B02G000500	Chr7B	120989	122254	+	121621	Chr7B	186510	187774	+	187142	0.999	0.992	collinear
gene:TraesCS7B02G000600	Chr7B	222384	224848	+	223616	Chr7B	287228	289354	+	288291	1.0	0.995	collinear
gene:TraesCS7B02G000700	Chr7B	229098	230197	+	229647	Chr7B	293578	294734	+	294156	0.999	0.938	collinear
gene:TraesCS7B02G000800	Chr7B	230612	231250	+	230931	Chr7B	295209	295862	+	295535	1.0	0.974	collinear
gene:TraesCS7B02G000900	Chr7B	257266	259314	+	258290	Chr7B	322218	324113	+	323165	0.918	0.903	collinear
gene:TraesCS7B02G001000	Chr7B	261171	262954	+	262062	Chr7B	326011	327790	+	326900	1.0	0.997	collinear
gene:TraesCS7B02G001100	Chr7B	263907	265477	+	264692	Chr7B	328761	330331	+	329546	1.0	0.999	collinear
gene:TraesCS7B02G001200	Chr7B	267438	269851	-	268644	Chr7B	333607	336027	-	334817	1.0	0.995	collinear
gene:TraesCS7B02G001300	Chr7B	287169	292385	+	289777	Chr7B	346211	351421	+	348816	0.998	0.997	collinear
gene:TraesCS7B02G001400	Chr7B	421705	425790	+	423747	Chr7B	480132	484207	+	482169	0.997	0.996	collinear
gene:TraesCS7B02G001500	Chr7B	426179	431580	-	428879	Chr7B	484596	490027	-	487311	1.0	0.99	collinear
