gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity	segment
gene:TraesCS5A02G007300	Chr5A	4607991	4611930	+	4609960	Chr5A	3350546	3354485	-	3352515	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G007400	Chr5A	4691284	4697125	+	4694204	Chr5A	3273472	3279491	-	3276481	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G007600	Chr5A	4790243	4790864	-	4790553	Chr5A	3111030	3111651	+	3111340	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G007700	Chr5A	4795839	4796504	-	4796171	Chr5A	3105233	3105898	+	3105565	1.0	1.0	rearrangement:Chr5A_block2
gene:TraesCS5A02G007800	Chr5A	4847805	4852706	-	4850255	Chr5A	3055666	3060533	+	3058099	0.987	0.986	rearrangement:Chr5A_block2
gene:TraesCS5A02G007900	Chr5A	4956291	4959912	-	4958101	Chr5A	2930629	2934253	+	2932441	1.0	0.993	rearrangement:Chr5A_block2
gene:TraesCS5A02G008100	Chr5A	5700716	5719719	+	5710217	Chr5A	2101852	2121259	-	2111555	1.0	0.997	rearrangement:Chr5A_block1
gene:TraesCS5A02G008200	Chr5A	5969479	5972725	-	5971102	Chr5A	1865068	1868335	+	1866701	1.0	0.988	rearrangement:Chr5A_block1
gene:TraesCS5A02G008300	Chr5A	5989148	5999236	+	5994192	Chr5A	1838449	1848643	-	1843546	0.993	0.968	rearrangement:Chr5A_block1
gene:TraesCS5A02G008400	Chr5A	6144261	6146054	+	6145157	Chr5A	1644204	1645997	-	1645100	1.0	0.995	rearrangement:Chr5A_block1
gene:TraesCS5A02G008500	Chr5A	6146679	6165534	+	6156106	Chr5A	1629886	1643579	-	1636732	0.997	0.995	rearrangement:Chr5A_block1
gene:TraesCS5A02G008600	Chr5A	6253185	6256500	+	6254842	Chr5A	1491177	1494438	-	1492807	0.964	0.954	rearrangement:Chr5A_block1
gene:TraesCS5A02G008700	Chr5A	6287359	6290472	-	6288915	Chr5A	1457864	1460858	+	1459361	1.0	0.995	rearrangement:Chr5A_block1
gene:TraesCS5A02G008800	Chr5A	6411078	6413189	+	6412133	Chr5A	1325982	1328093	-	1327037	1.0	0.997	rearrangement:Chr5A_block1
gene:TraesCS5A02G008900	Chr5A	6422019	6424272	+	6423145	Chr5A	1314775	1317028	-	1315901	1.0	0.996	rearrangement:Chr5A_block1
gene:TraesCS5A02G009000	Chr5A	6438667	6440111	-	6439389	Chr5A	1296800	1298244	+	1297522	1.0	0.991	rearrangement:Chr5A_block1
gene:TraesCS5A02G009300	Chr5A	6489601	6493759	-	6491680	Chr5A	1264122	1268279	+	1266200	1.0	0.997	rearrangement:Chr5A_block1
gene:TraesCS5A02G009400	Chr5A	6522776	6523576	+	6523176	Chr5A	1249682	1250482	-	1250082	1.0	0.996	rearrangement:Chr5A_block1
gene:TraesCS5A02G009500	Chr5A	6566567	6570070	+	6568318	Chr5A	1200573	1204084	-	1202328	0.999	0.989	rearrangement:Chr5A_block1
gene:TraesCS5A02G009600	Chr5A	6599471	6611564	+	6605517	Chr5A	1145770	1157703	-	1151736	0.995	0.983	rearrangement:Chr5A_block1
gene:TraesCS5A02G009700	Chr5A	6614883	6620347	+	6617615	Chr5A	1137193	1142655	-	1139924	0.994	0.987	rearrangement:Chr5A_block1
gene:TraesCS5A02G009800	Chr5A	6621498	6628092	-	6624795	Chr5A	1129881	1136394	+	1133137	1.0	0.994	rearrangement:Chr5A_block1
gene:TraesCS5A02G009900	Chr5A	6663221	6663596	+	6663408	Chr5A	1094377	1094752	-	1094564	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G010000	Chr5A	6665804	6668336	-	6667070	Chr5A	1089637	1092169	+	1090903	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G010100	Chr5A	6669251	6677498	-	6673374	Chr5A	1080477	1088722	+	1084599	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G010200	Chr5A	6702856	6715117	-	6708986	Chr5A	1042729	1054917	+	1048823	1.0	1.0	rearrangement:Chr5A_block1
gene:TraesCS5A02G010300	Chr5A	6718688	6727277	-	6722982	Chr5A	1030570	1039158	+	1034864	0.999	0.999	rearrangement:Chr5A_block1
gene:TraesCS5A02G010400	Chr5A	6773230	6774222	-	6773726	Chr5A	983768	984760	+	984264	1.0	0.99	rearrangement:Chr5A_block1
gene:TraesCS5A02G010500	Chr5A	6797997	6799208	-	6798602	Chr5A	793470	794671	+	794070	0.991	0.989	rearrangement:Chr5A_block1
gene:TraesCS5A02G010600	Chr5A	6982513	6983531	+	6983022	Chr5A	616271	617265	-	616768	1.0	0.986	rearrangement:Chr5A_block1
gene:TraesCS5A02G010800	Chr5A	7105701	7107932	-	7106816	Chr5A	491001	493235	+	492118	1.0	0.992	rearrangement:Chr5A_block1
gene:TraesCS5A02G010900	Chr5A	7167643	7168403	+	7168023	Chr5A	441088	441850	-	441469	1.0	0.994	rearrangement:Chr5A_block1
gene:TraesCS5A02G011000	Chr5A	7189904	7195842	+	7192873	Chr5A	403164	409100	-	406132	1.0	0.996	rearrangement:Chr5A_block1
gene:TraesCS5A02G011100	Chr5A	7360180	7362343	+	7361261	Chr5A	265313	267477	-	266395	1.0	0.999	rearrangement:Chr5A_block1
gene:TraesCS5A02G011200	Chr5A	7362413	7366565	-	7364489	Chr5A	261091	265243	+	263167	1.0	0.998	rearrangement:Chr5A_block1
gene:TraesCS5A02G011300	Chr5A	7487068	7487998	+	7487533	Chr5A	208404	209334	-	208869	1.0	0.997	rearrangement:Chr5A_block1
gene:TraesCS5A02G011400	Chr5A	7495070	7496099	+	7495584	Chr5A	200504	201533	-	201018	1.0	0.997	rearrangement:Chr5A_block1
