cs_chr	cs_start	cs_end	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	n_anchors	mean_identity
Chr5D	298647	716628	Chr5D	6973613	7393864	6	0.9958333333333335
Chr5D	6780466	7633829	Chr5D	4252	863188	11	0.9924545454545455
Chr5D	765319	143714900	Chr5D	1947275	146066277	1095	0.9992392694063926
Chr5D	151476064	185711594	Chr5D	151893906	186205364	57	0.9977017543859649
Chr5D	191739975	196532049	Chr5D	190900715	195704021	22	0.9994545454545455
Chr5D	199741740	561135827	Chr5D	198924387	561933719	4012	0.9984855433698904
Chr5D	563701504	569875126	Chr5D	562006842	568160612	122	0.9970081967213114
Chr5D	525988477	526598258	Chr5D	531475661	532085375	6	1.0
Chr5D	561305779	562762580	Chr5D	569105206	570513788	36	0.9999166666666667
Chr5D	563117779	563615787	Chr5D	568245460	568746898	12	0.9985
