gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity
gene:TraesCS7B03G0000100	Chr7B	32670	36534	-	34602	Chr7B	32906	36770	-	34838	1.0	1.0
gene:TraesCS7B03G0000200	Chr7B	43049	50894	-	46971	Chr7B	43388	51239	-	47313	1.0	1.0
gene:TraesCS7B03G0001000	Chr7B	112378	114411	+	113394	Chr7B	113161	115194	+	114177	1.0	1.0
gene:TraesCS7B03G0001100	Chr7B	114526	119198	-	116862	Chr7B	115309	119981	-	117645	1.0	1.0
gene:TraesCS7B03G0001200	Chr7B	120206	121471	+	120838	Chr7B	120989	122254	+	121621	1.0	1.0
gene:TraesCS7B03G0001400	Chr7B	220254	222718	+	221486	Chr7B	222384	224848	+	223616	1.0	1.0
gene:TraesCS7B03G0001700	Chr7B	226968	228067	+	227517	Chr7B	229098	230197	+	229647	1.0	1.0
gene:TraesCS7B03G0001800	Chr7B	228482	229120	+	228801	Chr7B	230612	231250	+	230931	1.0	1.0
gene:TraesCS7B03G0002000	Chr7B	255136	257184	+	256160	Chr7B	257266	259314	+	258290	1.0	1.0
gene:TraesCS7B03G0002100	Chr7B	259041	260824	+	259932	Chr7B	261171	262954	+	262062	1.0	1.0
gene:TraesCS7B03G0002200	Chr7B	261777	263347	+	262562	Chr7B	263907	265477	+	264692	1.0	1.0
gene:TraesCS7B03G0002400	Chr7B	265308	267721	-	266514	Chr7B	267438	269851	-	268644	1.0	1.0
gene:TraesCS7B03G0002500	Chr7B	285039	290255	+	287647	Chr7B	287169	292385	+	289777	1.0	1.0
gene:TraesCS7B03G0002600	Chr7B	419319	423404	+	421361	Chr7B	421705	425790	+	423747	1.0	1.0
gene:TraesCS7B03G0002900	Chr7B	423793	429194	-	426493	Chr7B	426179	431580	-	428879	1.0	1.0
gene:TraesCS7B03G0003100	Chr7B	600800	604303	+	602551	Chr7B	603142	606645	+	604893	1.0	1.0
gene:TraesCS7B03G0003300	Chr7B	637875	639698	+	638786	Chr7B	640963	642786	+	641874	1.0	1.0
gene:TraesCS7B03G0003400	Chr7B	669783	670485	-	670134	Chr7B	672871	673573	-	673222	1.0	1.0
gene:TraesCS7B03G0003800	Chr7B	778870	779724	-	779297	Chr7B	781958	782812	-	782385	1.0	1.0
gene:TraesCS7B03G0003900	Chr7B	797978	798910	+	798444	Chr7B	801066	801998	+	801532	1.0	1.0
gene:TraesCS7B03G0004600	Chr7B	844925	847126	+	846025	Chr7B	848013	850214	+	849113	1.0	1.0
gene:TraesCS7B03G0004700	Chr7B	900491	909163	-	904827	Chr7B	882348	891020	-	886684	1.0	1.0
gene:TraesCS7B03G0005100	Chr7B	1038544	1039671	+	1039107	Chr7B	1020557	1021684	+	1021120	1.0	1.0
gene:TraesCS7B03G0005400	Chr7B	1055416	1057852	-	1056634	Chr7B	1037429	1039865	-	1038647	1.0	1.0
gene:TraesCS7B03G0005500	Chr7B	1082873	1087104	-	1084988	Chr7B	1065102	1069333	-	1067217	1.0	1.0
gene:TraesCS7B03G0005300	Chr7B	1051386	1121512	-	1086449	Chr7B	1033399	1103911	-	1068655	1.0	1.0
gene:TraesCS7B03G0005600	Chr7B	1170334	1171762	+	1171048	Chr7B	1154155	1155583	+	1154869	1.0	1.0
gene:TraesCS7B03G0005700	Chr7B	1213141	1218986	-	1216063	Chr7B	1202960	1208805	-	1205882	1.0	1.0
gene:TraesCS7B03G0006000	Chr7B	1264151	1272041	-	1268096	Chr7B	1254479	1262607	-	1258543	1.0	1.0
