gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Stanley_tgt_chr	Stanley_tgt_start	Stanley_tgt_end	Stanley_tgt_strand	Stanley_tgt_midpoint	Stanley_coverage	Stanley_identity	segment
gene:TraesCS4D03G0000100	Chr4D	409970	411319	-	410644	Chr4D	69499	70848	-	70173	1.0	1.0	collinear
gene:TraesCS4D03G0000200	Chr4D	459723	463379	+	461551	Chr4D	120454	124110	+	122282	1.0	1.0	collinear
gene:TraesCS4D03G0000300	Chr4D	463559	465496	-	464527	Chr4D	124290	126227	-	125258	1.0	1.0	collinear
gene:TraesCS4D03G0000500	Chr4D	465900	467545	-	466722	Chr4D	126631	128276	-	127453	1.0	1.0	collinear
gene:TraesCS4D03G0000700	Chr4D	475371	480193	+	477782	Chr4D	136621	141394	+	139007	1.0	1.0	collinear
gene:TraesCS4D03G0000800	Chr4D	536039	548069	+	542054	Chr4D	196840	208870	+	202855	1.0	1.0	collinear
gene:TraesCS4D03G0000900	Chr4D	603219	607023	-	605121	Chr4D	265706	269510	-	267608	1.0	1.0	collinear
gene:TraesCS4D03G0001000	Chr4D	607335	608738	+	608036	Chr4D	269822	271225	+	270523	1.0	1.0	collinear
gene:TraesCS4D03G0001200	Chr4D	610012	615059	-	612535	Chr4D	272499	277621	-	275060	0.999	0.934	collinear
gene:TraesCS4D03G0001300	Chr4D	624082	627372	+	625727	Chr4D	286778	290068	+	288423	1.0	0.998	collinear
gene:TraesCS4D03G0001400	Chr4D	658413	659236	+	658824	Chr4D	321436	322259	+	321847	1.0	1.0	collinear
gene:TraesCS4D03G0001700	Chr4D	734129	734515	+	734322	Chr4D	397224	397610	+	397417	1.0	1.0	collinear
gene:TraesCS4D03G0001800	Chr4D	757227	759482	-	758354	Chr4D	420426	422681	-	421553	1.0	1.0	collinear
gene:TraesCS4D03G0002200	Chr4D	1179628	1183031	+	1181329	Chr4D	833657	837060	+	835358	1.0	1.0	collinear
gene:TraesCS4D03G0002300	Chr4D	1192267	1194439	+	1193353	Chr4D	846536	848708	+	847622	1.0	1.0	collinear
gene:TraesCS4D03G0002500	Chr4D	1196998	1198699	-	1197848	Chr4D	851267	852968	-	852117	1.0	1.0	collinear
gene:TraesCS4D03G0002600	Chr4D	1200365	1201407	+	1200886	Chr4D	854634	855676	+	855155	1.0	1.0	collinear
gene:TraesCS4D03G0002700	Chr4D	1224901	1226574	+	1225737	Chr4D	878888	880561	+	879724	1.0	1.0	collinear
gene:TraesCS4D03G0002800	Chr4D	1233656	1234699	+	1234177	Chr4D	888071	889114	+	888592	1.0	1.0	collinear
gene:TraesCS4D03G0002900	Chr4D	1235849	1238078	+	1236963	Chr4D	890264	892493	+	891378	1.0	1.0	collinear
gene:TraesCS4D03G0003000	Chr4D	1239892	1242834	+	1241363	Chr4D	894307	897247	+	895777	0.997	0.997	collinear
gene:TraesCS4D03G0003100	Chr4D	1245411	1245824	-	1245617	Chr4D	899895	900308	-	900101	1.0	1.0	collinear
gene:TraesCS4D03G0003500	Chr4D	1279798	1281379	+	1280588	Chr4D	940335	941916	+	941125	1.0	1.0	collinear
gene:TraesCS4D03G0003700	Chr4D	1281940	1284304	+	1283122	Chr4D	942477	944841	+	943659	1.0	1.0	collinear
gene:TraesCS4D03G0003800	Chr4D	1291459	1294621	+	1293040	Chr4D	951996	955158	+	953577	1.0	0.999	collinear
gene:TraesCS4D03G0004000	Chr4D	1304418	1305152	-	1304785	Chr4D	965047	965781	-	965414	1.0	0.998	collinear
gene:TraesCS4D03G0004100	Chr4D	1318992	1323052	+	1321022	Chr4D	979700	983760	+	981730	1.0	1.0	collinear
gene:TraesCS4D03G0004300	Chr4D	1341017	1345302	-	1343159	Chr4D	1002082	1006365	-	1004223	1.0	0.999	collinear
gene:TraesCS4D03G0004400	Chr4D	1357145	1360998	-	1359071	Chr4D	1018785	1022638	-	1020711	1.0	1.0	collinear
gene:TraesCS4D03G0004500	Chr4D	1362318	1367013	-	1364665	Chr4D	1023958	1028653	-	1026305	1.0	1.0	collinear
gene:TraesCS4D03G0004600	Chr4D	1368870	1373554	-	1371212	Chr4D	1030507	1035191	-	1032849	1.0	1.0	collinear
gene:TraesCS4D03G0004700	Chr4D	1374679	1379306	-	1376992	Chr4D	1036316	1040823	-	1038569	1.0	1.0	collinear
gene:TraesCS4D03G0004800	Chr4D	1390139	1393851	+	1391995	Chr4D	1051503	1055215	+	1053359	1.0	1.0	collinear
gene:TraesCS4D03G0004900	Chr4D	1397353	1399554	-	1398453	Chr4D	1058717	1060918	-	1059817	1.0	1.0	collinear
gene:TraesCS4D03G0005000	Chr4D	1400675	1404459	-	1402567	Chr4D	1062039	1065823	-	1063931	1.0	1.0	collinear
gene:TraesCS4D03G0005100	Chr4D	1406011	1408464	+	1407237	Chr4D	1067375	1069828	+	1068601	1.0	0.999	collinear
gene:TraesCS4D03G0005800	Chr4D	1630996	1636148	-	1633572	Chr4D	1903880	1909061	-	1906470	1.0	1.0	collinear
gene:TraesCS4D03G0006100	Chr4D	1655892	1658459	+	1657175	Chr4D	1928906	1931473	+	1930189	1.0	0.999	collinear
gene:TraesCS4D03G0006500	Chr4D	1693854	1698641	-	1696247	Chr4D	1966853	1971640	-	1969246	1.0	1.0	collinear
gene:TraesCS4D03G0006600	Chr4D	1808058	1813801	+	1810929	Chr4D	2082663	2088406	+	2085534	1.0	1.0	collinear
gene:TraesCS4D03G0006900	Chr4D	1857162	1864002	+	1860582	Chr4D	2148248	2155088	+	2151668	1.0	1.0	collinear
gene:TraesCS4D03G0007200	Chr4D	2118829	2121262	-	2120045	Chr4D	3518447	3520880	+	3519663	1.0	0.999	collinear
gene:TraesCS4D03G0007300	Chr4D	2157319	2157750	+	2157534	Chr4D	3485854	3486285	-	3486069	1.0	1.0	collinear
gene:TraesCS4D03G0007400	Chr4D	2159778	2160428	-	2160103	Chr4D	3483176	3483826	+	3483501	1.0	1.0	collinear
gene:TraesCS4D03G0007500	Chr4D	2210061	2211185	+	2210623	Chr4D	3433733	3434857	-	3434295	1.0	1.0	collinear
gene:TraesCS4D03G0007600	Chr4D	2233090	2237239	-	2235164	Chr4D	3408073	3412222	+	3410147	1.0	0.999	collinear
gene:TraesCS4D03G0007700	Chr4D	2275324	2285972	-	2280648	Chr4D	3360097	3371015	+	3365556	1.0	1.0	collinear
gene:TraesCS4D03G0008000	Chr4D	2317575	2321028	-	2319301	Chr4D	3325280	3328733	+	3327006	1.0	1.0	collinear
gene:TraesCS4D03G0008300	Chr4D	2468842	2469594	-	2469218	Chr4D	3173891	3174643	+	3174267	1.0	0.998	collinear
gene:TraesCS4D03G0008500	Chr4D	2503854	2504613	+	2504233	Chr4D	3138667	3139426	-	3139046	1.0	1.0	collinear
gene:TraesCS4D03G0008800	Chr4D	3210895	3212125	-	3211510	Chr4D	3907517	3908747	-	3908132	1.0	1.0	collinear
gene:TraesCS4D03G0008900	Chr4D	3228396	3230243	+	3229319	Chr4D	3925016	3926863	+	3925939	1.0	1.0	collinear
gene:TraesCS4D03G0009000	Chr4D	3236033	3237648	-	3236840	Chr4D	3932410	3934025	-	3933217	1.0	1.0	collinear
gene:TraesCS4D03G0009100	Chr4D	3238133	3240692	+	3239412	Chr4D	3934510	3937070	+	3935790	1.0	1.0	collinear
gene:TraesCS4D03G0009200	Chr4D	3243144	3247724	-	3245434	Chr4D	3939522	3944099	-	3941810	0.999	0.999	collinear
gene:TraesCS4D03G0009500	Chr4D	3271809	3274267	-	3273038	Chr4D	3968443	3970901	-	3969672	1.0	1.0	collinear
gene:TraesCS4D03G0010200	Chr4D	3319664	3323787	+	3321725	Chr4D	4016432	4020555	+	4018493	1.0	1.0	collinear
gene:TraesCS4D03G0010300	Chr4D	3327946	3335748	-	3331847	Chr4D	4024714	4032516	-	4028615	1.0	0.999	collinear
gene:TraesCS4D03G0010800	Chr4D	3382908	3386957	-	3384932	Chr4D	4079401	4083450	-	4081425	1.0	1.0	collinear
gene:TraesCS4D03G0011000	Chr4D	3390244	3391395	-	3390819	Chr4D	4086737	4087888	-	4087312	1.0	1.0	collinear
gene:TraesCS4D03G0011200	Chr4D	3405419	3408689	-	3407054	Chr4D	4097017	4100287	-	4098652	1.0	0.999	collinear
gene:TraesCS4D03G0011300	Chr4D	3413225	3414072	-	3413648	Chr4D	4104823	4105670	-	4105246	1.0	1.0	collinear
gene:TraesCS4D03G0011400	Chr4D	3414641	3415376	-	3415008	Chr4D	4106239	4106974	-	4106606	1.0	1.0	collinear
gene:TraesCS4D03G0011500	Chr4D	3416613	3417647	-	3417130	Chr4D	4108961	4109995	-	4109478	1.0	1.0	collinear
gene:TraesCS4D03G0011700	Chr4D	3421045	3424717	-	3422881	Chr4D	4113393	4117065	-	4115229	1.0	1.0	collinear
gene:TraesCS4D03G0011900	Chr4D	3667854	3673399	-	3670626	Chr4D	4358691	4364236	-	4361463	1.0	1.0	collinear
gene:TraesCS4D03G0012000	Chr4D	3685507	3688331	-	3686919	Chr4D	4376488	4379312	-	4377900	1.0	1.0	collinear
gene:TraesCS4D03G0012200	Chr4D	3695617	3698195	+	3696906	Chr4D	4386598	4389176	+	4387887	1.0	1.0	collinear
gene:TraesCS4D03G0012300	Chr4D	3698965	3700563	-	3699764	Chr4D	4389946	4391544	-	4390745	1.0	1.0	collinear
gene:TraesCS4D03G0012400	Chr4D	3708608	3712645	-	3710626	Chr4D	4399589	4403626	-	4401607	1.0	1.0	collinear
gene:TraesCS4D03G0012500	Chr4D	3790975	3794205	+	3792590	Chr4D	4483237	4486452	+	4484844	0.995	0.995	collinear
gene:TraesCS4D03G0012600	Chr4D	3811236	3815371	+	3813303	Chr4D	4504337	4508472	+	4506404	1.0	1.0	collinear
gene:TraesCS4D03G0012700	Chr4D	3819990	3822163	-	3821076	Chr4D	4512874	4515047	-	4513960	1.0	1.0	collinear
gene:TraesCS4D03G0012800	Chr4D	3823587	3827946	-	3825766	Chr4D	4516471	4521137	-	4518804	1.0	0.999	collinear
gene:TraesCS4D03G0012900	Chr4D	3851419	3851796	-	3851607	Chr4D	4544461	4544838	-	4544649	1.0	1.0	collinear
gene:TraesCS4D03G0013200	Chr4D	3889549	3889926	-	3889737	Chr4D	4582581	4582958	-	4582769	1.0	1.0	collinear
gene:TraesCS4D03G0013400	Chr4D	3935959	3939231	-	3937595	Chr4D	4629435	4632707	-	4631071	1.0	1.0	collinear
gene:TraesCS4D03G0013500	Chr4D	3953221	3956936	+	3955078	Chr4D	4652322	4656037	+	4654179	1.0	1.0	collinear
gene:TraesCS4D03G0013600	Chr4D	3973325	3974731	-	3974028	Chr4D	4672923	4674329	-	4673626	1.0	1.0	collinear
gene:TraesCS4D03G0013700	Chr4D	4018713	4020514	+	4019613	Chr4D	4718705	4720506	+	4719605	1.0	1.0	collinear
gene:TraesCS4D03G0014500	Chr4D	4204342	4208997	+	4206669	Chr4D	4897860	4902515	+	4900187	1.0	1.0	collinear
