cs_chr	cs_start	cs_end	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	n_anchors	mean_identity
Chr6A	119203	165560133	Chr6A	57605	162912229	1609	0.9996364201367308
Chr6A	169123596	174751019	Chr6A	166503285	172174207	30	0.9970666666666668
Chr6A	177010402	236551105	Chr6A	174450789	233957452	204	0.9997990196078432
Chr6A	243810148	244731119	Chr6A	241266065	242194840	3	1.0
Chr6A	251103689	255370132	Chr6A	248542355	252837117	8	1.0
Chr6A	257566273	264313435	Chr6A	254937051	261705155	22	0.9991818181818184
Chr6A	266482395	275860435	Chr6A	263891514	273262995	22	0.9986363636363637
Chr6A	278883582	290338890	Chr6A	276303162	288407392	15	1.0
Chr6A	293863739	319731587	Chr6A	289026848	317154843	29	0.999896551724138
Chr6A	323819925	326827584	Chr6A	321270304	324290097	8	1.0
Chr6A	328915123	332571498	Chr6A	326393120	330049812	6	1.0
Chr6A	334687288	346665213	Chr6A	332183472	344185082	16	0.992
Chr6A	349035941	349057392	Chr6A	346572929	346594380	3	1.0
Chr6A	354380382	355885891	Chr6A	351830716	353340072	4	0.99875
Chr6A	357954045	528717530	Chr6A	355403353	526163009	865	0.9995132947976878
Chr6A	530890411	622584375	Chr6A	528356098	617935753	1243	0.9995261464199516
