cs_chr	ArinaLrFor_tgt_chr	n_anchors	ArinaLrFor_mean_anchor_gap_Mb	ArinaLrFor_interp_type	n_segments	ArinaLrFor_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A+Chr1A+Chr1A	3981	0.101	linear+linear+pchip_inverted+pchip_inverted+linear+linear	6	0.947
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4200	0.114	pchip+pchip_inverted+linear+pchip_inverted+pchip_inverted	5	0.92
Chr1D	Chr1D	4332	0.114	linear	1	0.975
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5181	0.576	pchip_inverted+linear+linear+pchip_inverted+linear+linear+pchip_inverted	7	0.898
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5342	0.351	linear+pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear	7	0.919
Chr2D	Chr2D+Chr2D+Chr2D	5341	0.122	linear+linear+linear	3	0.945
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A	4968	0.118	linear+pchip_inverted+pchip_inverted+pchip	4	0.969
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5257	0.268	pchip_inverted+pchip+pchip+pchip_inverted+linear+linear	6	0.9
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D+Chr3D	5093	0.123	linear+pchip_inverted+pchip_inverted+linear+linear	5	0.979
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4446	0.753	linear+pchip_inverted+linear+linear+linear+linear+linear+pchip_inverted+linear+linear	10	0.95
Chr4B	Chr4B	3531	0.19	linear	1	0.793
Chr4D	Chr4D	3457	0.146	linear	1	0.983
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A	5018	0.128	pchip+pchip_inverted+pchip_inverted+linear	4	0.882
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	5005	0.094	pchip+pchip+pchip_inverted+linear+pchip+linear+pchip_inverted+linear+pchip	9	0.872
Chr5D	Chr5D+Chr5D+Chr5D+Chr5D	5429	0.055	pchip+linear+pchip_inverted+pchip	4	0.981
Chr6A	Chr6A+Chr6A	3832	0.104	linear+pchip_inverted	2	0.96
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3940	0.176	pchip+pchip+linear+pchip_inverted+pchip_inverted+pchip	6	0.791
Chr6D	Chr6D+Chr6D+Chr6D+Chr6D+Chr6D+Chr6D+Chr6D+Chr6D+Chr6D	3830	0.082	pchip_inverted+pchip+pchip_inverted+pchip_inverted+linear+pchip_inverted+pchip_inverted+linear+linear	9	0.972
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	5052	0.101	linear+pchip_inverted+linear+pchip_inverted+linear	5	0.944
Chr7B	Chr5B+Chr5B+Chr5B+Chr5B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4372	0.674	pchip+linear+pchip+linear+linear+pchip+pchip+linear+pchip	9	0.915
Chr7D	Chr7D+Chr7D+Chr7D+Chr7D	5245	0.062	pchip_inverted+linear+pchip_inverted+pchip_inverted	4	0.977
