cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr6A	1271603	165560133	Chr6A	1925010	171319462	1463	0.9915044429254954
Chr6A	169123596	174751019	Chr6A	174869951	180502733	30	0.9996666666666668
Chr6A	177010402	237636332	Chr6A	182755520	242828094	204	0.9990539215686276
Chr6A	243810148	244731119	Chr6A	248921724	249759652	3	0.9946666666666668
Chr6A	251103689	255370132	Chr6A	256015455	260237426	8	0.9975
Chr6A	257566273	264313435	Chr6A	262768602	270094194	21	0.994809523809524
Chr6A	266482395	275860435	Chr6A	272292483	281816002	22	0.998
Chr6A	278883582	290338890	Chr6A	285711367	296848344	15	0.9975333333333334
Chr6A	293863739	319731587	Chr6A	300769895	327630823	28	0.998
Chr6A	323819925	326827584	Chr6A	331745708	334730711	8	0.997375
Chr6A	328915123	332571498	Chr6A	336852176	340468893	6	0.997
Chr6A	334687288	346665213	Chr6A	342516201	354782890	16	0.99775
Chr6A	349035941	349057392	Chr6A	357184635	357208867	3	0.9986666666666668
Chr6A	354380382	355885891	Chr6A	362569909	364073361	4	0.997
Chr6A	357954045	410556392	Chr6A	366135043	418867615	145	0.9980413793103448
Chr6A	424744874	429394472	Chr6A	432004673	436444300	18	0.9972222222222222
Chr6A	442130717	528672379	Chr6A	449491280	535746798	593	0.9987150084317032
Chr6A	531482801	622584375	Chr6A	535779226	633193956	1188	0.9950101010101012
