cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr6D	4721545	5564274	Chr6D	2981451	3811698	16	0.9975
Chr6D	5724913	6573054	Chr6D	1552626	2549972	20	0.993
Chr6D	6967236	7291830	Chr6D	893018	1213699	12	0.9989166666666667
Chr6D	46902857	48721275	Chr6D	81939939	83747717	24	0.9967916666666667
Chr6D	52671	4677721	Chr6D	3867541	7832421	91	0.9913186813186813
Chr6D	7344778	164765103	Chr6D	7919067	193849853	1514	0.9993467635402906
Chr6D	166779487	214550301	Chr6D	195848113	243878171	72	0.9986944444444446
Chr6D	216846232	227401287	Chr6D	247084713	257567293	15	0.9988
Chr6D	232122220	239805311	Chr6D	262258391	269896119	12	0.9940833333333333
Chr6D	242219199	280904417	Chr6D	272319080	313167814	144	0.9984930555555557
Chr6D	283156017	415028218	Chr6D	315407991	446882714	1033	0.9996137463697968
Chr6D	417690848	473516145	Chr6D	449541655	507175661	924	0.9963571428571428
