gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity	segment
gene:TraesCS2D02G228500	Chr2D	197837504	197838422	+	197837963	Chr2D	160769372	160770290	+	160769831	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G228600	Chr2D	197869451	197872837	-	197871144	Chr2D	160801046	160804432	-	160802739	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G228800	Chr2D	197873905	197875342	+	197874623	Chr2D	160805500	160806937	+	160806218	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G228700	Chr2D	197873923	197875354	-	197874638	Chr2D	160805518	160806949	-	160806233	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G228900	Chr2D	197915708	197918864	-	197917286	Chr2D	160847301	160850457	-	160848879	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G229000	Chr2D	198129713	198135393	+	198132553	Chr2D	161060802	161066482	+	161063642	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G229100	Chr2D	198459343	198463234	+	198461288	Chr2D	161370761	161374652	+	161372706	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G229200	Chr2D	198621707	198630464	-	198626085	Chr2D	161532802	161541273	-	161537037	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G229300	Chr2D	199123357	199127232	-	199125294	Chr2D	162031015	162034890	-	162032952	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G229400	Chr2D	199133232	199139047	-	199136139	Chr2D	162040464	162046279	-	162043371	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G229500	Chr2D	199347024	199356064	+	199351544	Chr2D	162253757	162262797	+	162258277	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G229600	Chr2D	199356163	199357854	+	199357008	Chr2D	162262896	162264587	+	162263741	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G229700	Chr2D	199761326	199763022	-	199762174	Chr2D	162666754	162668450	-	162667602	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G229800	Chr2D	199844442	199848977	+	199846709	Chr2D	162748680	162753031	+	162750855	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G229900	Chr2D	200773617	200776230	+	200774923	Chr2D	163670518	163673131	+	163671824	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G230000	Chr2D	200914589	200916199	+	200915394	Chr2D	163809271	163810881	+	163810076	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G230100	Chr2D	200925305	200926834	+	200926069	Chr2D	163819987	163821516	+	163820751	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G230200	Chr2D	200930743	200931213	-	200930978	Chr2D	163825425	163825895	-	163825660	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G230300	Chr2D	200935935	200937328	+	200936631	Chr2D	163830617	163832010	+	163831313	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G230400	Chr2D	201092328	201095256	+	201093792	Chr2D	163984797	163987725	+	163986261	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G230500	Chr2D	201153439	201160234	-	201156836	Chr2D	164045670	164052465	-	164049067	1.0	0.999	rearrangement:Chr2D_block1
gene:TraesCS2D02G230600	Chr2D	201439620	201447121	-	201443370	Chr2D	164329498	164336999	-	164333248	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G230700	Chr2D	201832754	201837261	-	201835007	Chr2D	164720167	164724674	-	164722420	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G230800	Chr2D	201942884	201949429	-	201946156	Chr2D	164828798	164835344	-	164832071	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G230900	Chr2D	202074950	202081201	-	202078075	Chr2D	164958920	164964861	-	164961890	0.996	0.996	rearrangement:Chr2D_block1
gene:TraesCS2D02G231000	Chr2D	202082678	202087748	-	202085213	Chr2D	164965967	164971037	-	164968502	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G231100	Chr2D	202435996	202439554	+	202437775	Chr2D	165315844	165319402	+	165317623	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G231200	Chr2D	202564839	202566091	+	202565465	Chr2D	165444028	165445280	+	165444654	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G231300	Chr2D	202568706	202570150	-	202569428	Chr2D	165447895	165449339	-	165448617	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G231400	Chr2D	202602932	202603756	+	202603344	Chr2D	165482121	165482945	+	165482533	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G231500	Chr2D	203039948	203052478	+	203046213	Chr2D	165923932	165936462	+	165930197	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G231600	Chr2D	203448359	203452794	-	203450576	Chr2D	166330052	166334487	-	166332269	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G231700	Chr2D	204134329	204139683	+	204137006	Chr2D	167010636	167015990	+	167013313	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G231800	Chr2D	204139957	204146336	-	204143146	Chr2D	167016264	167022643	-	167019453	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G231900	Chr2D	204489341	204497854	+	204493597	Chr2D	167363124	167371637	+	167367380	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G232000	Chr2D	204499164	204504904	+	204502034	Chr2D	167372947	167378427	+	167375687	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G232100	Chr2D	204505358	204509792	+	204507575	Chr2D	167378881	167383316	+	167381098	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G232200	Chr2D	204990636	205004380	+	204997508	Chr2D	167857910	167871471	+	167864690	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G232300	Chr2D	205005188	205010135	+	205007661	Chr2D	167872279	167877226	+	167874752	1.0	0.999	rearrangement:Chr2D_block1
gene:TraesCS2D02G232400	Chr2D	205589431	205594575	+	205592003	Chr2D	168453060	168458204	+	168455632	1.0	1.0	rearrangement:Chr2D_block1
gene:TraesCS2D02G232500	Chr2D	205614058	205618801	+	205616429	Chr2D	168477396	168482139	+	168479767	1.0	1.0	rearrangement:Chr2D_block1
