gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity	segment
gene:TraesCS7B02G000100	Chr7B	32906	36770	-	34838	Chr7B	32759	36623	-	34691	1.0	1.0	collinear
gene:TraesCS7B02G000200	Chr7B	43388	51239	-	47313	Chr7B	43068	50923	-	46995	1.0	0.999	collinear
gene:TraesCS7B02G000300	Chr7B	113161	115194	+	114177	Chr7B	112410	114443	+	113426	1.0	0.999	collinear
gene:TraesCS7B02G000400	Chr7B	115309	119981	-	117645	Chr7B	114558	119232	-	116895	1.0	1.0	collinear
gene:TraesCS7B02G000500	Chr7B	120989	122254	+	121621	Chr7B	120241	121506	+	120873	1.0	1.0	collinear
gene:TraesCS7B02G000600	Chr7B	222384	224848	+	223616	Chr7B	227188	229448	+	228318	1.0	1.0	collinear
gene:TraesCS7B02G000700	Chr7B	229098	230197	+	229647	Chr7B	233763	234862	+	234312	1.0	1.0	collinear
gene:TraesCS7B02G000800	Chr7B	230612	231250	+	230931	Chr7B	235277	235915	+	235596	1.0	1.0	collinear
gene:TraesCS7B02G000900	Chr7B	257266	259314	+	258290	Chr7B	260352	262262	+	261307	0.932	0.927	collinear
gene:TraesCS7B02G001000	Chr7B	261171	262954	+	262062	Chr7B	264124	265907	+	265015	1.0	1.0	collinear
gene:TraesCS7B02G001100	Chr7B	263907	265477	+	264692	Chr7B	266860	268430	+	267645	1.0	1.0	collinear
gene:TraesCS7B02G001200	Chr7B	267438	269851	-	268644	Chr7B	270407	272820	-	271613	1.0	1.0	collinear
gene:TraesCS7B02G001300	Chr7B	287169	292385	+	289777	Chr7B	290047	295263	+	292655	1.0	0.999	collinear
gene:TraesCS7B02G001400	Chr7B	421705	425790	+	423747	Chr7B	424113	428198	+	426155	1.0	1.0	collinear
gene:TraesCS7B02G001500	Chr7B	426179	431580	-	428879	Chr7B	428587	433988	-	431287	1.0	1.0	collinear
gene:TraesCS7B02G001600	Chr7B	603142	606645	+	604893	Chr7B	605344	608847	+	607095	1.0	1.0	collinear
gene:TraesCS7B02G001700	Chr7B	640963	642786	+	641874	Chr7B	710627	712462	+	711544	1.0	0.986	collinear
gene:TraesCS7B02G002000	Chr7B	781958	782812	-	782385	Chr7B	885127	885981	-	885554	1.0	0.971	collinear
