gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity	segment
gene:TraesCS5D03G0010800	Chr5D	4236946	4237494	+	4237220	Chr5D	2187654	2188202	-	2187928	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0010900	Chr5D	4321657	4325110	+	4323383	Chr5D	2099988	2103441	-	2101714	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0011400	Chr5D	4601728	4604250	+	4602989	Chr5D	1814963	1817485	-	1816224	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0011500	Chr5D	4657637	4660576	+	4659106	Chr5D	1758632	1761571	-	1760101	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0011600	Chr5D	4661997	4662533	+	4662265	Chr5D	1756665	1757201	-	1756933	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0011700	Chr5D	4662688	4663563	+	4663125	Chr5D	1755635	1756510	-	1756072	1.0	0.998	rearrangement:Chr5D_block1
gene:TraesCS5D03G0011800	Chr5D	4685322	4688315	-	4686818	Chr5D	1730886	1733879	+	1732382	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0012000	Chr5D	4692650	4697978	-	4695314	Chr5D	1721212	1726541	+	1723876	1.0	0.999	rearrangement:Chr5D_block1
gene:TraesCS5D03G0012500	Chr5D	4781972	4785327	+	4783649	Chr5D	1631933	1635288	-	1633610	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0012700	Chr5D	4872332	4872634	+	4872483	Chr5D	1545696	1545998	-	1545847	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0013000	Chr5D	4874080	4874303	-	4874191	Chr5D	1544027	1544250	+	1544138	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014100	Chr5D	4882647	4883390	+	4883018	Chr5D	1535975	1536718	-	1536346	1.0	0.998	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014300	Chr5D	4884121	4884294	-	4884207	Chr5D	1535071	1535244	+	1535157	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014400	Chr5D	4884966	4885211	+	4885088	Chr5D	1534148	1534393	-	1534270	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014500	Chr5D	4886766	4887029	+	4886897	Chr5D	1532330	1532593	-	1532461	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014600	Chr5D	4887121	4888287	+	4887704	Chr5D	1531072	1532238	-	1531655	1.0	0.999	rearrangement:Chr5D_block1
gene:TraesCS5D03G0014800	Chr5D	4891913	4894165	-	4893039	Chr5D	1525194	1527446	+	1526320	1.0	0.999	rearrangement:Chr5D_block1
gene:TraesCS5D03G0015100	Chr5D	4897812	4898401	-	4898106	Chr5D	1520958	1521547	+	1521252	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0015300	Chr5D	4901060	4901539	-	4901299	Chr5D	1517819	1518298	+	1518058	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0015400	Chr5D	4901640	4902071	-	4901855	Chr5D	1517287	1517718	+	1517502	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0015500	Chr5D	4902366	4902728	-	4902547	Chr5D	1516630	1516992	+	1516811	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D03G0015700	Chr5D	4904704	4905117	-	4904910	Chr5D	1514241	1514654	+	1514447	1.0	1.0	rearrangement:Chr5D_block1
