gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	1493600	1495384	+	1494492	1.0	1.0
gene:TraesCS5A03G0001500	Chr5A	1684670	1685023	+	1684846	Chr5A	1635391	1635744	+	1635567	1.0	1.0
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	1654623	1657774	-	1656198	0.968	0.968
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	1904978	1905343	-	1905160	1.0	1.0
gene:TraesCS5A03G0002000	Chr5A	2041391	2042111	-	2041751	Chr5A	1990655	1991375	-	1991015	1.0	1.0
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	1992159	1992641	+	1992400	1.0	1.0
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	2008449	2016897	+	2012673	1.0	1.0
gene:TraesCS5A03G0002700	Chr5A	2068880	2071814	+	2070347	Chr5A	2017882	2020816	+	2019349	1.0	1.0
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	2031545	2031891	+	2031718	1.0	1.0
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	2174618	2174797	+	2174707	1.0	1.0
gene:TraesCS5A03G0003300	Chr5A	2269703	2270692	-	2270197	Chr5A	2218352	2219341	-	2218846	1.0	1.0
gene:TraesCS5A03G0003900	Chr5A	2671848	2673352	-	2672600	Chr5A	2615263	2616767	-	2616015	1.0	1.0
gene:TraesCS5A03G0004000	Chr5A	2741825	2743021	-	2742423	Chr5A	2685238	2686434	-	2685836	1.0	1.0
gene:TraesCS5A03G0004500	Chr5A	2854750	2859673	-	2857211	Chr5A	2797126	2802049	-	2799587	1.0	0.999
gene:TraesCS5A03G0004900	Chr5A	2989002	2993252	-	2991127	Chr5A	2932038	2936287	-	2934162	1.0	1.0
gene:TraesCS5A03G0005200	Chr5A	3010374	3014596	+	3012485	Chr5A	2953367	2957589	+	2955478	1.0	1.0
gene:TraesCS5A03G0005300	Chr5A	3015603	3020596	+	3018099	Chr5A	2958564	2963511	+	2961037	0.999	0.996
gene:TraesCS5A03G0005400	Chr5A	3027435	3033237	-	3030336	Chr5A	2969953	2975762	-	2972857	0.999	0.992
gene:TraesCS5A03G0005500	Chr5A	3081377	3084416	-	3082896	Chr5A	3065624	3068663	-	3067143	1.0	0.999
gene:TraesCS5A03G0006300	Chr5A	3306994	3308561	-	3307777	Chr5A	3271912	3273455	-	3272683	0.983	0.974
