cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr3A	28273	2015787	Chr3A	1072119	2776219	21	0.972857142857143
Chr3A	6969528	122734453	Chr3A	2883486	117702222	1212	0.9952714521452145
Chr3A	134412071	140281429	Chr3A	118005926	123842739	47	0.9957659574468085
Chr3A	142385461	192745740	Chr3A	125985030	175797890	214	0.9978644859813084
Chr3A	195861474	263087799	Chr3A	178970002	246427593	204	0.999392156862745
Chr3A	270762150	278734659	Chr3A	254190886	262397004	12	0.9978333333333333
Chr3A	280899243	284859700	Chr3A	264335530	268293565	6	0.9993333333333334
Chr3A	286968946	294756278	Chr3A	270484535	278215374	7	0.9998571428571428
Chr3A	300173801	305236714	Chr3A	284343359	289461370	6	0.9991666666666666
Chr3A	307569651	328087198	Chr3A	291822843	312492341	26	0.9996153846153847
Chr3A	331805909	349096037	Chr3A	319631571	337500625	29	0.9990344827586206
Chr3A	351562540	354510700	Chr3A	339932549	342896245	8	0.9995
Chr3A	357146906	360275758	Chr3A	345567325	348751091	6	0.9998333333333335
Chr3A	362401176	754027567	Chr3A	350877409	756614635	3053	0.9967507369800196
