cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr7B	34838	36507841	Chr7B	8167	35807188	324	0.9933703703703705
Chr7B	39548352	154814815	Chr7B	38175404	154372663	833	0.9956746698679471
Chr7B	298614274	304114007	Chr7B	296826299	302239398	11	0.999909090909091
Chr7B	310413787	312024863	Chr7B	304648596	306131734	3	0.9993333333333334
Chr7B	357994137	389109218	Chr7B	352929222	388724257	136	0.9988676470588236
Chr7B	391956637	405970176	Chr7B	391592867	405518575	52	0.9994999999999999
Chr7B	408568404	419042240	Chr7B	408095227	418623309	45	0.9993555555555557
Chr7B	421064524	541167218	Chr7B	420604892	540497734	773	0.9984890038809833
Chr7B	543188151	722088643	Chr7B	542481208	724880265	1357	0.9943883566691231
Chr7B	749332248	749563785	Chr7B	751623742	752222493	8	0.96625
