gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity	segment
gene:TraesCS1B03G0000100	Chr1B	167368	172879	-	170123	Chr1B	174475	179986	-	177230	1.0	1.0	collinear
gene:TraesCS1B03G0000200	Chr1B	455175	461656	-	458415	Chr1B	455339	461826	-	458582	1.0	1.0	collinear
gene:TraesCS1B03G0000800	Chr1B	705806	707489	+	706647	Chr1B	700092	701775	+	700933	1.0	0.998	collinear
gene:TraesCS1B03G0000900	Chr1B	715446	720451	-	717948	Chr1B	709753	714758	-	712255	1.0	1.0	collinear
gene:TraesCS1B03G0001300	Chr1B	874691	877709	-	876200	Chr1B	868896	871914	-	870405	1.0	1.0	collinear
gene:TraesCS1B03G0001600	Chr1B	1190948	1191943	+	1191445	Chr1B	1184898	1185893	+	1185395	1.0	1.0	collinear
gene:TraesCS1B03G0001900	Chr1B	1193433	1195230	+	1194331	Chr1B	1187386	1189183	+	1188284	1.0	1.0	collinear
gene:TraesCS1B03G0002000	Chr1B	1195555	1199187	-	1197371	Chr1B	1189508	1193140	-	1191324	1.0	1.0	collinear
gene:TraesCS1B03G0002100	Chr1B	1200778	1204863	-	1202820	Chr1B	1194747	1198851	-	1196799	1.0	1.0	collinear
gene:TraesCS1B03G0002200	Chr1B	1237000	1244167	+	1240583	Chr1B	1230727	1237858	+	1234292	0.992	0.992	collinear
gene:TraesCS1B03G0002400	Chr1B	1247087	1248968	+	1248027	Chr1B	1240778	1242646	+	1241712	1.0	1.0	collinear
gene:TraesCS1B03G0002500	Chr1B	1254021	1254909	-	1254465	Chr1B	1247662	1248550	-	1248106	1.0	1.0	collinear
gene:TraesCS1B03G0002700	Chr1B	1268212	1281120	-	1274666	Chr1B	1261854	1274763	-	1268308	1.0	1.0	collinear
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	1446369	1448753	+	1447561	1.0	1.0	collinear
gene:TraesCS1B03G0003100	Chr1B	1407228	1410094	-	1408661	Chr1B	1449550	1452416	-	1450983	1.0	0.998	collinear
gene:TraesCS1B03G0003200	Chr1B	1411477	1414749	-	1413113	Chr1B	1453798	1456935	-	1455366	1.0	0.997	collinear
gene:TraesCS1B03G0003300	Chr1B	1417992	1424275	-	1421133	Chr1B	1460225	1466466	-	1463345	0.993	0.991	collinear
gene:TraesCS1B03G0003400	Chr1B	1457859	1460957	+	1459408	Chr1B	1507638	1510747	+	1509192	0.998	0.977	collinear
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	1681460	1692919	-	1687189	0.992	0.969	collinear
gene:TraesCS1B03G0005300	Chr1B	1804328	1805251	-	1804789	Chr1B	3300476	3301401	+	3300938	1.0	0.968	collinear
gene:TraesCS1B03G0008600	Chr1B	2380688	2383732	-	2382210	Chr1B	2394809	2397853	-	2396331	1.0	0.998	collinear
gene:TraesCS1B03G0008700	Chr1B	2563615	2566164	-	2564889	Chr1B	2585020	2587569	-	2586294	1.0	0.999	collinear
gene:TraesCS1B03G0008800	Chr1B	2661258	2662527	+	2661892	Chr1B	2682156	2683425	+	2682790	1.0	1.0	collinear
gene:TraesCS1B03G0008900	Chr1B	2661462	2662433	+	2661947	Chr1B	2682360	2683331	+	2682845	1.0	1.0	collinear
gene:TraesCS1B03G0009300	Chr1B	2730283	2733041	-	2731662	Chr1B	2677093	2679853	-	2678473	1.0	0.998	collinear
gene:TraesCS1B03G0009600	Chr1B	2791203	2792803	-	2792003	Chr1B	2738004	2739604	-	2738804	1.0	1.0	collinear
gene:TraesCS1B03G0009700	Chr1B	2931085	2935423	-	2933254	Chr1B	2877806	2882144	-	2879975	1.0	1.0	collinear
gene:TraesCS1B03G0009800	Chr1B	3094767	3097318	+	3096042	Chr1B	3041462	3044013	+	3042737	1.0	0.999	collinear
gene:TraesCS1B03G0010200	Chr1B	3246952	3249237	+	3248094	Chr1B	3193669	3195954	+	3194811	1.0	1.0	collinear
gene:TraesCS1B03G0010300	Chr1B	3343692	3346966	+	3345329	Chr1B	3290427	3293701	+	3292064	1.0	1.0	collinear
gene:TraesCS1B03G0010900	Chr1B	3370351	3370974	-	3370662	Chr1B	3317086	3317709	-	3317397	1.0	1.0	collinear
gene:TraesCS1B03G0011000	Chr1B	3371049	3375777	-	3373413	Chr1B	3317784	3322514	-	3320149	1.0	1.0	collinear
gene:TraesCS1B03G0011200	Chr1B	3399421	3412856	+	3406138	Chr1B	3346160	3359697	+	3352928	1.0	1.0	collinear
gene:TraesCS1B03G0012000	Chr1B	3468064	3472241	+	3470152	Chr1B	3414911	3419085	+	3416998	1.0	1.0	collinear
gene:TraesCS1B03G0012400	Chr1B	3758383	3758664	-	3758523	Chr1B	3710854	3711135	-	3710994	1.0	1.0	collinear
gene:TraesCS1B03G0012500	Chr1B	3769497	3771294	-	3770395	Chr1B	3721968	3723765	-	3722866	1.0	1.0	collinear
gene:TraesCS1B03G0012600	Chr1B	3850544	3853244	+	3851894	Chr1B	3803022	3805727	+	3804374	1.0	1.0	collinear
gene:TraesCS1B03G0013100	Chr1B	4073976	4076964	+	4075470	Chr1B	4026514	4029502	+	4028008	1.0	0.992	collinear
gene:TraesCS1B03G0013400	Chr1B	4086402	4088303	+	4087352	Chr1B	4038940	4040841	+	4039890	1.0	0.999	collinear
gene:TraesCS1B03G0013500	Chr1B	4098786	4101519	+	4100152	Chr1B	4051325	4054058	+	4052691	1.0	1.0	collinear
gene:TraesCS1B03G0013600	Chr1B	4115135	4122936	+	4119035	Chr1B	4067686	4075487	+	4071586	1.0	1.0	collinear
gene:TraesCS1B03G0013700	Chr1B	4127051	4129028	+	4128039	Chr1B	4079602	4081579	+	4080590	1.0	1.0	collinear
gene:TraesCS1B03G0013800	Chr1B	4133585	4137066	+	4135325	Chr1B	4086136	4089617	+	4087876	1.0	1.0	collinear
gene:TraesCS1B03G0013900	Chr1B	4138167	4140263	-	4139215	Chr1B	4090718	4092814	-	4091766	1.0	1.0	collinear
gene:TraesCS1B03G0014000	Chr1B	4143564	4145402	+	4144483	Chr1B	4096115	4097953	+	4097034	1.0	1.0	collinear
gene:TraesCS1B03G0014100	Chr1B	4155606	4159084	+	4157345	Chr1B	4108152	4111630	+	4109891	1.0	1.0	collinear
gene:TraesCS1B03G0014300	Chr1B	4243347	4262131	+	4252739	Chr1B	4195890	4214671	+	4205280	1.0	1.0	collinear
gene:TraesCS1B03G0014400	Chr1B	4273438	4279469	+	4276453	Chr1B	4225980	4232011	+	4228995	1.0	1.0	collinear
gene:TraesCS1B03G0014700	Chr1B	4286188	4287595	+	4286891	Chr1B	4238730	4240137	+	4239433	1.0	1.0	collinear
gene:TraesCS1B03G0014800	Chr1B	4297718	4300858	+	4299288	Chr1B	4250260	4253400	+	4251830	1.0	1.0	collinear
gene:TraesCS1B03G0015000	Chr1B	4331657	4334956	+	4333306	Chr1B	4284164	4287463	+	4285813	1.0	1.0	collinear
gene:TraesCS1B03G0015100	Chr1B	4338844	4342938	+	4340891	Chr1B	4291338	4295432	+	4293385	1.0	0.999	collinear
gene:TraesCS1B03G0015200	Chr1B	4393285	4396599	+	4394942	Chr1B	4345780	4349096	+	4347438	1.0	1.0	collinear
gene:TraesCS1B03G0015300	Chr1B	4408161	4409441	+	4408801	Chr1B	4360657	4361937	+	4361297	1.0	1.0	collinear
gene:TraesCS1B03G0015400	Chr1B	4410596	4413631	-	4412113	Chr1B	4363092	4366127	-	4364609	1.0	1.0	collinear
gene:TraesCS1B03G0015600	Chr1B	4508006	4514125	-	4511065	Chr1B	4460202	4466321	-	4463261	1.0	1.0	collinear
gene:TraesCS1B03G0015800	Chr1B	4527377	4530535	+	4528956	Chr1B	4480536	4483699	+	4482117	1.0	0.995	collinear
gene:TraesCS1B03G0015900	Chr1B	4532575	4540073	-	4536324	Chr1B	4485978	4493330	-	4489654	0.996	0.994	collinear
gene:TraesCS1B03G0016300	Chr1B	4938236	4939656	-	4938946	Chr1B	4257688	4259102	+	4258395	0.994	0.945	collinear
gene:TraesCS1B03G0018200	Chr1B	5243086	5249171	-	5246128	Chr1B	4684468	4702508	-	4693488	1.0	0.992	collinear
gene:TraesCS1B03G0019400	Chr1B	5421666	5422574	+	5422120	Chr1B	4763589	4764497	+	4764043	1.0	0.995	collinear
gene:TraesCS1B03G0019700	Chr1B	5447750	5448643	-	5448196	Chr1B	4805274	4806167	+	4805720	1.0	0.976	collinear
gene:TraesCS1B03G0019800	Chr1B	5459628	5460581	-	5460104	Chr1B	4791816	4792769	+	4792292	1.0	0.98	collinear
gene:TraesCS1B03G0019900	Chr1B	5512517	5513581	+	5513049	Chr1B	4931657	4932730	+	4932193	0.985	0.922	collinear
gene:TraesCS1B03G0020500	Chr1B	5592386	5593420	+	5592903	Chr1B	4963216	4964214	+	4963715	0.965	0.956	collinear
gene:TraesCS1B03G0020600	Chr1B	5597356	5598231	+	5597793	Chr1B	4968134	4969009	+	4968571	1.0	0.997	collinear
gene:TraesCS1B03G0020700	Chr1B	5612307	5615571	+	5613939	Chr1B	4974017	4977281	+	4975649	1.0	0.999	collinear
gene:TraesCS1B03G0020800	Chr1B	5614684	5615030	-	5614857	Chr1B	4976394	4976740	-	4976567	1.0	1.0	collinear
gene:TraesCS1B03G0021000	Chr1B	5630788	5631399	+	5631093	Chr1B	4992499	4993110	+	4992804	1.0	0.998	collinear
gene:TraesCS1B03G0021200	Chr1B	5632568	5632786	+	5632677	Chr1B	4994277	4994495	+	4994386	1.0	0.995	collinear
gene:TraesCS1B03G0021800	Chr1B	5836360	5836629	-	5836494	Chr1B	5150072	5150341	-	5150206	1.0	1.0	collinear
gene:TraesCS1B03G0022400	Chr1B	5964797	5965380	+	5965088	Chr1B	5307054	5307637	+	5307345	1.0	0.998	collinear
gene:TraesCS1B03G0023400	Chr1B	6304315	6310761	+	6307538	Chr1B	6285868	6292482	+	6289175	1.0	0.962	collinear
gene:TraesCS1B03G0025900	Chr1B	6761452	6762683	-	6762067	Chr1B	6368582	6369813	-	6369197	1.0	1.0	collinear
gene:TraesCS1B03G0026200	Chr1B	6777069	6777582	+	6777325	Chr1B	6384195	6384708	+	6384451	1.0	1.0	collinear
gene:TraesCS1B03G0026300	Chr1B	6790344	6791931	+	6791137	Chr1B	6397474	6399061	+	6398267	1.0	0.999	collinear
gene:TraesCS1B03G0027200	Chr1B	6885651	6886706	-	6886178	Chr1B	6492155	6493210	-	6492682	1.0	1.0	collinear
gene:TraesCS1B03G0027400	Chr1B	6892910	6894152	-	6893531	Chr1B	6499414	6500656	-	6500035	1.0	1.0	collinear
gene:TraesCS1B03G0027500	Chr1B	6905201	6905452	+	6905326	Chr1B	6511701	6511952	+	6511826	1.0	1.0	collinear
gene:TraesCS1B03G0027600	Chr1B	6911470	6911771	+	6911620	Chr1B	6517970	6518271	+	6518120	1.0	1.0	collinear
gene:TraesCS1B03G0027900	Chr1B	6922415	6926399	+	6924407	Chr1B	6528913	6532897	+	6530905	1.0	1.0	collinear
gene:TraesCS1B03G0028000	Chr1B	6927495	6930956	+	6929225	Chr1B	6533993	6537454	+	6535723	1.0	1.0	collinear
gene:TraesCS1B03G0028200	Chr1B	6933411	6935465	-	6934438	Chr1B	6539909	6541963	-	6540936	1.0	1.0	collinear
gene:TraesCS1B03G0028800	Chr1B	7136171	7137713	-	7136942	Chr1B	6776390	6777932	-	6777161	1.0	0.983	collinear
gene:TraesCS1B03G0028900	Chr1B	7188725	7190156	-	7189440	Chr1B	6824898	6826329	-	6825613	1.0	0.973	collinear
gene:TraesCS1B03G0029300	Chr1B	7473333	7480121	-	7476727	Chr1B	7114580	7121369	-	7117974	1.0	0.998	collinear
gene:TraesCS1B03G0029400	Chr1B	7480639	7487573	+	7484106	Chr1B	7121821	7128770	+	7125295	1.0	0.996	collinear
gene:TraesCS1B03G0029600	Chr1B	7568099	7569690	-	7568894	Chr1B	7602580	7604172	-	7603376	1.0	0.996	collinear
gene:TraesCS1B03G0029700	Chr1B	7583192	7584485	+	7583838	Chr1B	7619866	7621134	+	7620500	0.971	0.968	collinear
gene:TraesCS1B03G0030200	Chr1B	7690090	7695144	-	7692617	Chr1B	7695368	7700422	-	7697895	1.0	0.999	collinear
gene:TraesCS1B03G0030500	Chr1B	7851867	7852259	+	7852063	Chr1B	7857067	7857459	+	7857263	1.0	1.0	collinear
gene:TraesCS1B03G0030900	Chr1B	7968876	7970120	-	7969498	Chr1B	7976005	7977249	-	7976627	1.0	0.998	collinear
gene:TraesCS1B03G0031000	Chr1B	7983452	7987365	+	7985408	Chr1B	7990625	7994538	+	7992581	1.0	0.999	collinear
gene:TraesCS1B03G0031200	Chr1B	8001434	8001895	-	8001664	Chr1B	8008611	8009072	-	8008841	1.0	1.0	collinear
gene:TraesCS1B03G0031300	Chr1B	8012259	8012916	-	8012587	Chr1B	8019454	8020111	-	8019782	1.0	1.0	collinear
gene:TraesCS1B03G0031600	Chr1B	8015274	8016638	-	8015956	Chr1B	8022469	8023833	-	8023151	1.0	1.0	collinear
gene:TraesCS1B03G0031900	Chr1B	8067883	8068314	-	8068098	Chr1B	8075077	8075508	-	8075292	1.0	1.0	collinear
gene:TraesCS1B03G0032000	Chr1B	8072145	8072576	-	8072360	Chr1B	8079339	8079770	-	8079554	1.0	1.0	collinear
gene:TraesCS1B03G0032100	Chr1B	8076414	8076845	-	8076629	Chr1B	8083607	8084038	-	8083822	1.0	1.0	collinear
gene:TraesCS1B03G0032200	Chr1B	8080100	8080864	-	8080482	Chr1B	8087293	8088057	-	8087675	1.0	1.0	collinear
gene:TraesCS1B03G0032300	Chr1B	8132405	8135365	-	8133885	Chr1B	8139600	8142560	-	8141080	1.0	1.0	collinear
gene:TraesCS1B03G0032500	Chr1B	8155434	8161680	-	8158557	Chr1B	8163872	8170118	-	8166995	1.0	1.0	collinear
gene:TraesCS1B03G0032600	Chr1B	8236364	8237203	-	8236783	Chr1B	8239607	8240446	-	8240026	1.0	1.0	collinear
gene:TraesCS1B03G0033500	Chr1B	8425856	8428352	-	8427104	Chr1B	8415785	8418280	-	8417032	1.0	0.995	collinear
gene:TraesCS1B03G0033600	Chr1B	8458930	8460461	-	8459695	Chr1B	8448863	8450394	-	8449628	1.0	0.994	collinear
gene:TraesCS1B03G0034200	Chr1B	8519980	8527072	+	8523526	Chr1B	8509909	8517001	+	8513455	1.0	0.999	collinear
gene:TraesCS1B03G0034400	Chr1B	8592364	8593919	+	8593141	Chr1B	8582267	8583822	+	8583044	1.0	1.0	collinear
gene:TraesCS1B03G0034500	Chr1B	8645390	8646951	+	8646170	Chr1B	8635297	8636858	+	8636077	1.0	1.0	collinear
gene:TraesCS1B03G0034600	Chr1B	8672509	8677350	-	8674929	Chr1B	8662417	8667263	-	8664840	1.0	1.0	collinear
gene:TraesCS1B03G0035000	Chr1B	8710149	8712378	+	8711263	Chr1B	8698763	8701118	+	8699940	1.0	0.977	collinear
gene:TraesCS1B03G0035300	Chr1B	8731073	8731747	+	8731410	Chr1B	8719816	8720464	+	8720140	1.0	0.99	collinear
gene:TraesCS1B03G0035400	Chr1B	8748973	8750925	+	8749949	Chr1B	8737714	8739666	+	8738690	1.0	0.996	collinear
gene:TraesCS1B03G0035700	Chr1B	8775326	8781500	+	8778413	Chr1B	8791991	8798116	+	8795053	0.994	0.968	collinear
gene:TraesCS1B03G0035800	Chr1B	8781958	8783322	+	8782640	Chr1B	8798580	8799937	+	8799258	0.991	0.945	collinear
gene:TraesCS1B03G0036200	Chr1B	8920793	8921583	-	8921188	Chr1B	8940621	8941357	-	8940989	1.0	0.997	collinear
gene:TraesCS1B03G0036300	Chr1B	8936686	8939403	-	8938044	Chr1B	8956423	8959140	-	8957781	1.0	0.997	collinear
gene:TraesCS1B03G0036500	Chr1B	9081442	9085624	+	9083533	Chr1B	8969309	8973285	+	8971297	0.944	0.94	collinear
gene:TraesCS1B03G0036700	Chr1B	9183329	9184082	+	9183705	Chr1B	9073909	9074662	+	9074285	1.0	1.0	collinear
gene:TraesCS1B03G0036800	Chr1B	9188008	9202582	+	9195295	Chr1B	9078588	9093162	+	9085875	1.0	1.0	collinear
gene:TraesCS1B03G0036900	Chr1B	9221024	9223309	+	9222166	Chr1B	9111604	9113889	+	9112746	1.0	1.0	collinear
gene:TraesCS1B03G0037100	Chr1B	9234708	9235360	-	9235034	Chr1B	9124988	9125640	-	9125314	1.0	1.0	collinear
gene:TraesCS1B03G0037200	Chr1B	9239572	9240364	-	9239968	Chr1B	9129851	9130643	-	9130247	1.0	0.998	collinear
gene:TraesCS1B03G0037500	Chr1B	9294962	9297935	-	9296448	Chr1B	9196217	9199190	-	9197703	1.0	0.999	collinear
