cs_chr	Paragon_v3_tgt_chr	n_anchors	Paragon_v3_mean_anchor_gap_Mb	Paragon_v3_interp_type	n_segments	Paragon_v3_mean_anchor_fraction
Chr1A	Chr1A	3795	0.157	linear	1	0.928
Chr1B	Chr1B	4167	0.164	linear	1	0.906
Chr1D	Chr1D	4325	0.115	linear	1	0.978
Chr2A	Chr2A	4733	0.162	linear	1	0.826
Chr2B	Chr2B	5347	0.15	linear	1	0.915
Chr2D	Chr2D	5136	0.124	linear	1	0.943
Chr3A	Chr3A	4881	0.154	linear	1	0.953
Chr3B	Chr3B	5305	0.157	linear	1	0.926
Chr3D	Chr3D	4646	0.132	linear	1	0.927
Chr4A	Chr4A	3487	0.204	linear	1	0.748
Chr4B	Chr4B	3517	0.191	linear	1	0.762
Chr4D	Chr4D	3511	0.145	linear	1	0.989
Chr5A	Chr5A	5121	0.138	linear	1	0.935
Chr5B	Chr5B	4951	0.142	linear	1	0.889
Chr5D	Chr5D	5361	0.105	linear	1	0.975
Chr6A	Chr6A	3893	0.159	linear	1	0.972
Chr6B	Chr6B	3729	0.193	linear	1	0.722
Chr6D	Chr6D	3307	0.135	linear	1	0.922
Chr7A	Chr7A	4945	0.149	linear	1	0.922
Chr7B	Chr7B	3775	0.199	linear	1	0.739
Chr7D	Chr7D	4989	0.125	linear	1	0.958
