cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr4A	255891836	264172555	Chr4A	300187405	308433806	14	0.9996428571428572
Chr4A	266692038	291455005	Chr4A	245844223	327269552	35	0.9994285714285716
Chr4A	293591696	312125594	Chr4A	255911181	274392363	26	1.0
Chr4A	317950774	326248331	Chr4A	280191049	288454792	52	1.0
Chr4A	81328	130332624	Chr4A	141846	130032758	1057	0.9998022705771051
Chr4A	132517055	192330869	Chr4A	132219026	191967917	262	0.9998206106870228
Chr4A	194997349	219652885	Chr4A	194629597	219217473	44	0.9995681818181819
Chr4A	221731546	222175913	Chr4A	221290537	221734859	3	1.0
Chr4A	224910983	226677182	Chr4A	224457206	226217959	4	1.0
Chr4A	229114346	242431315	Chr4A	228640978	241942765	21	0.999952380952381
Chr4A	328283933	333487928	Chr4A	328972279	334165660	6	1.0
Chr4A	337968373	349413639	Chr4A	338643910	349901844	22	0.9999545454545455
Chr4A	351426691	353020297	Chr4A	351984404	353577676	4	1.0
Chr4A	355676988	358739297	Chr4A	356233466	359289697	6	0.9998333333333332
Chr4A	361169426	364704441	Chr4A	361720075	365242525	5	1.0
Chr4A	372955440	386206032	Chr4A	374037413	387447756	15	1.0
Chr4A	388345576	389986218	Chr4A	389572280	391195926	3	1.0
Chr4A	394095303	397542408	Chr4A	395284952	398729238	6	1.0
Chr4A	399782828	400323386	Chr4A	400963563	401503545	3	1.0
Chr4A	406605144	419576751	Chr4A	407738011	420679283	17	0.9997647058823531
Chr4A	421807811	507495678	Chr4A	422903431	508275077	421	0.9998076009501187
Chr4A	509609425	640432609	Chr4A	510385895	643300850	1510	0.9996403973509933
Chr4A	663482388	668000143	Chr4A	663480877	668761883	42	1.0
Chr4A	689798112	754177262	Chr4A	692820172	759080159	826	0.9997808716707022
Chr4A	641496064	663341756	Chr4A	668903945	692095336	131	0.9997251908396947
Chr4A	668033943	687875998	Chr4A	643646900	663447084	260	0.9999038461538462
