gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity	segment
gene:TraesCS4B03G0003800	Chr4B	1685750	1687075	+	1686412	Chr4B	4845081	4846384	+	4845732	0.969	0.944	rearrangement:Chr4B_block1
gene:TraesCS4B03G0004200	Chr4B	1757457	1761476	+	1759466	Chr4B	4905061	4909001	+	4907031	1.0	0.999	rearrangement:Chr4B_block1
gene:TraesCS4B03G0004300	Chr4B	1762923	1767453	+	1765188	Chr4B	4910452	4914846	+	4912649	0.996	0.99	rearrangement:Chr4B_block1
gene:TraesCS4B03G0004400	Chr4B	1769850	1774224	+	1772037	Chr4B	4917205	4921580	+	4919392	1.0	0.992	rearrangement:Chr4B_block1
gene:TraesCS4B03G0004500	Chr4B	1775068	1779099	+	1777083	Chr4B	4922570	4926601	+	4924585	1.0	0.996	rearrangement:Chr4B_block1
gene:TraesCS4B03G0004900	Chr4B	1839220	1843075	+	1841147	Chr4B	5010162	5014009	+	5012085	1.0	0.987	rearrangement:Chr4B_block1
gene:TraesCS4B03G0005300	Chr4B	2021348	2025490	-	2023419	Chr4B	5173513	5177655	-	5175584	1.0	0.997	rearrangement:Chr4B_block1
gene:TraesCS4B03G0005400	Chr4B	2134054	2136160	+	2135107	Chr4B	5423589	5425692	+	5424640	1.0	0.997	rearrangement:Chr4B_block1
gene:TraesCS4B03G0006600	Chr4B	2361690	2362465	-	2362077	Chr4B	5666835	5667610	-	5667222	1.0	0.998	rearrangement:Chr4B_block1
gene:TraesCS4B03G0007800	Chr4B	3611489	3612627	+	3612058	Chr4B	8511534	8512672	-	8512103	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B03G0008000	Chr4B	3629912	3630922	-	3630417	Chr4B	8493533	8494543	+	8494038	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B03G0009600	Chr4B	4394789	4395654	-	4395221	Chr4B	8429907	8430772	-	8430339	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B03G0010100	Chr4B	4628508	4631877	-	4630192	Chr4B	8739657	8743026	-	8741341	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B03G0010200	Chr4B	4649709	4654096	+	4651902	Chr4B	8760862	8765249	+	8763055	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B03G0010400	Chr4B	4694467	4701478	+	4697972	Chr4B	8805641	8812650	+	8809145	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B03G0010500	Chr4B	4702115	4703499	+	4702807	Chr4B	8813287	8814671	+	8813979	1.0	0.999	rearrangement:Chr4B_block2
gene:TraesCS4B03G0010600	Chr4B	4704103	4704905	+	4704504	Chr4B	8815275	8816077	+	8815676	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B03G0010700	Chr4B	4748349	4751329	-	4749839	Chr4B	8859551	8862531	-	8861041	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B03G0010800	Chr4B	4757354	4758546	-	4757950	Chr4B	8868584	8869776	-	8869180	1.0	1.0	rearrangement:Chr4B_block2
gene:TraesCS4B03G0011200	Chr4B	5005176	5006735	+	5005955	Chr4B	8909664	8911223	+	8910443	1.0	0.997	rearrangement:Chr4B_block2
gene:TraesCS4B03G0011300	Chr4B	5013958	5015724	-	5014841	Chr4B	8918446	8920213	-	8919329	1.0	0.996	rearrangement:Chr4B_block2
gene:TraesCS4B03G0011400	Chr4B	5016147	5018598	+	5017372	Chr4B	8920636	8923086	+	8921861	1.0	0.997	rearrangement:Chr4B_block2
gene:TraesCS4B03G0011800	Chr4B	5050011	5052020	-	5051015	Chr4B	8966376	8968362	-	8967369	0.98	0.926	rearrangement:Chr4B_block2
gene:TraesCS4B03G0012200	Chr4B	5087164	5091352	-	5089258	Chr4B	9009268	9013506	-	9011387	0.998	0.977	rearrangement:Chr4B_block2
gene:TraesCS4B03G0421300	Chr4B	303677487	303681169	+	303679328	Chr4B	276635364	276639046	-	276637205	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B03G0421800	Chr4B	305085912	305089082	+	305087497	Chr4B	292124294	292127464	-	292125879	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B03G0422000	Chr4B	305093743	305098139	-	305095941	Chr4B	292115237	292119633	+	292117435	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B03G0422100	Chr4B	306200080	306210987	+	306205533	Chr4B	291006107	291017014	-	291011560	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B03G0422400	Chr4B	306823340	306826867	-	306825103	Chr4B	290395250	290398777	+	290397013	1.0	0.999	rearrangement:Chr4B_block3
gene:TraesCS4B03G0422800	Chr4B	307202150	307206162	-	307204156	Chr4B	290017942	290021954	+	290019948	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B03G0423200	Chr4B	308275049	308275153	-	308275101	Chr4B	288949908	288950012	+	288949960	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B03G0423600	Chr4B	308278859	308279018	+	308278938	Chr4B	288946044	288946203	-	288946123	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B03G0423700	Chr4B	308279851	308280039	-	308279945	Chr4B	288945023	288945211	+	288945117	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B03G0424600	Chr4B	308284238	308284348	-	308284293	Chr4B	288940714	288940824	+	288940769	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B03G0425400	Chr4B	308295572	308296255	+	308295913	Chr4B	288928807	288929490	-	288929148	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B03G0425500	Chr4B	308296395	308296649	-	308296522	Chr4B	288928413	288928667	+	288928540	1.0	1.0	rearrangement:Chr4B_block3
gene:TraesCS4B03G0425600	Chr4B	308296660	308296909	-	308296784	Chr4B	288928153	288928402	+	288928277	1.0	1.0	rearrangement:Chr4B_block3
