gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity	segment
gene:TraesCS3A02G000200	Chr3A	41683	44884	-	43283	Chr3A	1645942	1649141	-	1647541	1.0	0.989	collinear
gene:TraesCS3A02G000500	Chr3A	129964	132254	-	131109	Chr3A	1565429	1567398	+	1566413	1.0	0.984	collinear
gene:TraesCS3A02G000600	Chr3A	177219	179017	-	178118	Chr3A	1513728	1516031	+	1514879	0.998	0.972	collinear
gene:TraesCS3A02G000700	Chr3A	204727	208013	-	206370	Chr3A	1480596	1483882	+	1482239	1.0	0.996	collinear
gene:TraesCS3A02G000800	Chr3A	397801	400871	-	399336	Chr3A	1401983	1405055	+	1403519	1.0	0.991	collinear
gene:TraesCS3A02G000900	Chr3A	409621	416203	-	412912	Chr3A	1295331	1301325	+	1298328	0.954	0.905	collinear
gene:TraesCS3A02G001000	Chr3A	425011	425988	-	425499	Chr3A	1285656	1286636	+	1286146	1.0	0.987	collinear
gene:TraesCS3A02G001100	Chr3A	430147	432865	+	431506	Chr3A	1245588	1248337	-	1246962	1.0	0.958	collinear
gene:TraesCS3A02G001500	Chr3A	1028128	1031945	+	1030036	Chr3A	1106598	1110358	-	1108478	0.964	0.917	collinear
gene:TraesCS3A02G001600	Chr3A	1055242	1059496	-	1057369	Chr3A	1070253	1073986	+	1072119	0.999	0.975	collinear
gene:TraesCS3A02G001700	Chr3A	1304381	1309289	+	1306835	Chr3A	528268	533251	-	530759	0.998	0.941	collinear
gene:TraesCS3A02G001800	Chr3A	1313066	1315898	-	1314482	Chr3A	514918	517733	+	516325	0.979	0.955	collinear
gene:TraesCS3A02G001900	Chr3A	1325708	1326744	-	1326226	Chr3A	469902	470935	+	470418	0.997	0.994	collinear
gene:TraesCS3A02G002100	Chr3A	1380918	1383491	+	1382204	Chr3A	454530	457088	-	455809	0.994	0.983	collinear
gene:TraesCS3A02G002200	Chr3A	1389037	1389428	-	1389232	Chr3A	448370	448760	+	448565	1.0	0.996	collinear
gene:TraesCS3A02G002300	Chr3A	1392585	1394247	-	1393416	Chr3A	443475	445148	+	444311	0.999	0.977	collinear
gene:TraesCS3A02G002600	Chr3A	1574631	1574990	+	1574810	Chr3A	2193576	2193932	+	2193754	0.991	0.991	collinear
gene:TraesCS3A02G002700	Chr3A	1593227	1593658	+	1593442	Chr3A	2210284	2210710	+	2210497	0.981	0.96	collinear
gene:TraesCS3A02G002800	Chr3A	1618081	1619002	+	1618541	Chr3A	2220947	2221868	+	2221407	1.0	0.993	collinear
gene:TraesCS3A02G003000	Chr3A	1711784	1712270	-	1712027	Chr3A	2379645	2380131	-	2379888	1.0	0.993	collinear
gene:TraesCS3A02G003200	Chr3A	1780395	1782252	+	1781323	Chr3A	2522981	2524838	+	2523909	1.0	0.99	collinear
gene:TraesCS3A02G003300	Chr3A	1789588	1790065	+	1789826	Chr3A	2540590	2541067	+	2540828	1.0	0.995	collinear
gene:TraesCS3A02G003400	Chr3A	1797375	1797977	+	1797676	Chr3A	2547020	2547622	+	2547321	1.0	0.993	collinear
gene:TraesCS3A02G003500	Chr3A	1885671	1886377	+	1886024	Chr3A	2727914	2728596	+	2728255	0.966	0.927	collinear
gene:TraesCS3A02G003600	Chr3A	1896509	1898746	-	1897627	Chr3A	2745809	2748052	-	2746930	1.0	0.954	collinear
gene:TraesCS3A02G003700	Chr3A	1903850	1904592	+	1904221	Chr3A	2762529	2763271	+	2762900	0.998	0.989	collinear
gene:TraesCS3A02G003800	Chr3A	1919555	1923009	+	1921282	Chr3A	2769329	2772785	+	2771057	1.0	0.994	collinear
gene:TraesCS3A02G003900	Chr3A	1924585	1928794	-	1926689	Chr3A	2774138	2778301	-	2776219	0.977	0.966	collinear
gene:TraesCS3A02G005500	Chr3A	6891942	6899514	-	6895728	Chr3A	2881266	2885706	-	2883486	0.934	0.912	collinear
gene:TraesCS3A02G005600	Chr3A	7124999	7125736	-	7125367	Chr3A	2994438	2995163	-	2994800	0.983	0.967	collinear
gene:TraesCS3A02G005800	Chr3A	7164556	7165185	+	7164870	Chr3A	3011483	3012112	+	3011797	1.0	0.984	collinear
gene:TraesCS3A02G005900	Chr3A	7200517	7201780	-	7201148	Chr3A	3026402	3027668	-	3027035	1.0	0.99	collinear
gene:TraesCS3A02G006000	Chr3A	7214595	7215368	-	7214981	Chr3A	3077198	3077967	-	3077582	0.994	0.976	collinear
gene:TraesCS3A02G006100	Chr3A	7254324	7260233	+	7257278	Chr3A	3135243	3141158	+	3138200	0.984	0.976	collinear
gene:TraesCS3A02G006300	Chr3A	7273333	7275112	-	7274222	Chr3A	3161126	3162896	-	3162011	0.995	0.973	collinear
gene:TraesCS3A02G006400	Chr3A	7278992	7280206	-	7279599	Chr3A	3166767	3168005	-	3167386	0.995	0.938	collinear
gene:TraesCS3A02G006600	Chr3A	7294362	7297912	+	7296137	Chr3A	3267183	3270572	+	3268877	1.0	0.992	collinear
gene:TraesCS3A02G006900	Chr3A	7384784	7389062	-	7386923	Chr3A	3304155	3307443	-	3305799	0.994	0.914	collinear
gene:TraesCS3A02G007000	Chr3A	7432258	7432761	-	7432509	Chr3A	3321573	3322076	-	3321824	1.0	0.978	collinear
gene:TraesCS3A02G007100	Chr3A	7436857	7439060	-	7437958	Chr3A	3326380	3328679	-	3327529	0.995	0.971	collinear
gene:TraesCS3A02G007200	Chr3A	7469796	7474094	-	7471945	Chr3A	3356252	3360514	-	3358383	1.0	0.988	collinear
gene:TraesCS3A02G007300	Chr3A	7474899	7476900	-	7475899	Chr3A	3361342	3363349	-	3362345	1.0	0.968	collinear
gene:TraesCS3A02G007500	Chr3A	7653355	7653726	+	7653540	Chr3A	3460437	3460811	+	3460624	1.0	0.954	collinear
gene:TraesCS3A02G007700	Chr3A	7781523	7782418	+	7781970	Chr3A	3479074	3479966	+	3479520	0.989	0.963	collinear
gene:TraesCS3A02G007800	Chr3A	7788947	7791684	-	7790315	Chr3A	3486526	3489392	-	3487959	0.995	0.952	collinear
gene:TraesCS3A02G007900	Chr3A	7819924	7821515	+	7820719	Chr3A	3530510	3532099	+	3531304	1.0	0.987	collinear
gene:TraesCS3A02G008100	Chr3A	7948592	7952410	+	7950501	Chr3A	3762513	3766298	+	3764405	0.972	0.921	collinear
gene:TraesCS3A02G008400	Chr3A	8149662	8150210	-	8149936	Chr3A	3860214	3860766	-	3860490	1.0	0.983	collinear
gene:TraesCS3A02G008700	Chr3A	8211470	8212820	-	8212145	Chr3A	3942240	3943571	-	3942905	0.996	0.952	collinear
gene:TraesCS3A02G008900	Chr3A	8258758	8260510	+	8259634	Chr3A	4016949	4018689	+	4017819	0.993	0.971	collinear
gene:TraesCS3A02G009400	Chr3A	8587928	8594001	+	8590964	Chr3A	4061966	4067983	+	4064974	0.986	0.968	collinear
gene:TraesCS3A02G009500	Chr3A	8595848	8596544	+	8596196	Chr3A	4070025	4070721	+	4070373	1.0	0.987	collinear
gene:TraesCS3A02G009600	Chr3A	8682322	8687101	+	8684711	Chr3A	4179563	4184184	+	4181873	0.994	0.971	collinear
gene:TraesCS3A02G009700	Chr3A	8737546	8739225	-	8738385	Chr3A	4219835	4221514	-	4220674	1.0	0.97	collinear
gene:TraesCS3A02G010000	Chr3A	8861309	8865850	+	8863579	Chr3A	4316962	4321514	+	4319238	1.0	0.981	collinear
gene:TraesCS3A02G010100	Chr3A	8866086	8869744	-	8867915	Chr3A	4321750	4325156	-	4323453	1.0	0.99	collinear
gene:TraesCS3A02G010200	Chr3A	8902920	8903444	-	8903182	Chr3A	4378306	4378826	-	4378566	0.99	0.95	collinear
gene:TraesCS3A02G010300	Chr3A	8907860	8910450	-	8909155	Chr3A	4381343	4384131	-	4382737	0.988	0.9	collinear
gene:TraesCS3A02G010600	Chr3A	9007482	9008294	+	9007888	Chr3A	4486112	4486930	+	4486521	1.0	0.979	collinear
gene:TraesCS3A02G010700	Chr3A	9045707	9046277	+	9045992	Chr3A	4480785	4481355	+	4481070	1.0	0.983	collinear
gene:TraesCS3A02G011200	Chr3A	9186003	9186618	+	9186310	Chr3A	4627999	4628642	+	4628320	1.0	0.979	collinear
gene:TraesCS3A02G011400	Chr3A	9210008	9210976	+	9210492	Chr3A	4645913	4646881	+	4646397	1.0	0.978	collinear
gene:TraesCS3A02G011500	Chr3A	9280237	9281151	-	9280694	Chr3A	4704213	4705118	-	4704665	0.989	0.963	collinear
gene:TraesCS3A02G011900	Chr3A	9473058	9473828	+	9473443	Chr3A	4807840	4808621	+	4808230	1.0	0.972	collinear
gene:TraesCS3A02G012000	Chr3A	9480858	9481594	+	9481226	Chr3A	4815096	4815828	+	4815462	0.981	0.947	collinear
gene:TraesCS3A02G012600	Chr3A	9573207	9574175	+	9573691	Chr3A	4895967	4896935	+	4896451	1.0	0.982	collinear
gene:TraesCS3A02G012700	Chr3A	9581939	9598586	-	9590262	Chr3A	4917497	4929490	-	4923493	0.944	0.93	collinear
gene:TraesCS3A02G012800	Chr3A	9604640	9606826	-	9605733	Chr3A	4935722	4937908	-	4936815	1.0	0.993	collinear
gene:TraesCS3A02G012900	Chr3A	9610472	9613044	-	9611758	Chr3A	4941573	4944465	-	4943019	1.0	0.948	collinear
gene:TraesCS3A02G013000	Chr3A	9609856	9615735	+	9612795	Chr3A	4940902	4947233	+	4944067	0.998	0.928	collinear
gene:TraesCS3A02G013300	Chr3A	9770501	9773686	-	9772093	Chr3A	5067482	5070413	-	5068947	1.0	0.979	collinear
gene:TraesCS3A02G013500	Chr3A	9780929	9783071	+	9782000	Chr3A	5077104	5079217	+	5078160	0.982	0.976	collinear
gene:TraesCS3A02G013700	Chr3A	9843405	9846523	-	9844964	Chr3A	5226571	5229679	-	5228125	1.0	0.992	collinear
gene:TraesCS3A02G013800	Chr3A	9852585	9855941	+	9854263	Chr3A	5236379	5239735	+	5238057	1.0	0.99	collinear
gene:TraesCS3A02G014700	Chr3A	10153824	10154825	+	10154324	Chr3A	5460643	5461665	+	5461154	1.0	0.965	collinear
gene:TraesCS3A02G014800	Chr3A	10166126	10168849	+	10167487	Chr3A	5401612	5404338	+	5402975	0.999	0.992	collinear
gene:TraesCS3A02G014900	Chr3A	10213214	10218015	+	10215614	Chr3A	5449423	5454225	+	5451824	1.0	0.993	collinear
gene:TraesCS3A02G015300	Chr3A	10271215	10272240	+	10271727	Chr3A	5636175	5637200	-	5636687	1.0	0.936	collinear
gene:TraesCS3A02G015500	Chr3A	10300292	10309206	-	10304749	Chr3A	5485862	5494504	-	5490183	0.977	0.969	collinear
gene:TraesCS3A02G015600	Chr3A	10340218	10351347	+	10345782	Chr3A	5537816	5552414	+	5545115	0.998	0.986	collinear
gene:TraesCS3A02G016200	Chr3A	10499344	10501395	+	10500369	Chr3A	5649453	5651507	+	5650480	1.0	0.973	collinear
gene:TraesCS3A02G016400	Chr3A	10584044	10592985	+	10588514	Chr3A	5704935	5713749	+	5709342	0.999	0.984	collinear
gene:TraesCS3A02G017400	Chr3A	11023281	11028199	-	11025740	Chr3A	5969922	5975012	-	5972467	1.0	0.974	collinear
gene:TraesCS3A02G017600	Chr3A	11127030	11128034	+	11127532	Chr3A	5994652	5995651	+	5995151	0.994	0.969	collinear
gene:TraesCS3A02G018300	Chr3A	11457283	11459162	-	11458222	Chr3A	6207758	6209637	-	6208697	0.996	0.977	collinear
gene:TraesCS3A02G018500	Chr3A	11471664	11472966	+	11472315	Chr3A	6213463	6214763	+	6214113	0.998	0.976	collinear
gene:TraesCS3A02G018800	Chr3A	11603419	11604084	+	11603751	Chr3A	6455558	6456207	-	6455882	0.948	0.906	collinear
gene:TraesCS3A02G019000	Chr3A	11675040	11677457	-	11676248	Chr3A	6462843	6465269	-	6464056	1.0	0.963	collinear
gene:TraesCS3A02G019200	Chr3A	11758193	11762739	+	11760466	Chr3A	6547375	6551984	+	6549679	1.0	0.987	collinear
gene:TraesCS3A02G019300	Chr3A	11779750	11785529	-	11782639	Chr3A	6580419	6586160	-	6583289	0.997	0.98	collinear
gene:TraesCS3A02G019500	Chr3A	11810749	11813128	-	11811938	Chr3A	6600010	6602428	-	6601219	0.997	0.958	collinear
gene:TraesCS3A02G019600	Chr3A	11837633	11839438	-	11838535	Chr3A	6619207	6621026	-	6620116	0.991	0.952	collinear
gene:TraesCS3A02G019700	Chr3A	11872209	11873297	-	11872753	Chr3A	6654258	6655346	-	6654802	1.0	1.0	collinear
gene:TraesCS3A02G019800	Chr3A	11881450	11882907	-	11882178	Chr3A	6663537	6664994	-	6664265	1.0	1.0	collinear
gene:TraesCS3A02G019900	Chr3A	11891585	11895285	-	11893435	Chr3A	6673910	6677611	-	6675760	1.0	1.0	collinear
gene:TraesCS3A02G020000	Chr3A	11898434	11899168	+	11898801	Chr3A	6680774	6681508	+	6681141	1.0	1.0	collinear
gene:TraesCS3A02G020100	Chr3A	11903304	11904808	-	11904056	Chr3A	6685368	6686872	-	6686120	1.0	1.0	collinear
gene:TraesCS3A02G020200	Chr3A	11920649	11921725	+	11921187	Chr3A	6707107	6708183	+	6707645	1.0	1.0	collinear
gene:TraesCS3A02G020300	Chr3A	11938474	11942184	+	11940329	Chr3A	6724254	6727964	+	6726109	1.0	1.0	collinear
gene:TraesCS3A02G020400	Chr3A	11947227	11949045	-	11948136	Chr3A	6732567	6734385	-	6733476	1.0	1.0	collinear
gene:TraesCS3A02G020500	Chr3A	11957063	11959032	-	11958047	Chr3A	6742402	6744371	-	6743386	1.0	1.0	collinear
gene:TraesCS3A02G020600	Chr3A	12028877	12030656	-	12029766	Chr3A	6814075	6815854	-	6814964	1.0	1.0	collinear
gene:TraesCS3A02G020700	Chr3A	12038563	12040271	-	12039417	Chr3A	6823704	6825412	-	6824558	1.0	1.0	collinear
gene:TraesCS3A02G020800	Chr3A	12117137	12118207	-	12117672	Chr3A	6902532	6903602	-	6903067	1.0	1.0	collinear
gene:TraesCS3A02G020900	Chr3A	12167514	12168498	-	12168006	Chr3A	6958152	6959136	-	6958644	1.0	1.0	collinear
gene:TraesCS3A02G021000	Chr3A	12171526	12172455	+	12171990	Chr3A	6962245	6963174	+	6962709	1.0	1.0	collinear
gene:TraesCS3A02G021100	Chr3A	12173882	12175112	-	12174497	Chr3A	6964601	6965831	-	6965216	1.0	0.998	collinear
gene:TraesCS3A02G021200	Chr3A	12228188	12229240	-	12228714	Chr3A	7026406	7027458	-	7026932	1.0	1.0	collinear
gene:TraesCS3A02G021300	Chr3A	12232322	12242134	+	12237228	Chr3A	7030546	7040365	+	7035455	1.0	0.998	collinear
gene:TraesCS3A02G021400	Chr3A	12253328	12253806	+	12253567	Chr3A	7051558	7052036	+	7051797	1.0	1.0	collinear
