gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS5D02G000100	Chr5D	93627	97954	+	95790	Chr5D	1013890	1018217	-	1016053	1.0	1.0	collinear
gene:TraesCS5D02G000200	Chr5D	145361	145693	+	145527	Chr5D	754154	754486	-	754320	1.0	0.996	collinear
gene:TraesCS5D02G000300	Chr5D	360377	360709	+	360543	Chr5D	967224	967556	-	967390	1.0	0.996	collinear
gene:TraesCS5D02G000400	Chr5D	388060	389487	-	388773	Chr5D	725837	727264	+	726550	1.0	0.979	collinear
gene:TraesCS5D02G000800	Chr5D	932454	935468	+	933961	Chr5D	117278	120292	+	118785	1.0	1.0	collinear
gene:TraesCS5D02G000900	Chr5D	935699	941610	-	938654	Chr5D	120523	126444	-	123483	1.0	0.997	collinear
gene:TraesCS5D02G001000	Chr5D	1533333	1534376	+	1533854	Chr5D	1778302	1779340	+	1778821	0.988	0.957	collinear
gene:TraesCS5D02G001100	Chr5D	1540941	1542985	-	1541963	Chr5D	1785907	1787879	-	1786893	0.964	0.941	collinear
gene:TraesCS5D02G001200	Chr5D	1609486	1614664	+	1612075	Chr5D	1853719	1858907	+	1856313	1.0	0.999	collinear
gene:TraesCS5D02G001300	Chr5D	1710262	1717300	-	1713781	Chr5D	1953481	1960519	-	1957000	1.0	1.0	collinear
gene:TraesCS5D02G001400	Chr5D	1799796	1802729	+	1801262	Chr5D	2051666	2054598	+	2053132	0.999	0.998	collinear
gene:TraesCS5D02G001500	Chr5D	1863397	1865475	+	1864436	Chr5D	2114620	2116328	+	2115474	1.0	1.0	collinear
gene:TraesCS5D02G001600	Chr5D	1884703	1887402	-	1886052	Chr5D	2134797	2137496	-	2136146	1.0	1.0	collinear
gene:TraesCS5D02G001800	Chr5D	2121540	2122331	+	2121935	Chr5D	2388046	2388837	+	2388441	1.0	1.0	collinear
gene:TraesCS5D02G001900	Chr5D	2135699	2142446	+	2139072	Chr5D	2402268	2409013	+	2405640	1.0	0.999	collinear
gene:TraesCS5D02G002000	Chr5D	2251351	2252995	-	2252173	Chr5D	2518136	2519780	-	2518958	1.0	1.0	collinear
gene:TraesCS5D02G002100	Chr5D	2286527	2288880	+	2287703	Chr5D	2553280	2555633	+	2554456	1.0	0.994	collinear
gene:TraesCS5D02G002200	Chr5D	2291803	2303188	+	2297495	Chr5D	2558556	2569406	+	2563981	1.0	0.991	collinear
gene:TraesCS5D02G002300	Chr5D	2511000	2512022	-	2511511	Chr5D	2782142	2783164	-	2782653	1.0	1.0	collinear
gene:TraesCS5D02G002400	Chr5D	2610483	2613387	+	2611935	Chr5D	2880580	2883484	+	2882032	1.0	0.997	collinear
gene:TraesCS5D02G002500	Chr5D	2660134	2666343	+	2663238	Chr5D	2929884	2936095	+	2932989	1.0	0.998	collinear
gene:TraesCS5D02G002600	Chr5D	2667802	2673002	-	2670402	Chr5D	2937554	2942754	-	2940154	1.0	0.997	collinear
gene:TraesCS5D02G002700	Chr5D	2674369	2678450	-	2676409	Chr5D	2944094	2948168	-	2946131	0.996	0.995	collinear
gene:TraesCS5D02G002800	Chr5D	2684313	2688683	+	2686498	Chr5D	2953450	2957820	+	2955635	1.0	0.992	collinear
