gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity
gene:TraesCS6B03G0000500	Chr6B	137372	140150	-	138761	Chr6B	396224	399004	-	397614	0.993	0.976
gene:TraesCS6B03G0000700	Chr6B	140235	142046	-	141140	Chr6B	399090	400995	-	400042	0.995	0.942
gene:TraesCS6B03G0001400	Chr6B	303846	304801	+	304323	Chr6B	4355185	4356140	+	4355662	1.0	0.949
gene:TraesCS6B03G0002500	Chr6B	746313	747823	-	747068	Chr6B	686224	687734	-	686979	1.0	0.984
gene:TraesCS6B03G0002600	Chr6B	800270	802828	-	801549	Chr6B	2967054	2969612	-	2968333	1.0	0.988
gene:TraesCS6B03G0003800	Chr6B	1126724	1127689	-	1127206	Chr6B	3444261	3445224	+	3444742	0.997	0.904
gene:TraesCS6B03G0004500	Chr6B	1356705	1358539	+	1357622	Chr6B	2653796	2655637	+	2654716	1.0	0.989
gene:TraesCS6B03G0004800	Chr6B	1449770	1452891	-	1451330	Chr6B	2740627	2743750	-	2742188	1.0	0.994
gene:TraesCS6B03G0004900	Chr6B	1463243	1464019	+	1463631	Chr6B	2754472	2755248	+	2754860	1.0	0.992
gene:TraesCS6B03G0006600	Chr6B	1918826	1930684	+	1924755	Chr6B	3780286	3792112	+	3786199	1.0	0.992
gene:TraesCS6B03G0006900	Chr6B	1960140	1964803	+	1962471	Chr6B	3821593	3826222	+	3823907	0.999	0.995
gene:TraesCS6B03G0007000	Chr6B	2097695	2158332	-	2128013	Chr6B	3959069	4019915	-	3989492	1.0	0.999
gene:TraesCS6B03G0007100	Chr6B	2163047	2165544	-	2164295	Chr6B	4024848	4027345	-	4026096	1.0	0.999
gene:TraesCS6B03G0007200	Chr6B	2258074	2311692	-	2284883	Chr6B	4166224	4226669	-	4196446	1.0	0.999
gene:TraesCS6B03G0007500	Chr6B	2396042	2397882	+	2396962	Chr6B	4290520	4292360	+	4291440	1.0	0.997
gene:TraesCS6B03G0008900	Chr6B	2844462	2845888	-	2845175	Chr6B	3029985	3031412	+	3030698	1.0	0.913
gene:TraesCS6B03G0010200	Chr6B	3324499	3325296	+	3324897	Chr6B	2478569	2479365	+	2478967	0.998	0.972
gene:TraesCS6B03G0010600	Chr6B	3668366	3668803	-	3668584	Chr6B	1282392	1282829	-	1282610	1.0	0.984
gene:TraesCS6B03G0011500	Chr6B	4061981	4062939	+	4062460	Chr6B	4390972	4391927	+	4391449	1.0	0.948
gene:TraesCS6B03G0011600	Chr6B	4066472	4067398	+	4066935	Chr6B	4401345	4402271	+	4401808	1.0	0.987
gene:TraesCS6B03G0011900	Chr6B	4074231	4078635	-	4076433	Chr6B	4405831	4410242	-	4408036	1.0	1.0
gene:TraesCS6B03G0012000	Chr6B	4088101	4092324	+	4090212	Chr6B	4419529	4423755	+	4421642	1.0	0.995
gene:TraesCS6B03G0012100	Chr6B	4094308	4095305	-	4094806	Chr6B	4425731	4426720	-	4426225	0.99	0.947
gene:TraesCS6B03G0012200	Chr6B	4101789	4102203	+	4101996	Chr6B	4433190	4433604	+	4433397	1.0	1.0
gene:TraesCS6B03G0012400	Chr6B	4125013	4125984	+	4125498	Chr6B	4482918	4483892	+	4483405	0.995	0.948
gene:TraesCS6B03G0013100	Chr6B	4365827	4370767	+	4368297	Chr6B	4721113	4725863	+	4723488	0.998	0.991
gene:TraesCS6B03G0013400	Chr6B	4391416	4398100	+	4394758	Chr6B	4771065	4777749	+	4774407	1.0	0.999
gene:TraesCS6B03G0013500	Chr6B	4404062	4404739	+	4404400	Chr6B	4783713	4784390	+	4784051	1.0	0.997
gene:TraesCS6B03G0013700	Chr6B	4413195	4419297	+	4416246	Chr6B	4808444	4814549	+	4811496	1.0	0.996
gene:TraesCS6B03G0013900	Chr6B	4435732	4443343	-	4439537	Chr6B	4860382	4867981	+	4864181	1.0	0.993
gene:TraesCS6B03G0014800	Chr6B	4784208	4787302	+	4785755	Chr6B	5598464	5600963	-	5599713	1.0	0.981
gene:TraesCS6B03G0015900	Chr6B	4988145	4990408	+	4989276	Chr6B	5045513	5047449	+	5046481	0.996	0.949
gene:TraesCS6B03G0016400	Chr6B	5017617	5021758	+	5019687	Chr6B	5448261	5452735	-	5450498	0.98	0.902
gene:TraesCS6B03G0016500	Chr6B	5031400	5035651	-	5033525	Chr6B	5225208	5229437	-	5227322	0.972	0.939
gene:TraesCS6B03G0016600	Chr6B	5267504	5271857	+	5269680	Chr6B	5438514	5442899	+	5440706	0.996	0.98
gene:TraesCS6B03G0016900	Chr6B	5275373	5277237	+	5276305	Chr6B	5446285	5448094	+	5447189	0.959	0.933
gene:TraesCS6B03G0017400	Chr6B	5286921	5287880	-	5287400	Chr6B	5553468	5554427	-	5553947	1.0	0.968
gene:TraesCS6B03G0018700	Chr6B	5530350	5532958	-	5531654	Chr6B	5699126	5701728	-	5700427	1.0	0.996
gene:TraesCS6B03G0019300	Chr6B	5639201	5640067	-	5639634	Chr6B	5777972	5778838	-	5778405	1.0	0.99
gene:TraesCS6B03G0019700	Chr6B	6077589	6087397	-	6082493	Chr6B	6495075	6505027	-	6500051	0.994	0.966
gene:TraesCS6B03G0019800	Chr6B	6099288	6099791	+	6099539	Chr6B	6518050	6518553	+	6518301	1.0	0.983
gene:TraesCS6B03G0019900	Chr6B	6111305	6111814	+	6111559	Chr6B	6528778	6529287	+	6529032	1.0	1.0
gene:TraesCS6B03G0020400	Chr6B	6206476	6209545	-	6208010	Chr6B	6654995	6658064	-	6656529	1.0	0.999
gene:TraesCS6B03G0021800	Chr6B	6396832	6398301	+	6397566	Chr6B	6822436	6823905	+	6823170	1.0	0.972
gene:TraesCS6B03G0021900	Chr6B	6533377	6534963	-	6534170	Chr6B	6940208	6941794	-	6941001	1.0	0.995
gene:TraesCS6B03G0022200	Chr6B	6626180	6626836	+	6626508	Chr6B	7326901	7327554	+	7327227	0.995	0.919
gene:TraesCS6B03G0022700	Chr6B	6911203	6914974	+	6913088	Chr6B	7328768	7332138	+	7330453	0.961	0.9
gene:TraesCS6B03G0022800	Chr6B	6919273	6921999	+	6920636	Chr6B	7337021	7339747	+	7338384	1.0	0.983
gene:TraesCS6B03G0022900	Chr6B	6924085	6926402	+	6925243	Chr6B	7580438	7582661	+	7581549	0.953	0.929
gene:TraesCS6B03G0023000	Chr6B	6936001	6937452	+	6936726	Chr6B	7594084	7595535	+	7594809	0.999	0.986
gene:TraesCS6B03G0023300	Chr6B	7061530	7064275	-	7062902	Chr6B	7709189	7711992	-	7710590	0.983	0.947
gene:TraesCS6B03G0023500	Chr6B	7089330	7090701	-	7090015	Chr6B	7813776	7815146	-	7814461	0.997	0.974
gene:TraesCS6B03G0023700	Chr6B	7091353	7092945	+	7092149	Chr6B	7815862	7817437	+	7816649	0.989	0.968
gene:TraesCS6B03G0023900	Chr6B	7115022	7120828	-	7117925	Chr6B	7820825	7826613	-	7823719	0.999	0.995
gene:TraesCS6B03G0024000	Chr6B	7164686	7167146	-	7165916	Chr6B	7357171	7359630	+	7358400	0.999	0.974
gene:TraesCS6B03G0024300	Chr6B	7232910	7239589	+	7236249	Chr6B	7931474	7938153	+	7934813	1.0	1.0
gene:TraesCS6B03G0024600	Chr6B	7405188	7405569	+	7405378	Chr6B	8103068	8103449	+	8103258	1.0	1.0
gene:TraesCS6B03G0024700	Chr6B	7407123	7412012	+	7409567	Chr6B	8105003	8109891	+	8107447	1.0	0.999
