gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity	segment
gene:TraesCS7B03G0000100	Chr7B	32670	36534	-	34602	Chr7B	666183	670049	-	668116	1.0	0.999	collinear
gene:TraesCS7B03G0000200	Chr7B	43049	50894	-	46971	Chr7B	677748	685543	-	681645	0.989	0.984	collinear
gene:TraesCS7B03G0001000	Chr7B	112378	114411	+	113394	Chr7B	747261	749254	+	748257	0.964	0.964	collinear
gene:TraesCS7B03G0001100	Chr7B	114526	119198	-	116862	Chr7B	749369	754042	-	751705	0.998	0.997	collinear
gene:TraesCS7B03G0001200	Chr7B	120206	121471	+	120838	Chr7B	755031	756296	+	755663	1.0	0.996	collinear
gene:TraesCS7B03G0001400	Chr7B	220254	222718	+	221486	Chr7B	864161	866308	+	865234	1.0	0.998	collinear
gene:TraesCS7B03G0001700	Chr7B	226968	228067	+	227517	Chr7B	870552	871651	+	871101	1.0	0.998	collinear
gene:TraesCS7B03G0001800	Chr7B	228482	229120	+	228801	Chr7B	872141	872794	+	872467	1.0	0.972	collinear
gene:TraesCS7B03G0002000	Chr7B	255136	257184	+	256160	Chr7B	898547	900439	+	899493	0.922	0.91	collinear
gene:TraesCS7B03G0002100	Chr7B	259041	260824	+	259932	Chr7B	902337	904116	+	903226	1.0	0.997	collinear
gene:TraesCS7B03G0002200	Chr7B	261777	263347	+	262562	Chr7B	905087	906657	+	905872	1.0	0.999	collinear
gene:TraesCS7B03G0002400	Chr7B	265308	267721	-	266514	Chr7B	909939	912359	-	911149	1.0	0.995	collinear
gene:TraesCS7B03G0002500	Chr7B	285039	290255	+	287647	Chr7B	922558	927768	+	925163	0.998	0.997	collinear
gene:TraesCS7B03G0002600	Chr7B	419319	423404	+	421361	Chr7B	1056477	1060552	+	1058514	0.997	0.996	collinear
gene:TraesCS7B03G0002900	Chr7B	423793	429194	-	426493	Chr7B	1060941	1066351	-	1063646	0.995	0.985	collinear
gene:TraesCS7B03G0003100	Chr7B	600800	604303	+	602551	Chr7B	1211745	1215233	+	1213489	0.978	0.958	collinear
gene:TraesCS7B03G0003300	Chr7B	637875	639698	+	638786	Chr7B	1248808	1250631	+	1249719	1.0	1.0	collinear
gene:TraesCS7B03G0003400	Chr7B	669783	670485	-	670134	Chr7B	1280441	1281143	-	1280792	1.0	1.0	collinear
gene:TraesCS7B03G0003800	Chr7B	778870	779724	-	779297	Chr7B	1389457	1390311	-	1389884	1.0	0.998	collinear
gene:TraesCS7B03G0003900	Chr7B	797978	798910	+	798444	Chr7B	1408539	1409471	+	1409005	1.0	1.0	collinear
gene:TraesCS7B03G0004600	Chr7B	844925	847126	+	846025	Chr7B	1455188	1457389	+	1456288	1.0	1.0	collinear
gene:TraesCS7B03G0004700	Chr7B	900491	909163	-	904827	Chr7B	1496252	1506793	-	1501522	1.0	0.999	collinear
gene:TraesCS7B03G0005100	Chr7B	1038544	1039671	+	1039107	Chr7B	1636562	1637689	+	1637125	1.0	0.999	collinear
gene:TraesCS7B03G0005400	Chr7B	1055416	1057852	-	1056634	Chr7B	1653432	1655868	-	1654650	1.0	0.999	collinear
gene:TraesCS7B03G0005500	Chr7B	1082873	1087104	-	1084988	Chr7B	1681004	1685235	-	1683119	1.0	1.0	collinear
gene:TraesCS7B03G0005300	Chr7B	1051386	1121512	-	1086449	Chr7B	1649402	1719643	-	1684522	1.0	1.0	collinear
gene:TraesCS7B03G0005600	Chr7B	1170334	1171762	+	1171048	Chr7B	1768462	1769890	+	1769176	1.0	1.0	collinear
gene:TraesCS7B03G0005700	Chr7B	1213141	1218986	-	1216063	Chr7B	1811263	1817108	-	1814185	1.0	1.0	collinear
gene:TraesCS7B03G0006000	Chr7B	1264151	1272041	-	1268096	Chr7B	1862265	1870158	-	1866211	1.0	1.0	collinear
gene:TraesCS7B03G0006300	Chr7B	1279040	1286019	-	1282529	Chr7B	1877157	1884136	-	1880646	1.0	1.0	collinear
gene:TraesCS7B03G0006400	Chr7B	1286695	1293028	-	1289861	Chr7B	1884812	1891145	-	1887978	1.0	1.0	collinear
gene:TraesCS7B03G0006500	Chr7B	1313496	1318517	+	1316006	Chr7B	1911614	1916635	+	1914124	1.0	0.999	collinear
gene:TraesCS7B03G0006700	Chr7B	1322519	1336722	+	1329620	Chr7B	1920637	1934840	+	1927738	1.0	1.0	collinear
gene:TraesCS7B03G0006800	Chr7B	1340667	1341047	+	1340857	Chr7B	1938785	1939165	+	1938975	1.0	1.0	collinear
gene:TraesCS7B03G0007200	Chr7B	1360503	1361234	+	1360868	Chr7B	2010561	2011292	+	2010926	1.0	1.0	collinear
gene:TraesCS7B03G0007400	Chr7B	1373321	1373710	+	1373515	Chr7B	2023385	2023774	+	2023579	1.0	1.0	collinear
gene:TraesCS7B03G0008000	Chr7B	1436165	1437258	+	1436711	Chr7B	2071877	2072946	+	2072411	0.978	0.949	collinear
gene:TraesCS7B03G0008100	Chr7B	1480605	1481773	+	1481189	Chr7B	2100547	2101715	+	2101131	1.0	0.998	collinear
gene:TraesCS7B03G0008600	Chr7B	1693992	1694231	+	1694111	Chr7B	2327607	2327846	+	2327726	1.0	0.991	collinear
gene:TraesCS7B03G0009000	Chr7B	1771948	1772496	-	1772222	Chr7B	2407667	2408215	-	2407941	1.0	0.997	collinear
gene:TraesCS7B03G0009900	Chr7B	1935516	1949690	+	1942603	Chr7B	2568709	2582619	+	2575664	1.0	1.0	collinear
gene:TraesCS7B03G0010400	Chr7B	2097129	2100452	+	2098790	Chr7B	2729907	2733230	+	2731568	1.0	1.0	collinear
gene:TraesCS7B03G0010500	Chr7B	2662842	2663519	-	2663180	Chr7B	3148303	3148980	-	3148641	1.0	0.997	collinear
