cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr6D	8269291	27630303	Chr6D	1077556	26193351	366	0.9989590163934424
Chr6D	32741204	38579793	Chr6D	30965778	38175572	91	0.998934065934066
Chr6D	41537060	46120294	Chr6D	41012512	45595720	67	0.9992238805970148
Chr6D	49876700	50820593	Chr6D	48128127	49073163	15	0.9951333333333332
Chr6D	64544097	186375773	Chr6D	50406305	172238789	942	0.998687898089172
Chr6D	188380630	200393382	Chr6D	174217758	186283643	29	0.9998620689655172
Chr6D	203260384	235958205	Chr6D	189120357	220894494	45	0.999288888888889
Chr6D	238222872	248745870	Chr6D	223489525	234027229	15	0.9994
Chr6D	254067340	261093398	Chr6D	239360511	246377641	11	0.9996363636363635
Chr6D	263489417	302615547	Chr6D	248782445	287937733	143	0.9987902097902098
Chr6D	304859324	436495956	Chr6D	290183628	421658295	1027	0.9988782862706912
Chr6D	439160889	495303957	Chr6D	424326737	479587099	937	0.9959690501600852
