gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity
gene:TraesCS7A03G0000200	Chr7A	237447	240619	+	239033	Chr7A	298694	301953	+	300323	0.997	0.954
gene:TraesCS7A03G0000300	Chr7A	241763	245662	-	243712	Chr7A	303096	306994	-	305045	1.0	1.0
gene:TraesCS7A03G0000400	Chr7A	249969	253391	+	251680	Chr7A	311301	314727	+	313014	1.0	1.0
gene:TraesCS7A03G0001000	Chr7A	287782	289092	+	288437	Chr7A	345582	346895	+	346238	1.0	1.0
gene:TraesCS7A03G0001800	Chr7A	329150	329954	+	329552	Chr7A	386966	387770	+	387368	1.0	1.0
gene:TraesCS7A03G0001900	Chr7A	339975	343261	-	341618	Chr7A	397798	401084	-	399441	1.0	1.0
gene:TraesCS7A03G0002500	Chr7A	458993	460972	-	459982	Chr7A	516812	518791	-	517801	1.0	1.0
gene:TraesCS7A03G0002900	Chr7A	625626	629540	+	627583	Chr7A	692063	695977	+	694020	1.0	0.999
gene:TraesCS7A03G0003000	Chr7A	636996	649433	-	643214	Chr7A	703432	715869	-	709650	1.0	1.0
gene:TraesCS7A03G0003300	Chr7A	658982	671984	-	665483	Chr7A	725420	737933	-	731676	1.0	1.0
gene:TraesCS7A03G0003400	Chr7A	751650	755043	-	753346	Chr7A	817579	820972	-	819275	1.0	1.0
gene:TraesCS7A03G0003500	Chr7A	776562	777005	-	776783	Chr7A	842495	842938	-	842716	1.0	1.0
gene:TraesCS7A03G0004100	Chr7A	965060	971771	+	968415	Chr7A	1031044	1037755	+	1034399	1.0	1.0
gene:TraesCS7A03G0004300	Chr7A	1116397	1117068	+	1116732	Chr7A	1182188	1182859	+	1182523	1.0	1.0
gene:TraesCS7A03G0004500	Chr7A	1168399	1170394	+	1169396	Chr7A	1220911	1222906	+	1221908	1.0	0.999
gene:TraesCS7A03G0004800	Chr7A	1288480	1289699	+	1289089	Chr7A	1330949	1332168	+	1331558	1.0	1.0
gene:TraesCS7A03G0004900	Chr7A	1292673	1293108	-	1292890	Chr7A	1335142	1335577	-	1335359	1.0	1.0
gene:TraesCS7A03G0005000	Chr7A	1295626	1310738	-	1303182	Chr7A	1338095	1353114	-	1345604	1.0	0.999
gene:TraesCS7A03G0005100	Chr7A	1331278	1332098	-	1331688	Chr7A	1373112	1373932	-	1373522	1.0	1.0
gene:TraesCS7A03G0005200	Chr7A	1335552	1337332	-	1336442	Chr7A	1377386	1379166	-	1378276	1.0	1.0
gene:TraesCS7A03G0006500	Chr7A	1536839	1539713	+	1538276	Chr7A	1433516	1436390	+	1434953	1.0	1.0
gene:TraesCS7A03G0006900	Chr7A	1705137	1706808	+	1705972	Chr7A	1664015	1665686	+	1664850	1.0	1.0
gene:TraesCS7A03G0007000	Chr7A	1709690	1715064	+	1712377	Chr7A	1668568	1673944	+	1671256	1.0	0.999
gene:TraesCS7A03G0007100	Chr7A	1716639	1726072	-	1721355	Chr7A	1675519	1684953	-	1680236	1.0	1.0
gene:TraesCS7A03G0007200	Chr7A	1727345	1733016	+	1730180	Chr7A	1686226	1691897	+	1689061	1.0	1.0
gene:TraesCS7A03G0007300	Chr7A	1733546	1738771	-	1736158	Chr7A	1692427	1697674	-	1695050	1.0	0.999
gene:TraesCS7A03G0007400	Chr7A	1757255	1763142	-	1760198	Chr7A	1715061	1721056	-	1718058	1.0	0.994
gene:TraesCS7A03G0007600	Chr7A	1963947	1966400	-	1965173	Chr7A	1842493	1844946	-	1843719	1.0	1.0
gene:TraesCS7A03G0007500	Chr7A	1963777	1966710	-	1965243	Chr7A	1842323	1845256	-	1843789	1.0	1.0
gene:TraesCS7A03G0007700	Chr7A	1984711	1990302	-	1987506	Chr7A	1863084	1868675	-	1865879	0.999	0.992
gene:TraesCS7A03G0007900	Chr7A	1999166	2001559	+	2000362	Chr7A	1875168	1877490	+	1876329	0.999	0.932
gene:TraesCS7A03G0008000	Chr7A	2002174	2006210	-	2004192	Chr7A	1878108	1882137	-	1880122	0.992	0.985
gene:TraesCS7A03G0008400	Chr7A	2059191	2064602	+	2061896	Chr7A	1946192	1951560	+	1948876	0.98	0.973
