gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS7B03G0000100	Chr7B	32670	36534	-	34602	Chr7B	32628	36509	-	34568	1.0	0.991	collinear
gene:TraesCS7B03G0000200	Chr7B	43049	50894	-	46971	Chr7B	42954	50813	-	46883	1.0	0.999	collinear
gene:TraesCS7B03G0001000	Chr7B	112378	114411	+	113394	Chr7B	112448	114481	+	113464	1.0	0.999	collinear
gene:TraesCS7B03G0001100	Chr7B	114526	119198	-	116862	Chr7B	114596	119268	-	116932	1.0	1.0	collinear
gene:TraesCS7B03G0001200	Chr7B	120206	121471	+	120838	Chr7B	120277	121542	+	120909	1.0	1.0	collinear
gene:TraesCS7B03G0001400	Chr7B	220254	222718	+	221486	Chr7B	219536	221746	+	220641	0.917	0.917	collinear
gene:TraesCS7B03G0001700	Chr7B	226968	228067	+	227517	Chr7B	226323	227422	+	226872	1.0	1.0	collinear
gene:TraesCS7B03G0001800	Chr7B	228482	229120	+	228801	Chr7B	227837	228475	+	228156	1.0	1.0	collinear
gene:TraesCS7B03G0002000	Chr7B	255136	257184	+	256160	Chr7B	254570	256480	+	255525	0.932	0.927	collinear
gene:TraesCS7B03G0002100	Chr7B	259041	260824	+	259932	Chr7B	258339	260122	+	259230	1.0	1.0	collinear
gene:TraesCS7B03G0002200	Chr7B	261777	263347	+	262562	Chr7B	261075	262645	+	261860	1.0	1.0	collinear
gene:TraesCS7B03G0002400	Chr7B	265308	267721	-	266514	Chr7B	264624	267037	-	265830	1.0	1.0	collinear
gene:TraesCS7B03G0002500	Chr7B	285039	290255	+	287647	Chr7B	284262	289478	+	286870	1.0	1.0	collinear
gene:TraesCS7B03G0002600	Chr7B	419319	423404	+	421361	Chr7B	418354	422209	+	420281	0.925	0.925	collinear
gene:TraesCS7B03G0002900	Chr7B	423793	429194	-	426493	Chr7B	422598	427999	-	425298	1.0	1.0	collinear
gene:TraesCS7B03G0003100	Chr7B	600800	604303	+	602551	Chr7B	600083	603586	+	601834	1.0	1.0	collinear
gene:TraesCS7B03G0003300	Chr7B	637875	639698	+	638786	Chr7B	637257	639080	+	638168	1.0	1.0	collinear
gene:TraesCS7B03G0003400	Chr7B	669783	670485	-	670134	Chr7B	668638	669363	-	669000	1.0	0.952	collinear
