gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v1_tgt_chr	CS_v1_tgt_start	CS_v1_tgt_end	CS_v1_tgt_strand	CS_v1_tgt_midpoint	CS_v1_coverage	CS_v1_identity
gene:TraesCS7A03G0000200	Chr7A	237447	240619	+	239033	Chr7A	238043	241215	+	239629	1.0	1.0
gene:TraesCS7A03G0000300	Chr7A	241763	245662	-	243712	Chr7A	242359	246258	-	244308	1.0	1.0
gene:TraesCS7A03G0000400	Chr7A	249969	253391	+	251680	Chr7A	250565	253987	+	252276	1.0	1.0
gene:TraesCS7A03G0001000	Chr7A	287782	289092	+	288437	Chr7A	289316	290626	+	289971	1.0	1.0
gene:TraesCS7A03G0001800	Chr7A	329150	329954	+	329552	Chr7A	331413	332217	+	331815	1.0	1.0
gene:TraesCS7A03G0001900	Chr7A	339975	343261	-	341618	Chr7A	342962	346248	-	344605	1.0	1.0
gene:TraesCS7A03G0002500	Chr7A	458993	460972	-	459982	Chr7A	463692	465671	-	464681	1.0	1.0
gene:TraesCS7A03G0002900	Chr7A	625626	629540	+	627583	Chr7A	631804	635718	+	633761	1.0	1.0
gene:TraesCS7A03G0003000	Chr7A	636996	649433	-	643214	Chr7A	643174	655611	-	649392	1.0	1.0
gene:TraesCS7A03G0003300	Chr7A	658982	671984	-	665483	Chr7A	665160	680522	-	672841	1.0	1.0
gene:TraesCS7A03G0003400	Chr7A	751650	755043	-	753346	Chr7A	760723	764116	-	762419	1.0	1.0
gene:TraesCS7A03G0003500	Chr7A	776562	777005	-	776783	Chr7A	785611	786054	-	785832	1.0	1.0
gene:TraesCS7A03G0004100	Chr7A	965060	971771	+	968415	Chr7A	976470	983181	+	979825	1.0	1.0
gene:TraesCS7A03G0004300	Chr7A	1116397	1117068	+	1116732	Chr7A	1128397	1129068	+	1128732	1.0	1.0
gene:TraesCS7A03G0004500	Chr7A	1168399	1170394	+	1169396	Chr7A	1180399	1182394	+	1181396	1.0	1.0
gene:TraesCS7A03G0004800	Chr7A	1288480	1289699	+	1289089	Chr7A	1273203	1274422	+	1273812	1.0	1.0
gene:TraesCS7A03G0004900	Chr7A	1292673	1293108	-	1292890	Chr7A	1277396	1277831	-	1277613	1.0	1.0
gene:TraesCS7A03G0005000	Chr7A	1295626	1310738	-	1303182	Chr7A	1280349	1295461	-	1287905	1.0	1.0
gene:TraesCS7A03G0005100	Chr7A	1331278	1332098	-	1331688	Chr7A	1316001	1316821	-	1316411	1.0	1.0
gene:TraesCS7A03G0005200	Chr7A	1335552	1337332	-	1336442	Chr7A	1320275	1322055	-	1321165	1.0	1.0
gene:TraesCS7A03G0005400	Chr7A	1385966	1392029	+	1388997	Chr7A	1370689	1376752	+	1373720	1.0	1.0
gene:TraesCS7A03G0005500	Chr7A	1419975	1425182	+	1422578	Chr7A	1404698	1409905	+	1407301	1.0	1.0
gene:TraesCS7A03G0005700	Chr7A	1432182	1436354	+	1434268	Chr7A	1416905	1421077	+	1418991	1.0	1.0
gene:TraesCS7A03G0005800	Chr7A	1454642	1455418	+	1455030	Chr7A	1439365	1440141	+	1439753	1.0	1.0
gene:TraesCS7A03G0005900	Chr7A	1474660	1477341	+	1476000	Chr7A	1459383	1462064	+	1460723	1.0	1.0
gene:TraesCS7A03G0006400	Chr7A	1511767	1523016	-	1517391	Chr7A	1496490	1507739	-	1502114	1.0	1.0
gene:TraesCS7A03G0006500	Chr7A	1536839	1539713	+	1538276	Chr7A	1521562	1524436	+	1522999	1.0	1.0
gene:TraesCS7A03G0006900	Chr7A	1705137	1706808	+	1705972	Chr7A	1690697	1692368	+	1691532	1.0	1.0
gene:TraesCS7A03G0007000	Chr7A	1709690	1715064	+	1712377	Chr7A	1695250	1700497	+	1697873	1.0	1.0
gene:TraesCS7A03G0007100	Chr7A	1716639	1726072	-	1721355	Chr7A	1702072	1711505	-	1706788	1.0	1.0
gene:TraesCS7A03G0007200	Chr7A	1727345	1733016	+	1730180	Chr7A	1712778	1718449	+	1715613	1.0	1.0
gene:TraesCS7A03G0007300	Chr7A	1733546	1738771	-	1736158	Chr7A	1718979	1724204	-	1721591	1.0	1.0
gene:TraesCS7A03G0007400	Chr7A	1757255	1763142	-	1760198	Chr7A	1742688	1748575	-	1745631	1.0	1.0
gene:TraesCS7A03G0007600	Chr7A	1963947	1966400	-	1965173	Chr7A	1800568	1803021	-	1801794	1.0	1.0
gene:TraesCS7A03G0007500	Chr7A	1963777	1966710	-	1965243	Chr7A	1800398	1803331	-	1801864	1.0	0.999
gene:TraesCS7A03G0007700	Chr7A	1984711	1990302	-	1987506	Chr7A	1841972	1847563	-	1844767	1.0	1.0
gene:TraesCS7A03G0007800	Chr7A	1991641	1995052	-	1993346	Chr7A	1848902	1852313	-	1850607	1.0	1.0
gene:TraesCS7A03G0007900	Chr7A	1999166	2001559	+	2000362	Chr7A	1856666	1859059	+	1857862	1.0	1.0
gene:TraesCS7A03G0008000	Chr7A	2002174	2006210	-	2004192	Chr7A	1859674	1863710	-	1861692	1.0	1.0
gene:TraesCS7A03G0008400	Chr7A	2059191	2064602	+	2061896	Chr7A	1921361	1926772	+	1924066	1.0	1.0
gene:TraesCS7A03G0008800	Chr7A	2119023	2128730	+	2123876	Chr7A	1982279	1991986	+	1987132	1.0	1.0
gene:TraesCS7A03G0008900	Chr7A	2129337	2139216	-	2134276	Chr7A	1992593	2002774	-	1997683	1.0	1.0
gene:TraesCS7A03G0009400	Chr7A	2212604	2213952	+	2213278	Chr7A	2077916	2079264	+	2078590	1.0	1.0
gene:TraesCS7A03G0009500	Chr7A	2226887	2230792	+	2228839	Chr7A	2092701	2096765	+	2094733	1.0	0.941
gene:TraesCS7A03G0009800	Chr7A	2248242	2252867	-	2250554	Chr7A	2114215	2118840	-	2116527	1.0	1.0
gene:TraesCS7A03G0010100	Chr7A	2684032	2686882	-	2685457	Chr7A	2551358	2554208	-	2552783	1.0	1.0
gene:TraesCS7A03G0010200	Chr7A	2703204	2713801	+	2708502	Chr7A	2570532	2581371	+	2575951	1.0	1.0
gene:TraesCS7A03G0010400	Chr7A	2735543	2735899	+	2735721	Chr7A	2604148	2604504	+	2604326	1.0	1.0
gene:TraesCS7A03G0010300	Chr7A	2734989	2736987	-	2735988	Chr7A	2603594	2605592	-	2604593	1.0	1.0
gene:TraesCS7A03G0010500	Chr7A	2738438	2740210	-	2739324	Chr7A	2607043	2608815	-	2607929	1.0	1.0
gene:TraesCS7A03G0010800	Chr7A	2805162	2809572	+	2807367	Chr7A	2673772	2678182	+	2675977	1.0	1.0
gene:TraesCS7A03G0011100	Chr7A	2813248	2819925	-	2816586	Chr7A	2681858	2688535	-	2685196	1.0	1.0
gene:TraesCS7A03G0011200	Chr7A	2825033	2831859	-	2828446	Chr7A	2693834	2700660	-	2697247	1.0	1.0
gene:TraesCS7A03G0011300	Chr7A	2845787	2850612	+	2848199	Chr7A	2714588	2719413	+	2717000	1.0	1.0
gene:TraesCS7A03G0011400	Chr7A	2873620	2878318	+	2875969	Chr7A	2742421	2747119	+	2744770	1.0	1.0
gene:TraesCS7A03G0011700	Chr7A	2894350	2897746	+	2896048	Chr7A	2763151	2766547	+	2764849	1.0	1.0
gene:TraesCS7A03G0011800	Chr7A	2904302	2905750	+	2905026	Chr7A	2773425	2774873	+	2774149	1.0	1.0
gene:TraesCS7A03G0012000	Chr7A	2929298	2936550	-	2932924	Chr7A	2798509	2805965	-	2802237	1.0	1.0
gene:TraesCS7A03G0012100	Chr7A	2940653	2942001	+	2941327	Chr7A	2810372	2811720	+	2811046	1.0	1.0
gene:TraesCS7A03G0012300	Chr7A	2956906	2960802	+	2958854	Chr7A	2826625	2830659	+	2828642	1.0	0.938
gene:TraesCS7A03G0012400	Chr7A	2978598	2981378	-	2979988	Chr7A	2848455	2851235	-	2849845	1.0	1.0
gene:TraesCS7A03G0012500	Chr7A	2988793	2993614	+	2991203	Chr7A	2858951	2863772	+	2861361	1.0	1.0
gene:TraesCS7A03G0012700	Chr7A	2998778	3001478	+	3000128	Chr7A	2868936	2871636	+	2870286	1.0	1.0
gene:TraesCS7A03G0012800	Chr7A	3067984	3069180	+	3068582	Chr7A	2939734	2940930	+	2940332	1.0	1.0
gene:TraesCS7A03G0013200	Chr7A	3126732	3132139	-	3129435	Chr7A	2999763	3005170	-	3002466	1.0	1.0
gene:TraesCS7A03G0013300	Chr7A	3134749	3138526	+	3136637	Chr7A	3007780	3011557	+	3009668	1.0	1.0
gene:TraesCS7A03G0013900	Chr7A	3264706	3268044	+	3266375	Chr7A	3138238	3141576	+	3139907	1.0	1.0
gene:TraesCS7A03G0014200	Chr7A	3278385	3282520	-	3280452	Chr7A	3151917	3156052	-	3153984	1.0	1.0
gene:TraesCS7A03G0014400	Chr7A	3329954	3335151	-	3332552	Chr7A	3204072	3209269	-	3206670	1.0	1.0
gene:TraesCS7A03G0014500	Chr7A	3393323	3394372	+	3393847	Chr7A	3268204	3269253	+	3268728	1.0	1.0
gene:TraesCS7A03G0014600	Chr7A	3398397	3420268	+	3409332	Chr7A	3273279	3295150	+	3284214	1.0	1.0
gene:TraesCS7A03G0014700	Chr7A	3435923	3439655	+	3437789	Chr7A	3311242	3314974	+	3313108	1.0	1.0
gene:TraesCS7A03G0014900	Chr7A	3446965	3449028	-	3447996	Chr7A	3322584	3324647	-	3323615	1.0	1.0
gene:TraesCS7A03G0015100	Chr7A	3502667	3507393	+	3505030	Chr7A	3379058	3383784	+	3381421	1.0	1.0
gene:TraesCS7A03G0015400	Chr7A	3535034	3539531	+	3537282	Chr7A	3411625	3416122	+	3413873	1.0	1.0
gene:TraesCS7A03G0015600	Chr7A	3546804	3556209	-	3551506	Chr7A	3423395	3432800	-	3428097	1.0	1.0
gene:TraesCS7A03G0016000	Chr7A	3663911	3665431	-	3664671	Chr7A	3542397	3543917	-	3543157	1.0	1.0
gene:TraesCS7A03G0016100	Chr7A	3692034	3695203	-	3693618	Chr7A	3570736	3573905	-	3572320	1.0	1.0
