gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity	segment
gene:TraesCS6D02G000100	Chr6D	43457	44110	-	43783	Chr6D	88465	89118	-	88791	1.0	0.996	collinear
gene:TraesCS6D02G000200	Chr6D	52444	52899	+	52671	Chr6D	97451	97906	+	97678	1.0	1.0	collinear
gene:TraesCS6D02G001400	Chr6D	602989	606229	-	604609	Chr6D	199579	202819	-	201199	1.0	0.999	collinear
gene:TraesCS6D02G001500	Chr6D	680571	680993	-	680782	Chr6D	264944	265366	-	265155	1.0	0.997	collinear
gene:TraesCS6D02G001600	Chr6D	803603	804859	+	804231	Chr6D	396790	398046	+	397418	1.0	1.0	collinear
gene:TraesCS6D02G001700	Chr6D	805537	807932	+	806734	Chr6D	398724	401119	+	399921	1.0	1.0	collinear
gene:TraesCS6D02G001900	Chr6D	966786	967049	+	966917	Chr6D	560489	560752	+	560620	1.0	1.0	collinear
gene:TraesCS6D02G002100	Chr6D	1372775	1374424	+	1373599	Chr6D	717395	719044	+	718219	1.0	0.999	collinear
gene:TraesCS6D02G002200	Chr6D	1411739	1415945	-	1413842	Chr6D	756368	760551	-	758459	0.994	0.993	collinear
gene:TraesCS6D02G002223	Chr6D	1419679	1430162	-	1424920	Chr6D	764285	774261	-	769273	1.0	0.999	collinear
gene:TraesCS6D02G002300	Chr6D	1444647	1449631	+	1447139	Chr6D	801059	806043	+	803551	1.0	1.0	collinear
gene:TraesCS6D02G002400	Chr6D	1488713	1491897	+	1490305	Chr6D	844913	848097	+	846505	1.0	0.998	collinear
gene:TraesCS6D02G002500	Chr6D	1508029	1517724	-	1512876	Chr6D	864154	873831	-	868992	1.0	0.998	collinear
gene:TraesCS6D02G002600	Chr6D	1538495	1539831	-	1539163	Chr6D	894514	895850	-	895182	1.0	1.0	collinear
gene:TraesCS6D02G002700	Chr6D	1571901	1572329	-	1572115	Chr6D	927621	928049	-	927835	1.0	0.993	collinear
gene:TraesCS6D02G002800	Chr6D	1586179	1588895	+	1587537	Chr6D	942351	945065	+	943708	0.999	0.995	collinear
gene:TraesCS6D02G002900	Chr6D	1627607	1628562	+	1628084	Chr6D	1018841	1019796	+	1019318	1.0	0.992	collinear
gene:TraesCS6D02G003000	Chr6D	1635743	1636654	+	1636198	Chr6D	1026980	1027891	+	1027435	1.0	0.994	collinear
gene:TraesCS6D02G003100	Chr6D	1760637	1761722	+	1761179	Chr6D	1139018	1140103	+	1139560	1.0	0.998	collinear
gene:TraesCS6D02G003200	Chr6D	1769875	1774534	-	1772204	Chr6D	1148358	1153003	-	1150680	0.996	0.994	collinear
gene:TraesCS6D02G003300	Chr6D	1779697	1784071	+	1781884	Chr6D	1158153	1161821	+	1159987	0.911	0.907	collinear
