gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	850178	851313	-	850745	1.0	1.0	collinear
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	841088	842926	-	842007	1.0	1.0	collinear
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	836800	840720	+	838760	1.0	0.999	collinear
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	832557	836356	+	834456	1.0	1.0	collinear
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	822301	829493	-	825897	1.0	1.0	collinear
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	813764	815553	-	814658	1.0	1.0	collinear
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	800631	803653	+	802142	1.0	1.0	collinear
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	794583	797542	+	796062	1.0	1.0	collinear
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	789334	791996	+	790665	1.0	1.0	collinear
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	771770	777746	+	774758	1.0	1.0	collinear
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	749249	752526	-	750887	1.0	1.0	collinear
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	686670	698549	+	692609	1.0	1.0	collinear
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	469925	482369	+	476147	1.0	1.0	collinear
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	457713	459770	+	458741	1.0	1.0	collinear
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	446653	450622	+	448637	1.0	1.0	collinear
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	431636	438441	-	435038	1.0	0.988	collinear
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	422658	427147	+	424902	0.999	0.974	collinear
gene:TraesCS1D03G0003000	Chr1D	454345	457932	+	456138	Chr1D	380652	382173	-	381412	0.938	0.935	collinear
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	371977	373095	+	372536	1.0	0.997	collinear
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	187250	189493	+	188371	0.993	0.978	collinear
gene:TraesCS1D03G0003500	Chr1D	670994	672152	+	671573	Chr1D	115785	116945	-	116365	1.0	0.993	collinear
gene:TraesCS1D03G0004700	Chr1D	885654	889258	-	887456	Chr1D	1036465	1040059	-	1038262	0.996	0.986	collinear
gene:TraesCS1D03G0008200	Chr1D	2648853	2656401	+	2652627	Chr1D	1945659	1953207	+	1949433	1.0	0.999	collinear
gene:TraesCS1D03G0008400	Chr1D	2658914	2664872	-	2661893	Chr1D	1955720	1961678	-	1958699	1.0	1.0	collinear
gene:TraesCS1D03G0008500	Chr1D	2679004	2685472	+	2682238	Chr1D	1975507	1981974	+	1978740	1.0	1.0	collinear
gene:TraesCS1D03G0008600	Chr1D	2718545	2721537	+	2720041	Chr1D	2015142	2018134	+	2016638	1.0	1.0	collinear
gene:TraesCS1D03G0008800	Chr1D	2722891	2723820	-	2723355	Chr1D	2019488	2020408	-	2019948	0.985	0.985	collinear
gene:TraesCS1D03G0009100	Chr1D	2796340	2799441	-	2797890	Chr1D	2058656	2061757	-	2060206	1.0	1.0	collinear
gene:TraesCS1D03G0009200	Chr1D	2803813	2805476	+	2804644	Chr1D	2066267	2067930	+	2067098	1.0	1.0	collinear
gene:TraesCS1D03G0009300	Chr1D	2808366	2809991	-	2809178	Chr1D	2070820	2072719	-	2071769	0.998	0.965	collinear
gene:TraesCS1D03G0009400	Chr1D	2818068	2821589	-	2819828	Chr1D	2078821	2082342	-	2080581	1.0	0.99	collinear
gene:TraesCS1D03G0009500	Chr1D	2850565	2852033	-	2851299	Chr1D	2174564	2176032	-	2175298	1.0	0.997	collinear
gene:TraesCS1D03G0009900	Chr1D	2927907	2928881	+	2928394	Chr1D	2229768	2230751	+	2230259	1.0	0.987	collinear
gene:TraesCS1D03G0010400	Chr1D	3008174	3009061	+	3008617	Chr1D	2323703	2324599	+	2324151	1.0	0.988	collinear
gene:TraesCS1D03G0010500	Chr1D	3017359	3018255	+	3017807	Chr1D	2332763	2333659	+	2333211	1.0	0.994	collinear
gene:TraesCS1D03G0010600	Chr1D	3035516	3036070	+	3035793	Chr1D	2347060	2347614	+	2347337	1.0	0.998	collinear
gene:TraesCS1D03G0010900	Chr1D	3049234	3052252	+	3050743	Chr1D	2361163	2364400	+	2362781	1.0	0.992	collinear
gene:TraesCS1D03G0011000	Chr1D	3051473	3051794	-	3051633	Chr1D	2363619	2363940	-	2363779	1.0	0.995	collinear
gene:TraesCS1D03G0011200	Chr1D	3058505	3059110	+	3058807	Chr1D	2370579	2371184	+	2370881	1.0	0.998	collinear
gene:TraesCS1D03G0012000	Chr1D	3156660	3157255	+	3156957	Chr1D	2433441	2434053	+	2433747	0.996	0.944	collinear
gene:TraesCS1D03G0013000	Chr1D	3377746	3382876	+	3380311	Chr1D	2527072	2532202	+	2529637	1.0	0.993	collinear
gene:TraesCS1D03G0013100	Chr1D	3429890	3431151	+	3430520	Chr1D	2570658	2571939	+	2571298	1.0	0.977	collinear
gene:TraesCS1D03G0014100	Chr1D	3654017	3654448	+	3654232	Chr1D	2804694	2805125	+	2804909	1.0	0.965	collinear
gene:TraesCS1D03G0014200	Chr1D	3667788	3668400	+	3668094	Chr1D	2818450	2819062	+	2818756	1.0	0.996	collinear
gene:TraesCS1D03G0014300	Chr1D	3673182	3675464	-	3674323	Chr1D	2824432	2826710	-	2825571	1.0	0.995	collinear
gene:TraesCS1D03G0014700	Chr1D	3726798	3728037	+	3727417	Chr1D	2877772	2879011	+	2878391	1.0	1.0	collinear
gene:TraesCS1D03G0014900	Chr1D	3787854	3789079	-	3788466	Chr1D	2938066	2939291	-	2938678	1.0	1.0	collinear
gene:TraesCS1D03G0015100	Chr1D	3821069	3822598	+	3821833	Chr1D	2970713	2972242	+	2971477	1.0	1.0	collinear
gene:TraesCS1D03G0015200	Chr1D	3916114	3917013	-	3916563	Chr1D	3057550	3058449	-	3057999	1.0	0.983	collinear
gene:TraesCS1D03G0018500	Chr1D	5055567	5056764	-	5056165	Chr1D	2874261	2875470	+	2874865	1.0	0.952	collinear
