gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	SY_Mattis_tgt_strand	SY_Mattis_tgt_midpoint	SY_Mattis_coverage	SY_Mattis_identity	segment
gene:TraesCS2A03G0001600	Chr2A	498907	502516	+	500711	Chr2A	417099	420686	+	418892	0.955	0.908	collinear
gene:TraesCS2A03G0002500	Chr2A	560892	563807	-	562349	Chr2A	595837	598752	-	597294	1.0	0.974	collinear
gene:TraesCS2A03G0006600	Chr2A	1841287	1843264	+	1842275	Chr2A	2629793	2631768	+	2630780	0.99	0.931	collinear
gene:TraesCS2A03G0009500	Chr2A	2440261	2441887	+	2441074	Chr2A	2861035	2862648	+	2861841	0.995	0.931	collinear
gene:TraesCS2A03G0009600	Chr2A	2465197	2465597	+	2465397	Chr2A	2967951	2968356	-	2968153	1.0	0.98	collinear
gene:TraesCS2A03G0009900	Chr2A	2525506	2529129	-	2527317	Chr2A	2927613	2931288	+	2929450	0.967	0.911	collinear
gene:TraesCS2A03G0012300	Chr2A	3008654	3011759	+	3010206	Chr2A	3473908	3477260	+	3475584	1.0	0.944	collinear
gene:TraesCS2A03G0012800	Chr2A	3043315	3044607	+	3043961	Chr2A	4467883	4469160	+	4468521	0.987	0.918	collinear
gene:TraesCS2A03G0013100	Chr2A	3075260	3076925	-	3076092	Chr2A	4479320	4480944	-	4480132	0.967	0.93	collinear
gene:TraesCS2A03G0013200	Chr2A	3088656	3089379	-	3089017	Chr2A	4564679	4565409	-	4565044	1.0	0.938	collinear
gene:TraesCS2A03G0013500	Chr2A	3102186	3102581	+	3102383	Chr2A	4577366	4577764	+	4577565	0.992	0.95	collinear
gene:TraesCS2A03G0013700	Chr2A	3141719	3145318	+	3143518	Chr2A	4600373	4604190	+	4602281	0.976	0.929	collinear
gene:TraesCS2A03G0017700	Chr2A	5297982	5303454	+	5300718	Chr2A	5575387	5581945	+	5578666	0.977	0.94	collinear
gene:TraesCS2A03G0017800	Chr2A	5304264	5306171	-	5305217	Chr2A	5588576	5590709	-	5589642	0.977	0.919	collinear
gene:TraesCS2A03G0019500	Chr2A	5605896	5606282	-	5606089	Chr2A	5715943	5716329	+	5716136	1.0	0.974	collinear
gene:TraesCS2A03G0020500	Chr2A	5645108	5647672	+	5646390	Chr2A	5885451	5888021	+	5886736	1.0	0.966	collinear
gene:TraesCS2A03G0020900	Chr2A	5684343	5694560	-	5689451	Chr2A	5925585	5931334	-	5928459	0.937	0.913	collinear
gene:TraesCS2A03G0021400	Chr2A	5808896	5812466	+	5810681	Chr2A	6062153	6065501	+	6063827	0.989	0.955	collinear
gene:TraesCS2A03G0022700	Chr2A	5895383	5896564	-	5895973	Chr2A	6209365	6210546	-	6209955	1.0	0.961	collinear
gene:TraesCS2A03G0023600	Chr2A	6008156	6012012	+	6010084	Chr2A	6690468	6694491	+	6692479	1.0	0.947	collinear
gene:TraesCS2A03G0024000	Chr2A	6056904	6060844	+	6058874	Chr2A	6782684	6787061	+	6784872	0.994	0.961	collinear
gene:TraesCS2A03G0024100	Chr2A	6062525	6068056	-	6065290	Chr2A	6789935	6795521	-	6792728	0.998	0.976	collinear
gene:TraesCS2A03G0024600	Chr2A	6195422	6196652	-	6196037	Chr2A	6974555	6975827	-	6975191	0.995	0.925	collinear
gene:TraesCS2A03G0026200	Chr2A	6713541	6720750	-	6717145	Chr2A	7491868	7498841	-	7495354	0.989	0.951	collinear
gene:TraesCS2A03G0026500	Chr2A	6833898	6836259	+	6835078	Chr2A	7517500	7519617	+	7518558	0.994	0.919	collinear
gene:TraesCS2A03G0030500	Chr2A	7611561	7614909	-	7613235	Chr2A	7809794	7813118	-	7811456	0.985	0.926	collinear
gene:TraesCS2A03G0034000	Chr2A	8678044	8678999	-	8678521	Chr2A	9070165	9071120	-	9070642	1.0	0.969	collinear
gene:TraesCS2A03G0035200	Chr2A	8949289	8950740	+	8950014	Chr2A	9307482	9308933	+	9308207	1.0	0.971	collinear
gene:TraesCS2A03G0035500	Chr2A	9497087	9499842	+	9498464	Chr2A	9620134	9622553	+	9621343	0.958	0.912	collinear
gene:TraesCS2A03G0036800	Chr2A	9831458	9833452	-	9832455	Chr2A	9676164	9678207	+	9677185	1.0	0.982	collinear
gene:TraesCS2A03G0037000	Chr2A	9864423	9870187	+	9867305	Chr2A	9571076	9576537	-	9573806	0.924	0.906	collinear
gene:TraesCS2A03G0037100	Chr2A	9870676	9873085	-	9871880	Chr2A	9568200	9570599	+	9569399	0.992	0.972	collinear
gene:TraesCS2A03G0037700	Chr2A	10229780	10230394	+	10230087	Chr2A	9823385	9823999	+	9823692	0.99	0.948	collinear
gene:TraesCS2A03G0037900	Chr2A	10312993	10314464	+	10313728	Chr2A	9956322	9957794	+	9957058	1.0	0.956	collinear
gene:TraesCS2A03G0038000	Chr2A	10316507	10318063	+	10317285	Chr2A	9960872	9962427	+	9961649	0.997	0.946	collinear
gene:TraesCS2A03G0038200	Chr2A	10392963	10394455	+	10393709	Chr2A	10208866	10210366	+	10209616	1.0	0.953	collinear
gene:TraesCS2A03G0038300	Chr2A	10404599	10408710	+	10406654	Chr2A	10312846	10316685	+	10314765	0.995	0.927	collinear
gene:TraesCS2A03G0038400	Chr2A	10412476	10414101	+	10413288	Chr2A	10317325	10318967	+	10318146	0.999	0.965	collinear
gene:TraesCS2A03G0040700	Chr2A	11308933	11312689	-	11310811	Chr2A	10847777	10851610	-	10849693	0.981	0.922	collinear
gene:TraesCS2A03G0041200	Chr2A	11324593	11326032	-	11325312	Chr2A	10819071	10820509	+	10819790	0.997	0.951	collinear
gene:TraesCS2A03G0041300	Chr2A	11324593	11326032	-	11325312	Chr2A	10819071	10820509	+	10819790	0.997	0.951	collinear
gene:TraesCS2A03G0041400	Chr2A	11328015	11328869	-	11328442	Chr2A	10789430	10790279	+	10789854	0.991	0.938	collinear
gene:TraesCS2A03G0041500	Chr2A	11328015	11328869	-	11328442	Chr2A	10789430	10790279	+	10789854	0.991	0.938	collinear
gene:TraesCS2A03G0041600	Chr2A	11328015	11328869	-	11328442	Chr2A	10789430	10790279	+	10789854	0.991	0.938	collinear
gene:TraesCS2A03G0042400	Chr2A	11662733	11663308	-	11663020	Chr2A	10362492	10363075	-	10362783	1.0	0.958	collinear
gene:TraesCS2A03G0042900	Chr2A	11693710	11694898	-	11694304	Chr2A	10433675	10434865	-	10434270	0.999	0.951	collinear
gene:TraesCS2A03G0043400	Chr2A	11752168	11754017	+	11753092	Chr2A	10540083	10541927	+	10541005	1.0	0.981	collinear
gene:TraesCS2A03G0045100	Chr2A	12436869	12437720	+	12437294	Chr2A	10771771	10772577	-	10772174	1.0	0.927	collinear
gene:TraesCS2A03G0045500	Chr2A	12797591	12799207	+	12798399	Chr2A	11018333	11019925	+	11019129	0.987	0.943	collinear
gene:TraesCS2A03G0046100	Chr2A	12928695	12934990	-	12931842	Chr2A	11067103	11072835	-	11069969	0.94	0.912	collinear
gene:TraesCS2A03G0046400	Chr2A	13060511	13064012	+	13062261	Chr2A	11202859	11206320	+	11204589	0.992	0.939	collinear
gene:TraesCS2A03G0046500	Chr2A	13065737	13082790	-	13074263	Chr2A	11241311	11256139	-	11248725	0.993	0.903	collinear
gene:TraesCS2A03G0046800	Chr2A	13174258	13176698	-	13175478	Chr2A	11414549	11417039	+	11415794	0.998	0.922	collinear
gene:TraesCS2A03G0047000	Chr2A	13310636	13312962	+	13311799	Chr2A	11595560	11597881	+	11596720	0.985	0.941	collinear
gene:TraesCS2A03G0047100	Chr2A	13321859	13325316	-	13323587	Chr2A	11607982	11611354	-	11609668	0.999	0.948	collinear
gene:TraesCS2A03G0047300	Chr2A	13352800	13354685	-	13353742	Chr2A	11630998	11632955	-	11631976	0.988	0.929	collinear
gene:TraesCS2A03G0047600	Chr2A	13540410	13542837	+	13541623	Chr2A	11693383	11695738	+	11694560	0.996	0.957	collinear
gene:TraesCS2A03G0047700	Chr2A	13633004	13634685	-	13633844	Chr2A	11642778	11644460	-	11643619	0.993	0.943	collinear
gene:TraesCS2A03G0047800	Chr2A	13656540	13658822	+	13657681	Chr2A	11818073	11820398	-	11819235	0.989	0.903	collinear
gene:TraesCS2A03G0048000	Chr2A	13697312	13705085	-	13701198	Chr2A	11827846	11836753	-	11832299	0.999	0.977	collinear
