cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr3B	6945637	7075384	Chr3B	10454497	10641916	7	0.9964285714285713
Chr3B	29379899	85340142	Chr3B	37535788	98808751	539	0.9941205936920223
Chr3B	87718232	191189469	Chr3B	101166792	205792389	598	0.9962357859531773
Chr3B	193609697	195100861	Chr3B	208260549	209794346	11	0.9984545454545454
Chr3B	197792489	207735313	Chr3B	212613902	222566408	71	0.9960563380281688
Chr3B	212297313	215012163	Chr3B	227378146	229878068	11	0.9939090909090911
Chr3B	219342949	230195021	Chr3B	233105358	246317904	50	0.99264
Chr3B	235855911	277099960	Chr3B	251772585	293686442	196	0.9955816326530613
Chr3B	283596077	284678121	Chr3B	300499362	301607964	4	0.9935
Chr3B	292022415	296187942	Chr3B	307770362	312402442	4	0.9964999999999999
Chr3B	299132814	309615956	Chr3B	315839562	328922082	15	0.9970666666666668
Chr3B	312893801	317625373	Chr3B	331560017	337013919	7	0.9944285714285713
Chr3B	322293448	338599491	Chr3B	341654848	358770663	24	0.9940833333333333
Chr3B	340796436	352239451	Chr3B	360958956	379090990	19	0.9954736842105264
Chr3B	354430754	355438414	Chr3B	380636103	381630435	4	0.99575
Chr3B	361751621	366550491	Chr3B	385053815	389483400	9	0.9976666666666666
Chr3B	372237472	376633786	Chr3B	396061604	400618508	16	0.9958750000000001
Chr3B	379677460	466686636	Chr3B	408340566	494883082	450	0.9969888888888889
Chr3B	469640104	516001137	Chr3B	498870745	545538288	266	0.9980789473684212
Chr3B	518913010	822195043	Chr3B	550358617	864463918	2563	0.9964444010924697
Chr3B	825953792	830611341	Chr3B	864823402	871642510	48	0.9828749999999999
