gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity	segment
gene:TraesCS5A02G000100	Chr5A	10126	18461	-	14293	Chr5A	4126193	4134529	+	4130361	1.0	0.999	collinear
gene:TraesCS5A02G000200	Chr5A	20226	23967	+	22096	Chr5A	4120687	4124428	-	4122557	1.0	1.0	collinear
gene:TraesCS5A02G000300	Chr5A	28171	30032	-	29101	Chr5A	4114334	4116195	+	4115264	1.0	0.999	collinear
gene:TraesCS5A02G000500	Chr5A	306572	306895	-	306733	Chr5A	3842351	3842674	+	3842512	1.0	1.0	collinear
gene:TraesCS5A02G000600	Chr5A	638578	644527	+	641552	Chr5A	3507000	3512949	-	3509974	1.0	0.999	collinear
gene:TraesCS5A02G000700	Chr5A	644719	646234	+	645476	Chr5A	3505297	3506808	-	3506052	0.997	0.997	collinear
gene:TraesCS5A02G000800	Chr5A	653903	654847	+	654375	Chr5A	3496943	3497887	-	3497415	1.0	1.0	collinear
gene:TraesCS5A02G000900	Chr5A	692543	694327	+	693435	Chr5A	1541465	1543249	+	1542357	1.0	1.0	collinear
gene:TraesCS5A02G001000	Chr5A	835966	836319	+	836142	Chr5A	1680394	1680747	+	1680570	1.0	1.0	collinear
gene:TraesCS5A02G001100	Chr5A	855353	858565	-	856959	Chr5A	1699726	1702939	-	1701332	1.0	1.0	collinear
gene:TraesCS5A02G001200	Chr5A	1114075	1114440	-	1114257	Chr5A	1940231	1940596	-	1940413	1.0	0.997	collinear
gene:TraesCS5A02G001300	Chr5A	1200615	1201335	-	1200975	Chr5A	2025836	2026556	-	2026196	1.0	1.0	collinear
gene:TraesCS5A02G001400	Chr5A	1202119	1202601	+	1202360	Chr5A	2027340	2027822	+	2027581	1.0	1.0	collinear
gene:TraesCS5A02G001500	Chr5A	1218671	1227119	+	1222895	Chr5A	2043737	2052185	+	2047961	1.0	0.999	collinear
gene:TraesCS5A02G001600	Chr5A	1228104	1231038	+	1229571	Chr5A	2053170	2056104	+	2054637	1.0	1.0	collinear
