cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr2D	34213	12576689	Chr2D	337273	14300583	289	0.997332179930796
Chr2D	12621757	212930092	Chr2D	15464549	222183239	1900	0.9977178947368421
Chr2D	215731966	223908849	Chr2D	224968309	233099620	13	0.9993846153846154
Chr2D	226334565	236124178	Chr2D	235517901	245251727	10	0.9995
Chr2D	238162860	265066747	Chr2D	247272466	274092469	46	0.9999565217391305
Chr2D	267698311	280652282	Chr2D	276714289	290096618	34	0.9995000000000002
Chr2D	282927919	582494715	Chr2D	292364097	595895816	2209	0.99764735174287
Chr2D	584531119	635522009	Chr2D	596454951	652533200	636	0.9804999999999999
Chr2D	643640949	647814446	Chr2D	658135155	662248999	96	0.9993020833333334
Chr2D	635584896	643468027	Chr2D	662420896	670799399	138	0.9943913043478261
Chr2D	647969247	651821746	Chr2D	652718052	658015781	77	0.9966753246753247
