gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	tgt_chr	tgt_start	tgt_end	tgt_strand	tgt_midpoint	coverage	identity	segment
gene:TraesCS2B03G0011100	Chr2B	2935121	2936823	+	2935972	Chr2B	5588059	5589737	+	5588898	0.977	0.906	collinear
gene:TraesCS2B03G0011700	Chr2B	3194437	3195324	-	3194880	Chr2B	5567888	5568768	+	5568328	0.99	0.973	collinear
gene:TraesCS2B03G0014300	Chr2B	4031007	4035278	-	4033142	Chr2B	5906988	5911258	+	5909123	0.999	0.991	collinear
gene:TraesCS2B03G0014500	Chr2B	4057416	4065064	-	4061240	Chr2B	6072695	6080320	+	6076507	1.0	0.991	collinear
gene:TraesCS2B03G0015300	Chr2B	4921039	4922226	-	4921632	Chr2B	5534183	5535353	+	5534768	0.985	0.978	collinear
gene:TraesCS2B03G0015400	Chr2B	4921039	4925322	-	4923180	Chr2B	5531087	5535353	+	5533220	0.996	0.991	collinear
gene:TraesCS2B03G0016000	Chr2B	5016726	5020169	+	5018447	Chr2B	5431689	5435131	-	5433410	1.0	0.994	collinear
gene:TraesCS2B03G0016200	Chr2B	5031749	5033515	-	5032632	Chr2B	5410639	5412408	+	5411523	1.0	0.975	collinear
gene:TraesCS2B03G0016300	Chr2B	5034478	5034879	-	5034678	Chr2B	5407905	5408306	+	5408105	1.0	0.972	collinear
gene:TraesCS2B03G0016400	Chr2B	5035649	5037309	-	5036479	Chr2B	5401381	5403043	+	5402212	1.0	0.98	collinear
gene:TraesCS2B03G0016700	Chr2B	5058158	5060304	+	5059231	Chr2B	5352556	5354702	-	5353629	1.0	0.997	collinear
gene:TraesCS2B03G0016900	Chr2B	5071624	5076306	+	5073965	Chr2B	5336515	5341193	-	5338854	1.0	0.997	collinear
gene:TraesCS2B03G0017500	Chr2B	5236031	5237507	+	5236769	Chr2B	5328627	5330090	-	5329358	0.991	0.98	collinear
gene:TraesCS2B03G0017600	Chr2B	5295192	5296900	-	5296046	Chr2B	5264742	5266450	+	5265596	1.0	0.994	collinear
gene:TraesCS2B03G0017700	Chr2B	5393429	5393683	+	5393556	Chr2B	5166607	5166861	-	5166734	1.0	0.992	collinear
gene:TraesCS2B03G0018100	Chr2B	5448721	5450259	+	5449490	Chr2B	5110220	5111758	-	5110989	1.0	0.996	collinear
gene:TraesCS2B03G0018300	Chr2B	5465459	5467015	-	5466237	Chr2B	5065507	5067049	+	5066278	0.991	0.971	collinear
gene:TraesCS2B03G0018800	Chr2B	5613315	5614067	-	5613691	Chr2B	5057570	5058322	+	5057946	1.0	0.972	collinear
gene:TraesCS2B03G0019000	Chr2B	5640833	5641228	+	5641030	Chr2B	5041733	5042128	-	5041930	1.0	0.994	collinear
gene:TraesCS2B03G0019100	Chr2B	5644403	5648377	-	5646390	Chr2B	5034536	5038556	+	5036546	0.988	0.959	collinear
gene:TraesCS2B03G0019200	Chr2B	5654103	5657492	+	5655797	Chr2B	5016574	5019976	-	5018275	0.991	0.935	collinear
gene:TraesCS2B03G0019300	Chr2B	5657715	5659851	-	5658783	Chr2B	5013994	5016453	+	5015223	0.998	0.97	collinear
gene:TraesCS2B03G0020000	Chr2B	5857938	5873315	-	5865626	Chr2B	4794548	4810003	+	4802275	0.994	0.97	collinear
gene:TraesCS2B03G0020600	Chr2B	6113325	6116343	-	6114834	Chr2B	4678519	4681545	+	4680032	1.0	0.965	collinear
gene:TraesCS2B03G0022500	Chr2B	6468597	6470870	+	6469733	Chr2B	4647372	4649651	-	4648511	1.0	0.975	collinear
gene:TraesCS2B03G0022900	Chr2B	6504862	6505866	-	6505364	Chr2B	4640526	4641536	+	4641031	1.0	0.942	collinear
gene:TraesCS2B03G0023000	Chr2B	6532801	6533683	+	6533242	Chr2B	4675068	4675951	-	4675509	1.0	0.98	collinear
gene:TraesCS2B03G0024200	Chr2B	6713306	6714708	+	6714007	Chr2B	4598381	4599783	-	4599082	1.0	0.956	collinear
gene:TraesCS2B03G0025300	Chr2B	6882347	6883870	+	6883108	Chr2B	4602089	4603610	-	4602849	0.998	0.978	collinear
gene:TraesCS2B03G0025700	Chr2B	6898563	6903761	-	6901162	Chr2B	4534439	4539578	+	4537008	0.986	0.921	collinear
gene:TraesCS2B03G0026100	Chr2B	7188185	7188382	-	7188283	Chr2B	4049187	4049384	-	4049285	1.0	0.944	collinear
gene:TraesCS2B03G0026300	Chr2B	7231414	7238036	-	7234725	Chr2B	3350825	3358407	+	3354616	0.999	0.982	collinear
gene:TraesCS2B03G0026600	Chr2B	7342466	7343956	+	7343211	Chr2B	3255020	3256510	-	3255765	1.0	0.973	collinear
gene:TraesCS2B03G0026500	Chr2B	7342428	7347675	-	7345051	Chr2B	3251466	3256539	+	3254002	0.951	0.931	collinear
gene:TraesCS2B03G0026800	Chr2B	7368058	7373714	+	7370886	Chr2B	3224666	3230328	-	3227497	0.999	0.997	collinear
gene:TraesCS2B03G0026900	Chr2B	7374744	7376852	-	7375798	Chr2B	3221502	3223610	+	3222556	1.0	0.996	collinear
gene:TraesCS2B03G0027000	Chr2B	7384257	7389466	+	7386861	Chr2B	3208873	3214081	-	3211477	1.0	0.994	collinear
gene:TraesCS2B03G0027200	Chr2B	7418327	7421421	+	7419874	Chr2B	3174090	3177252	-	3175671	1.0	0.965	collinear
gene:TraesCS2B03G0027300	Chr2B	7423234	7427119	-	7425176	Chr2B	3168413	3172285	+	3170349	0.991	0.983	collinear
gene:TraesCS2B03G0027400	Chr2B	7430644	7430993	-	7430818	Chr2B	3161467	3161818	+	3161642	1.0	0.991	collinear
gene:TraesCS2B03G0027500	Chr2B	7457794	7474452	+	7466123	Chr2B	3125157	3141789	-	3133473	1.0	0.996	collinear
gene:TraesCS2B03G0027600	Chr2B	7480197	7485085	+	7482641	Chr2B	3111017	3115905	-	3113461	1.0	0.992	collinear
