cs_chr	cs_start	cs_end	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	n_anchors	mean_identity
Chr3B	240185	6805777	Chr3B	139756	6723509	90	0.9868
Chr3B	10012714	35821190	Chr3B	4124781	34733457	346	0.989557803468208
Chr3B	38137652	97070979	Chr3B	36829677	96826553	545	0.9939834862385322
Chr3B	99457041	202823600	Chr3B	99187692	204318526	582	0.9957886597938144
Chr3B	205225044	206704475	Chr3B	206788475	208322285	11	0.9984545454545454
Chr3B	209383926	219278363	Chr3B	211142037	221094675	74	0.9959054054054054
Chr3B	223825022	226529934	Chr3B	225911129	228411040	11	0.9939090909090912
Chr3B	230843333	241641396	Chr3B	231638794	244845802	50	0.99264
Chr3B	247259756	288293953	Chr3B	250300358	292177945	197	0.9952131979695432
Chr3B	295003050	296080909	Chr3B	298990853	300099444	4	0.9985
Chr3B	303571170	307711148	Chr3B	306261810	310893641	4	0.9965
Chr3B	310640808	322569052	Chr3B	314330874	327410856	16	0.996625
Chr3B	325241568	329207761	Chr3B	330461598	334990287	5	0.9974
Chr3B	333847811	350060262	Chr3B	339631210	356923303	24	0.9940416666666666
Chr3B	352247049	375781155	Chr3B	359111588	390734122	44	0.9963863636363636
Chr3B	378145074	416556469	Chr3B	393058550	432122635	158	0.996012658227848
Chr3B	418922290	480164325	Chr3B	432362980	493232428	361	0.9978171745152354
Chr3B	482733323	529649040	Chr3B	495790159	542552669	262	0.9955687022900764
Chr3B	534144519	851872904	Chr3B	547379182	869792367	2618	0.9951970970206264
