cs_chr	cs_start	cs_end	tgt_chr	tgt_start	tgt_end	n_anchors	mean_identity
Chr4A	81328	78736365	Chr4A	516360	79938482	731	0.996139534883721
Chr4A	81244931	130332624	Chr4A	81648709	130505837	278	0.995363309352518
Chr4A	132517055	192330869	Chr4A	132558735	192098183	258	0.998562015503876
Chr4A	194997349	219652885	Chr4A	194764609	219360874	44	0.9985454545454545
Chr4A	221731546	222175913	Chr4A	221461591	221913542	3	1.0
Chr4A	224910983	226677182	Chr4A	224533614	226289264	4	1.0
Chr4A	229114346	242431315	Chr4A	228700138	242028958	21	0.999904761904762
Chr4A	328283933	333487928	Chr4A	329647614	334858712	6	0.9994999999999999
Chr4A	337968373	349413639	Chr4A	339286518	350652832	23	0.9997826086956522
Chr4A	351426691	353020297	Chr4A	352775488	354370917	4	0.99975
Chr4A	355676988	358739297	Chr4A	356981600	360030832	6	0.9996666666666667
Chr4A	361169426	364704441	Chr4A	362477093	366004491	5	0.9997999999999999
Chr4A	372955440	386206032	Chr4A	374112074	387321776	15	0.9996666666666667
Chr4A	388345576	389986218	Chr4A	389438734	391064259	3	1.0
Chr4A	394095303	397542408	Chr4A	395161895	398608009	6	0.9998333333333335
Chr4A	399782828	400323386	Chr4A	400858367	401412459	3	0.999
Chr4A	406605144	419576751	Chr4A	407657640	420555396	17	0.9987647058823529
Chr4A	421807811	507495678	Chr4A	422785833	508109143	416	0.9983629807692307
Chr4A	509609425	641040255	Chr4A	510226283	640834939	1475	0.9972942372881356
Chr4A	660295931	673328038	Chr4A	655688881	668720676	139	0.9972302158273382
Chr4A	688562054	754177262	Chr4A	684747028	743034045	589	0.989327674023769
