gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity	segment
gene:TraesCS6A02G010200	Chr6A	4678487	4684680	-	4681583	Chr6A	7167569	7173759	-	7170664	1.0	0.997	collinear
gene:TraesCS6A02G010300	Chr6A	4709761	4711965	-	4710863	Chr6A	7219330	7221535	-	7220432	1.0	0.998	collinear
gene:TraesCS6A02G010400	Chr6A	4767623	4773630	-	4770626	Chr6A	7581022	7587029	-	7584025	1.0	0.996	collinear
gene:TraesCS6A02G010500	Chr6A	5035363	5036518	+	5035940	Chr6A	7849066	7850221	+	7849643	1.0	1.0	collinear
gene:TraesCS6A02G010600	Chr6A	5048234	5049630	-	5048932	Chr6A	7861692	7863088	-	7862390	1.0	1.0	collinear
gene:TraesCS6A02G010700	Chr6A	5067249	5069150	+	5068199	Chr6A	7880408	7882309	+	7881358	1.0	1.0	collinear
gene:TraesCS6A02G010800	Chr6A	5071161	5074450	+	5072805	Chr6A	7884320	7887609	+	7885964	1.0	1.0	collinear
gene:TraesCS6A02G010900	Chr6A	5107820	5109783	+	5108801	Chr6A	7920778	7922741	+	7921759	1.0	1.0	collinear
gene:TraesCS6A02G011000	Chr6A	5134588	5135865	-	5135226	Chr6A	8001465	8002742	-	8002103	1.0	0.993	collinear
gene:TraesCS6A02G011100	Chr6A	5206572	5207300	+	5206936	Chr6A	8064691	8065419	+	8065055	1.0	0.995	collinear
gene:TraesCS6A02G011200	Chr6A	5221442	5222782	-	5222112	Chr6A	8071219	8072559	-	8071889	1.0	0.994	collinear
gene:TraesCS6A02G011300	Chr6A	5294255	5297203	-	5295729	Chr6A	8143359	8146146	-	8144752	1.0	0.999	collinear
gene:TraesCS6A02G011400	Chr6A	5319080	5322498	-	5320789	Chr6A	8168512	8171914	-	8170213	0.984	0.982	collinear
gene:TraesCS6A02G011500	Chr6A	5323438	5324822	-	5324130	Chr6A	8172854	8174238	-	8173546	1.0	0.984	collinear
gene:TraesCS6A02G011600	Chr6A	5326377	5327045	-	5326711	Chr6A	8175785	8176453	-	8176119	1.0	0.995	collinear
gene:TraesCS6A02G011700	Chr6A	5358104	5364843	+	5361473	Chr6A	8195092	8201809	+	8198450	0.976	0.972	collinear
gene:TraesCS6A02G011800	Chr6A	5473439	5480862	-	5477150	Chr6A	8329587	8337007	-	8333297	1.0	0.991	collinear
gene:TraesCS6A02G011900	Chr6A	5504161	5505060	-	5504610	Chr6A	8361290	8362183	-	8361736	1.0	0.986	collinear
gene:TraesCS6A02G012000	Chr6A	5551169	5558354	-	5554761	Chr6A	8402318	8408303	-	8405310	1.0	0.978	collinear
gene:TraesCS6A02G012100	Chr6A	5603131	5605597	+	5604364	Chr6A	8432376	8434860	+	8433618	1.0	0.991	collinear
gene:TraesCS6A02G012200	Chr6A	5605811	5607286	-	5606548	Chr6A	8508634	8510348	-	8509491	0.999	0.99	collinear
gene:TraesCS6A02G012400	Chr6A	5774197	5776510	+	5775353	Chr6A	8633822	8635839	+	8634830	1.0	0.979	collinear
gene:TraesCS6A02G012500	Chr6A	5856594	5857535	-	5857064	Chr6A	8533433	8534360	-	8533896	0.983	0.975	collinear
gene:TraesCS6A02G012600	Chr6A	5861573	5863417	+	5862495	Chr6A	8762771	8764584	+	8763677	0.986	0.973	collinear
gene:TraesCS6A02G012700	Chr6A	5872687	5874378	-	5873532	Chr6A	9183387	9185077	-	9184232	0.999	0.982	collinear
gene:TraesCS6A02G013100	Chr6A	5939421	5942754	+	5941087	Chr6A	9216726	9220059	+	9218392	1.0	0.998	collinear
gene:TraesCS6A02G013200	Chr6A	6189852	6193194	+	6191523	Chr6A	9463443	9466785	+	9465114	1.0	1.0	collinear
gene:TraesCS6A02G013300	Chr6A	6562757	6569872	+	6566314	Chr6A	9818304	9825176	+	9821740	1.0	1.0	collinear
gene:TraesCS6A02G013400	Chr6A	6596738	6609077	-	6602907	Chr6A	9851819	9863665	-	9857742	1.0	1.0	collinear
gene:TraesCS6A02G013500	Chr6A	6699199	6701391	+	6700295	Chr6A	9951839	9954031	+	9952935	1.0	0.999	collinear
gene:TraesCS6A02G013566	Chr6A	6712593	6718806	+	6715699	Chr6A	9965233	9970987	+	9968110	0.999	0.999	collinear
gene:TraesCS6A02G013600	Chr6A	6721481	6725416	+	6723448	Chr6A	9973662	9977597	+	9975629	1.0	1.0	collinear
gene:TraesCS6A02G013700	Chr6A	6727564	6735295	+	6731429	Chr6A	9979746	9987133	+	9983439	1.0	0.999	collinear
gene:TraesCS6A02G013800	Chr6A	6739737	6740659	+	6740198	Chr6A	9991835	9992757	+	9992296	1.0	0.997	collinear
gene:TraesCS6A02G013900	Chr6A	6741985	6742380	-	6742182	Chr6A	9994083	9994478	-	9994280	1.0	1.0	collinear
gene:TraesCS6A02G014000	Chr6A	6804413	6805120	-	6804766	Chr6A	10056045	10056752	-	10056398	1.0	1.0	collinear
gene:TraesCS6A02G014100	Chr6A	6890789	6893444	-	6892116	Chr6A	10141323	10143978	-	10142650	1.0	1.0	collinear
gene:TraesCS6A02G014200	Chr6A	6895077	6896267	+	6895672	Chr6A	10145611	10146801	+	10146206	1.0	1.0	collinear
gene:TraesCS6A02G014300	Chr6A	6972974	6977676	-	6975325	Chr6A	10222009	10226711	-	10224360	1.0	0.999	collinear
gene:TraesCS6A02G014400	Chr6A	7030744	7031007	+	7030875	Chr6A	10279122	10279385	+	10279253	1.0	1.0	collinear
gene:TraesCS6A02G014500	Chr6A	7079617	7080378	+	7079997	Chr6A	10327414	10328175	+	10327794	1.0	0.998	collinear
gene:TraesCS6A02G014600	Chr6A	7080576	7081763	+	7081169	Chr6A	10328373	10329560	+	10328966	1.0	1.0	collinear
gene:TraesCS6A02G014625	Chr6A	7091325	7092320	+	7091822	Chr6A	10339124	10340119	+	10339621	1.0	1.0	collinear
