gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity
gene:TraesCS3B03G0000300	Chr3B	73825	74249	-	74037	Chr3B	5419407	5419831	+	5419619	1.0	0.997
gene:TraesCS3B03G0000600	Chr3B	239266	241105	+	240185	Chr3B	5251195	5253050	-	5252122	0.995	0.971
gene:TraesCS3B03G0000700	Chr3B	244156	244849	+	244502	Chr3B	5247449	5248142	-	5247795	1.0	0.985
gene:TraesCS3B03G0000900	Chr3B	268852	271443	-	270147	Chr3B	5221440	5224034	+	5222737	1.0	0.998
gene:TraesCS3B03G0001000	Chr3B	375283	376618	+	375950	Chr3B	5113123	5114458	-	5113790	1.0	0.997
gene:TraesCS3B03G0001100	Chr3B	388009	388991	+	388500	Chr3B	5109491	5110470	-	5109980	0.996	0.993
gene:TraesCS3B03G0001700	Chr3B	491565	493664	-	492614	Chr3B	4528695	4530972	+	4529833	0.997	0.99
gene:TraesCS3B03G0002300	Chr3B	613726	615867	+	614796	Chr3B	4402130	4404271	-	4403200	1.0	0.998
gene:TraesCS3B03G0002800	Chr3B	855999	856555	+	856277	Chr3B	4157443	4157999	-	4157721	1.0	1.0
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	4149744	4154876	+	4152310	1.0	0.999
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	3784197	3788074	+	3786135	0.982	0.962
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	3540003	3544364	-	3542183	0.99	0.984
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	3437178	3440476	+	3438827	1.0	0.994
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	3257979	3260884	+	3259431	0.981	0.921
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	3235301	3239651	+	3237476	0.993	0.947
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	3220572	3222137	-	3221354	0.98	0.935
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	3072492	3073945	-	3073218	0.993	0.958
gene:TraesCS3B03G0005200	Chr3B	2238754	2241107	-	2239930	Chr3B	3060954	3063205	+	3062079	0.99	0.982
gene:TraesCS3B03G0005300	Chr3B	2251630	2253405	-	2252517	Chr3B	3048685	3050460	+	3049572	1.0	0.998
gene:TraesCS3B03G0005500	Chr3B	2264941	2267104	-	2266022	Chr3B	2767073	2769235	-	2768154	1.0	1.0
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	3019162	3022096	+	3020629	1.0	0.998
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	3002459	3005288	+	3003873	1.0	1.0
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	2993516	2996579	+	2995047	1.0	0.99
gene:TraesCS3B03G0006100	Chr3B	2390285	2392680	-	2391482	Chr3B	2911901	2914296	+	2913098	1.0	0.998
gene:TraesCS3B03G0006200	Chr3B	2400732	2403083	-	2401907	Chr3B	2901472	2903849	+	2902660	1.0	1.0
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	2881671	2890278	-	2885974	1.0	1.0
gene:TraesCS3B03G0006500	Chr3B	2431101	2434170	+	2432635	Chr3B	2870387	2873456	-	2871921	1.0	1.0
gene:TraesCS3B03G0006600	Chr3B	2442622	2445483	+	2444052	Chr3B	2859077	2861938	-	2860507	1.0	1.0
gene:TraesCS3B03G0006700	Chr3B	2457176	2459341	+	2458258	Chr3B	2845230	2847392	-	2846311	1.0	1.0
gene:TraesCS3B03G0006900	Chr3B	2470221	2472506	+	2471363	Chr3B	2832061	2834346	-	2833203	1.0	1.0
gene:TraesCS3B03G0007000	Chr3B	2478261	2480528	+	2479394	Chr3B	2824037	2826303	-	2825170	1.0	1.0
gene:TraesCS3B03G0007300	Chr3B	2530871	2532375	+	2531623	Chr3B	2694065	2695569	-	2694817	1.0	1.0
gene:TraesCS3B03G0007400	Chr3B	2539959	2542446	+	2541202	Chr3B	2683990	2686477	-	2685233	1.0	1.0
gene:TraesCS3B03G0007600	Chr3B	2550258	2551285	-	2550771	Chr3B	2675143	2676170	+	2675656	1.0	1.0
gene:TraesCS3B03G0007800	Chr3B	2560091	2561590	+	2560840	Chr3B	2664833	2666332	-	2665582	1.0	0.999
gene:TraesCS3B03G0007900	Chr3B	2607986	2611253	+	2609619	Chr3B	2615163	2618430	-	2616796	1.0	1.0
gene:TraesCS3B03G0008000	Chr3B	2618273	2621910	+	2620091	Chr3B	2604506	2608143	-	2606324	1.0	1.0
gene:TraesCS3B03G0008700	Chr3B	2650047	2654817	+	2652432	Chr3B	2592748	2597721	-	2595234	0.973	0.933
gene:TraesCS3B03G0008900	Chr3B	3142976	3145283	+	3144129	Chr3B	1953306	1955467	-	1954386	1.0	0.985
gene:TraesCS3B03G0009200	Chr3B	3160490	3162733	+	3161611	Chr3B	1907259	1909523	-	1908391	1.0	0.983
gene:TraesCS3B03G0009700	Chr3B	3267964	3273538	-	3270751	Chr3B	1821857	1827431	+	1824644	1.0	1.0
gene:TraesCS3B03G0010000	Chr3B	3288829	3291388	-	3290108	Chr3B	1804010	1806570	+	1805290	1.0	0.999
gene:TraesCS3B03G0010400	Chr3B	3319309	3319678	-	3319493	Chr3B	1776740	1777109	+	1776924	1.0	1.0
gene:TraesCS3B03G0010500	Chr3B	3329965	3331410	-	3330687	Chr3B	1765008	1766453	+	1765730	1.0	1.0
gene:TraesCS3B03G0010600	Chr3B	3343534	3343869	-	3343701	Chr3B	1752806	1753141	+	1752973	1.0	1.0
gene:TraesCS3B03G0010700	Chr3B	3351732	3352420	+	3352076	Chr3B	1744255	1744943	-	1744599	1.0	1.0
gene:TraesCS3B03G0011100	Chr3B	3390928	3392733	-	3391830	Chr3B	1703937	1705742	+	1704839	1.0	1.0
gene:TraesCS3B03G0011700	Chr3B	3476475	3479401	+	3477938	Chr3B	1617075	1619997	-	1618536	0.995	0.991
gene:TraesCS3B03G0011800	Chr3B	3481462	3493401	+	3487431	Chr3B	1603076	1615025	-	1609050	0.998	0.988
gene:TraesCS3B03G0011900	Chr3B	3509554	3512426	-	3510990	Chr3B	1549113	1551985	+	1550549	1.0	0.996
gene:TraesCS3B03G0012000	Chr3B	3519251	3522305	+	3520778	Chr3B	1539265	1542313	-	1540789	0.998	0.995
gene:TraesCS3B03G0012100	Chr3B	3524408	3531567	-	3527987	Chr3B	1529993	1537132	+	1533562	0.967	0.963
gene:TraesCS3B03G0012200	Chr3B	3646467	3646898	+	3646682	Chr3B	1490706	1491137	-	1490921	1.0	1.0
gene:TraesCS3B03G0012700	Chr3B	3750107	3752530	+	3751318	Chr3B	1080760	1083183	-	1081971	1.0	1.0
gene:TraesCS3B03G0012800	Chr3B	3758382	3758978	-	3758680	Chr3B	1074312	1074908	+	1074610	1.0	1.0
gene:TraesCS3B03G0012900	Chr3B	3760385	3761643	-	3761014	Chr3B	1071647	1072905	+	1072276	1.0	0.999
gene:TraesCS3B03G0013100	Chr3B	3792617	3799581	-	3796099	Chr3B	1033657	1040621	+	1037139	1.0	1.0
gene:TraesCS3B03G0013400	Chr3B	3821480	3821881	+	3821680	Chr3B	933324	933725	-	933524	1.0	1.0
gene:TraesCS3B03G0013500	Chr3B	3852505	3853085	+	3852795	Chr3B	902125	902705	-	902415	1.0	1.0
gene:TraesCS3B03G0013600	Chr3B	3877659	3878072	+	3877865	Chr3B	877141	877554	-	877347	1.0	1.0
gene:TraesCS3B03G0013700	Chr3B	3890065	3890949	+	3890507	Chr3B	864266	865150	-	864708	1.0	1.0
gene:TraesCS3B03G0013800	Chr3B	3892768	3893685	+	3893226	Chr3B	861530	862447	-	861988	1.0	1.0
gene:TraesCS3B03G0014100	Chr3B	3975265	3975989	+	3975627	Chr3B	779233	779957	-	779595	1.0	1.0
gene:TraesCS3B03G0014200	Chr3B	3977457	3977904	+	3977680	Chr3B	777318	777765	-	777541	1.0	1.0
gene:TraesCS3B03G0014300	Chr3B	3978061	3982097	+	3980079	Chr3B	773125	777161	-	775143	1.0	1.0
