gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	Spelt_tgt_strand	Spelt_tgt_midpoint	Spelt_coverage	Spelt_identity
gene:TraesCS1B03G0000100	Chr1B	167368	172879	-	170123	Chr1B	164643	170154	-	167398	1.0	1.0
gene:TraesCS1B03G0000200	Chr1B	455175	461656	-	458415	Chr1B	445506	453427	-	449466	1.0	1.0
gene:TraesCS1B03G0000800	Chr1B	705806	707489	+	706647	Chr1B	693077	694760	+	693918	1.0	1.0
gene:TraesCS1B03G0000900	Chr1B	715446	720451	-	717948	Chr1B	702717	707722	-	705219	1.0	1.0
gene:TraesCS1B03G0001300	Chr1B	874691	877709	-	876200	Chr1B	861324	864342	-	862833	1.0	1.0
gene:TraesCS1B03G0001600	Chr1B	1190948	1191943	+	1191445	Chr1B	1177445	1178440	+	1177942	1.0	1.0
gene:TraesCS1B03G0001900	Chr1B	1193433	1195230	+	1194331	Chr1B	1180041	1181838	+	1180939	1.0	1.0
gene:TraesCS1B03G0002000	Chr1B	1195555	1199187	-	1197371	Chr1B	1182162	1185794	-	1183978	1.0	1.0
gene:TraesCS1B03G0002100	Chr1B	1200778	1204863	-	1202820	Chr1B	1187456	1191560	-	1189508	1.0	1.0
gene:TraesCS1B03G0002200	Chr1B	1237000	1244167	+	1240583	Chr1B	1223687	1230818	+	1227252	0.992	0.992
gene:TraesCS1B03G0002400	Chr1B	1247087	1248968	+	1248027	Chr1B	1233738	1235603	+	1234670	1.0	1.0
gene:TraesCS1B03G0002500	Chr1B	1254021	1254909	-	1254465	Chr1B	1240619	1241507	-	1241063	1.0	1.0
gene:TraesCS1B03G0002700	Chr1B	1268212	1281120	-	1274666	Chr1B	1254810	1267877	-	1261343	1.0	0.997
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	1383234	1385618	+	1384426	1.0	1.0
gene:TraesCS1B03G0003100	Chr1B	1407228	1410094	-	1408661	Chr1B	1386415	1389281	-	1387848	1.0	0.998
gene:TraesCS1B03G0003200	Chr1B	1411477	1414749	-	1413113	Chr1B	1390664	1393791	-	1392227	1.0	0.997
gene:TraesCS1B03G0003300	Chr1B	1417992	1424275	-	1421133	Chr1B	1397157	1403398	-	1400277	0.993	0.991
gene:TraesCS1B03G0003400	Chr1B	1457859	1460957	+	1459408	Chr1B	1462113	1465225	+	1463669	0.998	0.977
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	1606008	1617466	-	1611737	0.992	0.969
gene:TraesCS1B03G0005300	Chr1B	1804328	1805251	-	1804789	Chr1B	2954128	2955052	+	2954590	1.0	0.968
gene:TraesCS1B03G0005500	Chr1B	1812059	1815337	-	1813698	Chr1B	3182026	3185315	-	3183670	0.997	0.967
gene:TraesCS1B03G0005800	Chr1B	1923843	1927998	-	1925920	Chr1B	3336900	3341022	-	3338961	0.99	0.983
gene:TraesCS1B03G0006100	Chr1B	1955887	1957879	+	1956883	Chr1B	3368131	3370123	+	3369127	1.0	0.996
gene:TraesCS1B03G0008600	Chr1B	2380688	2383732	-	2382210	Chr1B	2143257	2146295	-	2144776	0.998	0.997
gene:TraesCS1B03G0008700	Chr1B	2563615	2566164	-	2564889	Chr1B	2326551	2329100	-	2327825	1.0	1.0
gene:TraesCS1B03G0008800	Chr1B	2661258	2662527	+	2661892	Chr1B	2412382	2413651	+	2413016	1.0	0.998
gene:TraesCS1B03G0008900	Chr1B	2661462	2662433	+	2661947	Chr1B	2412586	2413557	+	2413071	1.0	0.997
gene:TraesCS1B03G0009600	Chr1B	2791203	2792803	-	2792003	Chr1B	2404046	2405646	-	2404846	1.0	1.0
gene:TraesCS1B03G0009700	Chr1B	2931085	2935423	-	2933254	Chr1B	2546313	2550651	-	2548482	1.0	1.0
gene:TraesCS1B03G0009800	Chr1B	3094767	3097318	+	3096042	Chr1B	2719688	2722239	+	2720963	1.0	0.999
gene:TraesCS1B03G0010200	Chr1B	3246952	3249237	+	3248094	Chr1B	2844208	2846253	+	2845230	0.997	0.989
gene:TraesCS1B03G0010300	Chr1B	3343692	3346966	+	3345329	Chr1B	2940357	2943673	+	2942015	1.0	0.983
gene:TraesCS1B03G0011200	Chr1B	3399421	3412856	+	3406138	Chr1B	6854059	6871357	+	6862708	1.0	0.995
gene:TraesCS1B03G0012500	Chr1B	3769497	3771294	-	3770395	Chr1B	8664433	8666149	+	8665291	1.0	0.979
gene:TraesCS1B03G0013600	Chr1B	4115135	4122936	+	4119035	Chr1B	9072287	9084084	+	9078185	0.994	0.941
gene:TraesCS1B03G0014000	Chr1B	4143564	4145402	+	4144483	Chr1B	9157232	9159070	+	9158151	1.0	0.976
gene:TraesCS1B03G0015300	Chr1B	4408161	4409441	+	4408801	Chr1B	9266954	9268218	+	9267586	0.975	0.902
gene:TraesCS1B03G0015600	Chr1B	4508006	4514125	-	4511065	Chr1B	9330855	9336713	-	9333784	1.0	0.992
gene:TraesCS1B03G0015800	Chr1B	4527377	4530535	+	4528956	Chr1B	9375766	9378920	+	9377343	0.996	0.99
gene:TraesCS1B03G0015900	Chr1B	4532575	4540073	-	4536324	Chr1B	9380862	9388250	-	9384556	1.0	0.996
gene:TraesCS1B03G0016300	Chr1B	4938236	4939656	-	4938946	Chr1B	9433401	9434824	-	9434112	0.998	0.916
gene:TraesCS1B03G0016700	Chr1B	4974868	4978200	-	4976534	Chr1B	9737480	9740809	-	9739144	0.997	0.941
