cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr4A	64957558	68142357	Chr4A	77740089	80951425	26	0.9923076923076922
Chr4A	54108293	55573973	Chr4A	65525031	66908258	4	0.99725
Chr4A	75919218	78765803	Chr4A	67459295	70008953	16	0.9958750000000001
Chr4A	320272231	327753355	Chr4A	245352060	252696328	14	0.9900714285714285
Chr4A	356554191	358853011	Chr4A	340130562	342583626	5	0.998
Chr4A	82701	49263230	Chr4A	14832	49432304	549	0.9948306010928962
Chr4A	55915945	63099410	Chr4A	57781808	65160613	59	0.9954406779661017
Chr4A	68459564	75842724	Chr4A	70097049	77442850	55	0.992490909090909
Chr4A	81276884	130504034	Chr4A	81322789	130573749	282	0.995677304964539
Chr4A	132701921	179548850	Chr4A	132767787	179817049	228	0.9988552631578946
Chr4A	181624592	188634283	Chr4A	182269188	189101001	20	0.9962500000000001
Chr4A	191040601	192628546	Chr4A	191126599	192655323	5	0.9962
Chr4A	195391805	220022826	Chr4A	195393094	219312966	41	0.9924634146341464
Chr4A	222107768	222562036	Chr4A	221429509	221865858	3	0.9983333333333334
Chr4A	225313869	227091476	Chr4A	224595119	226143424	4	0.997
Chr4A	229493172	240021102	Chr4A	228241595	239111240	16	0.9950625000000001
Chr4A	242512092	242884659	Chr4A	241450023	241823380	3	0.9953333333333334
Chr4A	245258976	246679988	Chr4A	244061372	253123087	8	0.9938750000000001
Chr4A	248831802	263897149	Chr4A	255180911	270281718	21	0.9935238095238094
Chr4A	288678172	292926823	Chr4A	288203136	292405480	4	0.98775
Chr4A	312689192	314684131	Chr4A	317645223	319574430	5	0.9876000000000001
Chr4A	338745706	350244063	Chr4A	335664307	351373667	19	0.995157894736842
Chr4A	362089683	365639149	Chr4A	355461452	358965724	5	0.9958
Chr4A	374658394	376722890	Chr4A	369738594	371781668	3	0.9980000000000001
Chr4A	379030775	387104269	Chr4A	376178275	385501319	10	0.9953
Chr4A	389242085	390892975	Chr4A	387756411	389386857	3	0.9973333333333333
Chr4A	395027325	398506001	Chr4A	393404998	396572007	6	0.9958333333333332
Chr4A	400757887	401303656	Chr4A	398848594	399378159	3	0.9893333333333333
Chr4A	407610912	420517232	Chr4A	405698890	418482640	17	0.9886470588235293
Chr4A	422761993	508494353	Chr4A	420711066	506143694	406	0.9970591133004927
Chr4A	510639254	641610833	Chr4A	508316325	641726521	1444	0.9962313019390583
Chr4A	661624340	668853525	Chr4A	658925093	666366678	89	0.9971573033707867
Chr4A	686530004	743127062	Chr4A	687421362	743787362	596	0.9920637583892618
Chr4A	642186467	661301432	Chr4A	666679694	686990127	121	0.997595041322314
Chr4A	669580365	686385415	Chr4A	641768845	658631180	219	0.9985844748858448
