gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity	segment
gene:TraesCS4B03G0000100	Chr4B	1	459	+	230	Chr4B	403711	404169	+	403940	1.0	1.0	collinear
gene:TraesCS4B03G0000200	Chr4B	228946	232186	+	230566	Chr4B	639854	643094	+	641474	1.0	1.0	collinear
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	643269	644872	-	644070	1.0	1.0	collinear
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	645219	646816	-	646017	1.0	1.0	collinear
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	1142244	1146231	+	1144237	1.0	1.0	collinear
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	1147108	1151223	-	1149165	1.0	1.0	collinear
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	1201532	1202749	+	1202140	1.0	1.0	collinear
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	1203700	1209008	-	1206354	1.0	1.0	collinear
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	1219517	1222735	+	1221126	1.0	1.0	collinear
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	1266404	1267021	+	1266712	1.0	1.0	collinear
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	1328589	1329215	-	1328902	1.0	1.0	collinear
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	1361336	1362328	-	1361832	1.0	1.0	collinear
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	1383542	1383934	+	1383738	1.0	0.997	collinear
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	1407024	1408642	+	1407833	1.0	1.0	collinear
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	1407173	1408540	-	1407856	1.0	1.0	collinear
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	1414339	1417618	+	1415978	1.0	1.0	collinear
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	1640093	1642106	+	1641099	1.0	1.0	collinear
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	1653980	1654900	+	1654440	1.0	1.0	collinear
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	1656523	1658250	-	1657386	1.0	1.0	collinear
gene:TraesCS4B03G0002700	Chr4B	1144783	1145893	+	1145338	Chr4B	1659919	1661029	+	1660474	1.0	1.0	collinear
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	1806794	1808566	+	1807680	1.0	1.0	collinear
gene:TraesCS4B03G0003100	Chr4B	1304995	1306038	+	1305516	Chr4B	1820071	1821114	+	1820592	1.0	1.0	collinear
gene:TraesCS4B03G0003200	Chr4B	1322700	1324740	+	1323720	Chr4B	1837776	1839816	+	1838796	1.0	1.0	collinear
gene:TraesCS4B03G0003300	Chr4B	1336993	1338899	+	1337946	Chr4B	1852069	1853975	+	1853022	1.0	1.0	collinear
gene:TraesCS4B03G0003400	Chr4B	1351991	1352386	-	1352188	Chr4B	1867067	1867462	-	1867264	1.0	1.0	collinear
gene:TraesCS4B03G0003600	Chr4B	1386123	1388841	+	1387482	Chr4B	1900967	1903685	+	1902326	1.0	1.0	collinear
gene:TraesCS4B03G0003700	Chr4B	1405651	1408832	+	1407241	Chr4B	1920495	1923676	+	1922085	1.0	1.0	collinear
gene:TraesCS4B03G0003800	Chr4B	1685750	1687075	+	1686412	Chr4B	2751336	2752661	+	2751998	1.0	1.0	collinear
gene:TraesCS4B03G0004200	Chr4B	1757457	1761476	+	1759466	Chr4B	2822494	2826513	+	2824503	1.0	1.0	collinear
gene:TraesCS4B03G0004300	Chr4B	1762923	1767453	+	1765188	Chr4B	2827960	2832362	+	2830161	1.0	1.0	collinear
gene:TraesCS4B03G0004400	Chr4B	1769850	1774224	+	1772037	Chr4B	2834605	2838979	+	2836792	1.0	1.0	collinear
gene:TraesCS4B03G0004500	Chr4B	1775068	1779099	+	1777083	Chr4B	2839823	2843854	+	2841838	1.0	1.0	collinear
gene:TraesCS4B03G0004900	Chr4B	1839220	1843075	+	1841147	Chr4B	2903963	2907818	+	2905890	1.0	1.0	collinear
gene:TraesCS4B03G0005100	Chr4B	1966977	1971429	-	1969203	Chr4B	3031717	3036169	-	3033943	1.0	1.0	collinear
gene:TraesCS4B03G0005300	Chr4B	2021348	2025490	-	2023419	Chr4B	3085887	3090029	-	3087958	1.0	1.0	collinear
gene:TraesCS4B03G0005400	Chr4B	2134054	2136160	+	2135107	Chr4B	3300316	3302422	+	3301369	1.0	1.0	collinear
gene:TraesCS4B03G0006400	Chr4B	2318788	2320128	-	2319458	Chr4B	3485081	3486421	-	3485751	1.0	1.0	collinear
gene:TraesCS4B03G0006600	Chr4B	2361690	2362465	-	2362077	Chr4B	3527999	3528774	-	3528386	1.0	1.0	collinear
gene:TraesCS4B03G0007000	Chr4B	2416943	2418089	+	2417516	Chr4B	3583259	3584405	+	3583832	1.0	1.0	collinear
gene:TraesCS4B03G0007500	Chr4B	2443066	2488821	+	2465943	Chr4B	3609383	3655139	+	3632261	1.0	1.0	collinear
gene:TraesCS4B03G0007800	Chr4B	3611489	3612627	+	3612058	Chr4B	5532044	5533182	-	5532613	1.0	1.0	collinear
gene:TraesCS4B03G0008000	Chr4B	3629912	3630922	-	3630417	Chr4B	5514053	5515063	+	5514558	1.0	1.0	collinear
gene:TraesCS4B03G0008500	Chr4B	3739290	3747740	+	3743515	Chr4B	4796291	4800328	+	4798309	1.0	0.999	collinear
gene:TraesCS4B03G0008700	Chr4B	3827314	3833721	+	3830517	Chr4B	4871556	4877963	+	4874759	1.0	1.0	collinear
gene:TraesCS4B03G0008800	Chr4B	3842707	3849034	+	3845870	Chr4B	4887137	4893464	+	4890300	1.0	1.0	collinear
gene:TraesCS4B03G0009100	Chr4B	3859442	3864519	+	3861980	Chr4B	4903683	4908661	+	4906172	1.0	1.0	collinear
gene:TraesCS4B03G0009200	Chr4B	3875185	3875885	+	3875535	Chr4B	4919327	4920027	+	4919677	1.0	1.0	collinear
gene:TraesCS4B03G0009300	Chr4B	3880766	3883099	+	3881932	Chr4B	4924908	4927108	+	4926008	1.0	1.0	collinear
gene:TraesCS4B03G0009600	Chr4B	4394789	4395654	-	4395221	Chr4B	5450416	5451281	-	5450848	1.0	1.0	collinear
gene:TraesCS4B03G0010100	Chr4B	4628508	4631877	-	4630192	Chr4B	5766002	5769371	-	5767686	1.0	1.0	collinear
gene:TraesCS4B03G0010200	Chr4B	4649709	4654096	+	4651902	Chr4B	5787205	5791592	+	5789398	1.0	1.0	collinear
gene:TraesCS4B03G0010400	Chr4B	4694467	4701478	+	4697972	Chr4B	5831986	5838996	+	5835491	1.0	1.0	collinear
gene:TraesCS4B03G0010500	Chr4B	4702115	4703499	+	4702807	Chr4B	5839633	5841017	+	5840325	1.0	1.0	collinear
gene:TraesCS4B03G0010600	Chr4B	4704103	4704905	+	4704504	Chr4B	5841621	5842423	+	5842022	1.0	1.0	collinear
gene:TraesCS4B03G0010700	Chr4B	4748349	4751329	-	4749839	Chr4B	5885856	5888836	-	5887346	1.0	1.0	collinear
gene:TraesCS4B03G0010800	Chr4B	4757354	4758546	-	4757950	Chr4B	5988810	5990002	-	5989406	1.0	1.0	collinear
gene:TraesCS4B03G0011200	Chr4B	5005176	5006735	+	5005955	Chr4B	6142468	6144027	+	6143247	1.0	1.0	collinear
gene:TraesCS4B03G0011300	Chr4B	5013958	5015724	-	5014841	Chr4B	6151250	6153016	-	6152133	1.0	1.0	collinear
gene:TraesCS4B03G0011400	Chr4B	5016147	5018598	+	5017372	Chr4B	6153439	6155890	+	6154664	1.0	1.0	collinear
gene:TraesCS4B03G0011500	Chr4B	5038625	5040507	-	5039566	Chr4B	6175590	6177261	-	6176425	1.0	1.0	collinear
gene:TraesCS4B03G0011700	Chr4B	5043923	5045938	+	5044930	Chr4B	6180677	6182692	+	6181684	1.0	1.0	collinear
gene:TraesCS4B03G0011800	Chr4B	5050011	5052020	-	5051015	Chr4B	6186649	6188658	-	6187653	1.0	1.0	collinear
gene:TraesCS4B03G0012100	Chr4B	5077523	5082200	+	5079861	Chr4B	6213442	6218119	+	6215780	1.0	1.0	collinear
