gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity
gene:TraesCS7D03G0065000	Chr7D	14960744	14962414	-	14961579	Chr7D	16003389	16005059	-	16004224	1.0	0.991
gene:TraesCS7D03G0065100	Chr7D	14966230	14977061	+	14971645	Chr7D	16016027	16026957	+	16021492	1.0	0.998
gene:TraesCS7D03G0065400	Chr7D	15087216	15092118	-	15089667	Chr7D	16131161	16135078	-	16133119	0.992	0.978
gene:TraesCS7D03G0065600	Chr7D	15126723	15129609	+	15128166	Chr7D	16156717	16159602	+	16158159	1.0	0.994
gene:TraesCS7D03G0065700	Chr7D	15131124	15133361	+	15132242	Chr7D	16161115	16163462	+	16162288	1.0	0.992
gene:TraesCS7D03G0066000	Chr7D	15311814	15312611	-	15312212	Chr7D	16414935	16415732	-	16415333	1.0	0.994
gene:TraesCS7D03G0066200	Chr7D	15348424	15350106	-	15349265	Chr7D	16434242	16435924	-	16435083	1.0	0.998
gene:TraesCS7D03G0066300	Chr7D	15365029	15369729	+	15367379	Chr7D	16450603	16455316	+	16452959	1.0	0.999
gene:TraesCS7D03G0066400	Chr7D	15408314	15413018	-	15410666	Chr7D	16493869	16498571	-	16496220	1.0	0.998
gene:TraesCS7D03G0067400	Chr7D	15841383	15843068	+	15842225	Chr7D	16926759	16928444	+	16927601	1.0	1.0
gene:TraesCS7D03G0067700	Chr7D	16148020	16149121	-	16148570	Chr7D	17248724	17249825	-	17249274	1.0	1.0
gene:TraesCS7D03G0068000	Chr7D	16298182	16301159	-	16299670	Chr7D	17537864	17540835	-	17539349	1.0	0.998
gene:TraesCS7D03G0068100	Chr7D	16346353	16351684	+	16349018	Chr7D	17580260	17585591	+	17582925	1.0	0.999
gene:TraesCS7D03G0068400	Chr7D	16419327	16428378	+	16423852	Chr7D	17653266	17662317	+	17657791	1.0	0.999
gene:TraesCS7D03G0068500	Chr7D	16429515	16430663	-	16430089	Chr7D	17663454	17664602	-	17664028	1.0	1.0
gene:TraesCS7D03G0068700	Chr7D	16452606	16453139	-	16452872	Chr7D	17685826	17686359	-	17686092	1.0	1.0
gene:TraesCS7D03G0069100	Chr7D	16618989	16620080	-	16619534	Chr7D	17836682	17837773	-	17837227	1.0	1.0
gene:TraesCS7D03G0069400	Chr7D	16678560	16680595	-	16679577	Chr7D	17892599	17894634	-	17893616	1.0	1.0
gene:TraesCS7D03G0069600	Chr7D	16713255	16714683	+	16713969	Chr7D	17927166	17928594	+	17927880	1.0	1.0
gene:TraesCS7D03G0069800	Chr7D	16729932	16731237	+	16730584	Chr7D	17943859	17945164	+	17944511	1.0	0.995
gene:TraesCS7D03G0070100	Chr7D	16779661	16783661	+	16781661	Chr7D	17991166	17995166	+	17993166	1.0	0.999
gene:TraesCS7D03G0070200	Chr7D	16814440	16818720	+	16816580	Chr7D	18025578	18029858	+	18027718	1.0	0.998
gene:TraesCS7D03G0070500	Chr7D	16881401	16896854	-	16889127	Chr7D	18090331	18105574	-	18097952	1.0	1.0
gene:TraesCS7D03G0071000	Chr7D	16941600	16946497	-	16944048	Chr7D	18148655	18153552	-	18151103	1.0	1.0
gene:TraesCS7D03G0071600	Chr7D	17194854	17195657	-	17195255	Chr7D	18419121	18419924	-	18419522	1.0	1.0
gene:TraesCS7D03G0071900	Chr7D	17202707	17203487	-	17203097	Chr7D	18462529	18463309	-	18462919	1.0	1.0
gene:TraesCS7D03G0072000	Chr7D	17204669	17205019	-	17204844	Chr7D	18464491	18464841	-	18464666	1.0	1.0
gene:TraesCS7D03G0072600	Chr7D	17366841	17368580	+	17367710	Chr7D	18654606	18656345	+	18655475	1.0	1.0
gene:TraesCS7D03G0072700	Chr7D	17379396	17380250	-	17379823	Chr7D	18666556	18667410	-	18666983	1.0	1.0
gene:TraesCS7D03G0072800	Chr7D	17392558	17393400	-	17392979	Chr7D	18679438	18680280	-	18679859	1.0	1.0
gene:TraesCS7D03G0072900	Chr7D	17396302	17399831	+	17398066	Chr7D	18683182	18686711	+	18684946	1.0	1.0
