gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity	segment
gene:TraesCS3B03G0000300	Chr3B	73825	74249	-	74037	Chr3B	59887	60311	-	60099	1.0	0.995	collinear
gene:TraesCS3B03G0000600	Chr3B	239266	241105	+	240185	Chr3B	203831	205696	+	204763	0.994	0.974	collinear
gene:TraesCS3B03G0000700	Chr3B	244156	244849	+	244502	Chr3B	208739	209432	+	209085	1.0	0.989	collinear
gene:TraesCS3B03G0000800	Chr3B	246094	246695	-	246394	Chr3B	210666	211213	-	210939	1.0	0.973	collinear
gene:TraesCS3B03G0000900	Chr3B	268852	271443	-	270147	Chr3B	233028	235577	-	234302	0.972	0.945	collinear
gene:TraesCS3B03G0001000	Chr3B	375283	376618	+	375950	Chr3B	359753	361084	+	360418	0.997	0.994	collinear
gene:TraesCS3B03G0001100	Chr3B	388009	388991	+	388500	Chr3B	363733	364718	+	364225	1.0	0.991	collinear
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	1050760	1055710	-	1053235	0.977	0.925	collinear
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	1366634	1370564	-	1368599	0.999	0.982	collinear
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	1613037	1617407	+	1615222	0.994	0.99	collinear
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	1759593	1762726	-	1761159	1.0	0.999	collinear
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	1804584	1808867	-	1806725	1.0	1.0	collinear
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	1812454	1814053	+	1813253	1.0	1.0	collinear
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	2288674	2290102	+	2289388	1.0	0.999	collinear
gene:TraesCS3B03G0005200	Chr3B	2238754	2241107	-	2239930	Chr3B	2297837	2300190	-	2299013	1.0	1.0	collinear
gene:TraesCS3B03G0005300	Chr3B	2251630	2253405	-	2252517	Chr3B	2310720	2312495	-	2311607	1.0	0.997	collinear
gene:TraesCS3B03G0006100	Chr3B	2390285	2392680	-	2391482	Chr3B	2383407	2385803	+	2384605	1.0	0.994	collinear
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	2357608	2366284	-	2361946	0.995	0.989	collinear
gene:TraesCS3B03G0006500	Chr3B	2431101	2434170	+	2432635	Chr3B	2346684	2349754	-	2348219	1.0	0.997	collinear
gene:TraesCS3B03G0006600	Chr3B	2442622	2445483	+	2444052	Chr3B	2335730	2338587	-	2337158	0.995	0.991	collinear
gene:TraesCS3B03G0006700	Chr3B	2457176	2459341	+	2458258	Chr3B	2321936	2324099	-	2323017	1.0	0.992	collinear
gene:TraesCS3B03G0007900	Chr3B	2607986	2611253	+	2609619	Chr3B	2577903	2581586	+	2579744	1.0	0.983	collinear
gene:TraesCS3B03G0008000	Chr3B	2618273	2621910	+	2620091	Chr3B	2588672	2592317	+	2590494	1.0	0.992	collinear
