gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity
gene:TraesCS3B03G0000300	Chr3B	73825	74249	-	74037	Chr3B	3203573	3203997	+	3203785	1.0	0.995
gene:TraesCS3B03G0000600	Chr3B	239266	241105	+	240185	Chr3B	3059334	3061199	-	3060266	0.994	0.973
gene:TraesCS3B03G0000700	Chr3B	244156	244849	+	244502	Chr3B	3055598	3056291	-	3055944	1.0	0.989
gene:TraesCS3B03G0000800	Chr3B	246094	246695	-	246394	Chr3B	3053823	3054364	+	3054093	1.0	0.973
gene:TraesCS3B03G0000900	Chr3B	268852	271443	-	270147	Chr3B	3029365	3031914	+	3030639	0.972	0.944
gene:TraesCS3B03G0001000	Chr3B	375283	376618	+	375950	Chr3B	2900218	2901549	-	2900883	0.997	0.994
gene:TraesCS3B03G0001100	Chr3B	388009	388991	+	388500	Chr3B	2896482	2897467	-	2896974	1.0	0.991
gene:TraesCS3B03G0002800	Chr3B	855999	856555	+	856277	Chr3B	2238325	2238877	-	2238601	0.977	0.94
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	2230773	2235723	+	2233248	0.977	0.925
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	1915413	1919343	+	1917378	0.999	0.982
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	1685035	1689405	-	1687220	0.994	0.99
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	1613052	1616347	+	1614699	0.998	0.994
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	1538967	1542100	+	1540533	1.0	0.999
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	1492970	1497253	+	1495111	1.0	1.0
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	1487785	1489384	-	1488584	1.0	1.0
