gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_v2.1_tgt_chr	CS_v2.1_tgt_start	CS_v2.1_tgt_end	CS_v2.1_tgt_strand	CS_v2.1_tgt_midpoint	CS_v2.1_coverage	CS_v2.1_identity	segment
gene:TraesCS7B02G129600	Chr7B	155466822	155468828	+	155467825	Chr7B	169131305	169133311	+	169132308	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G129700	Chr7B	155469830	155479020	-	155474425	Chr7B	169134313	169143503	-	169138908	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G129800	Chr7B	155897075	155907514	-	155902294	Chr7B	169558653	169569092	-	169563872	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G129900	Chr7B	156419077	156431967	+	156425522	Chr7B	170079917	170092807	+	170086362	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G130000	Chr7B	156625396	156631991	+	156628693	Chr7B	170284965	170291560	+	170288262	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G130100	Chr7B	156632375	156632695	-	156632535	Chr7B	170291944	170292264	-	170292104	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G130200	Chr7B	156681110	156685077	+	156683093	Chr7B	170339788	170343755	+	170341771	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G130300	Chr7B	156704042	156708118	+	156706080	Chr7B	170362720	170366796	+	170364758	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G130400	Chr7B	156752560	156756552	-	156754556	Chr7B	170411238	170415230	-	170413234	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G130500	Chr7B	156946722	156967606	+	156957164	Chr7B	170605088	170625379	+	170615233	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G130600	Chr7B	157216608	157219667	-	157218137	Chr7B	170873043	170876102	-	170874572	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G130700	Chr7B	157674223	157684150	+	157679186	Chr7B	171329941	171339635	+	171334788	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G130800	Chr7B	157687777	157689540	+	157688658	Chr7B	171343262	171345025	+	171344143	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G130900	Chr7B	157808448	157809668	+	157809058	Chr7B	171460956	171462176	+	171461566	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G131000	Chr7B	158073628	158076852	+	158075240	Chr7B	171724862	171728086	+	171726474	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G131100	Chr7B	158168385	158174065	+	158171225	Chr7B	171819166	171824846	+	171822006	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G131200	Chr7B	158174562	158183596	-	158179079	Chr7B	171825343	171834376	-	171829859	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G131300	Chr7B	158186140	158186980	-	158186560	Chr7B	171836640	171837480	-	171837060	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G131400	Chr7B	158367322	158393174	-	158380248	Chr7B	172016477	172042109	-	172029293	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G131500	Chr7B	158552585	158555331	-	158553958	Chr7B	172199187	172201641	-	172200414	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G131600	Chr7B	158937105	158937347	+	158937226	Chr7B	172582433	172582675	+	172582554	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G131700	Chr7B	159136977	159142774	+	159139875	Chr7B	172781758	172787555	+	172784656	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G131800	Chr7B	159505560	159508304	+	159506932	Chr7B	173148634	173151378	+	173150006	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G131900	Chr7B	159509775	159516122	+	159512948	Chr7B	173152849	173159196	+	173156022	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G132000	Chr7B	159516261	159520815	-	159518538	Chr7B	173159335	173163889	-	173161612	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G132100	Chr7B	159524893	159529135	-	159527014	Chr7B	173167967	173172209	-	173170088	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G132300	Chr7B	161191831	161196107	+	161193969	Chr7B	174829178	174833454	+	174831316	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G132400	Chr7B	161196311	161197864	-	161197087	Chr7B	174833658	174835211	-	174834434	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G132500	Chr7B	161239512	161241436	+	161240474	Chr7B	174876859	174878783	+	174877821	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G132600	Chr7B	161444294	161448455	+	161446374	Chr7B	175081323	175085484	+	175083403	1.0	0.998	rearrangement:Chr7B_block1
gene:TraesCS7B02G132700	Chr7B	161514487	161516281	-	161515384	Chr7B	175151387	175153181	-	175152284	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G132800	Chr7B	161647652	161653370	+	161650511	Chr7B	175283331	175289049	+	175286190	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G132900	Chr7B	161653647	161658519	-	161656083	Chr7B	175289326	175294198	-	175291762	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G133000	Chr7B	161776233	161780196	+	161778214	Chr7B	175411741	175415704	+	175413722	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G133100	Chr7B	162078769	162082296	-	162080532	Chr7B	175713213	175716740	-	175714976	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G133200	Chr7B	162090161	162099982	-	162095071	Chr7B	175724443	175734076	-	175729259	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G133300	Chr7B	162113319	162114854	-	162114086	Chr7B	175747413	175748948	-	175748180	1.0	1.0	rearrangement:Chr7B_block1
gene:TraesCS7B02G133400	Chr7B	162115008	162126238	-	162120623	Chr7B	175749102	175760332	-	175754717	1.0	1.0	rearrangement:Chr7B_block1
