gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity	segment
gene:TraesCS1B03G0002100	Chr1B	1200778	1204863	-	1202820	Chr1B	1558285	1562237	-	1560261	0.992	0.96	collinear
gene:TraesCS1B03G0002200	Chr1B	1237000	1244167	+	1240583	Chr1B	1566067	1573417	+	1569742	0.97	0.937	collinear
gene:TraesCS1B03G0002400	Chr1B	1247087	1248968	+	1248027	Chr1B	1576281	1578152	+	1577216	1.0	0.991	collinear
gene:TraesCS1B03G0002500	Chr1B	1254021	1254909	-	1254465	Chr1B	1684336	1685224	-	1684780	1.0	0.962	collinear
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	1687592	1689975	+	1688783	1.0	0.999	collinear
gene:TraesCS1B03G0003100	Chr1B	1407228	1410094	-	1408661	Chr1B	1690772	1693644	-	1692208	1.0	0.992	collinear
gene:TraesCS1B03G0003200	Chr1B	1411477	1414749	-	1413113	Chr1B	1709470	1712607	-	1711038	0.997	0.98	collinear
gene:TraesCS1B03G0003300	Chr1B	1417992	1424275	-	1421133	Chr1B	1715989	1722246	-	1719117	0.996	0.994	collinear
gene:TraesCS1B03G0003400	Chr1B	1457859	1460957	+	1459408	Chr1B	1755840	1758966	+	1757403	1.0	0.999	collinear
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	1807850	1819673	-	1813761	1.0	1.0	collinear
gene:TraesCS1B03G0004000	Chr1B	1671721	1675652	-	1673686	Chr1B	1969844	1973775	-	1971809	1.0	1.0	collinear
gene:TraesCS1B03G0004100	Chr1B	1692906	1701917	-	1697411	Chr1B	1991027	2000039	-	1995533	1.0	1.0	collinear
gene:TraesCS1B03G0004400	Chr1B	1715344	1720242	-	1717793	Chr1B	2013466	2018363	-	2015914	1.0	0.996	collinear
gene:TraesCS1B03G0004700	Chr1B	1765180	1770270	+	1767725	Chr1B	2063303	2068402	+	2065852	1.0	0.999	collinear
gene:TraesCS1B03G0005100	Chr1B	1793871	1797954	-	1795912	Chr1B	2092003	2096085	-	2094044	1.0	1.0	collinear
gene:TraesCS1B03G0005300	Chr1B	1804328	1805251	-	1804789	Chr1B	2102459	2103382	-	2102920	1.0	1.0	collinear
gene:TraesCS1B03G0005500	Chr1B	1812059	1815337	-	1813698	Chr1B	2110190	2113468	-	2111829	1.0	0.997	collinear
gene:TraesCS1B03G0005600	Chr1B	1829519	1834861	-	1832190	Chr1B	2127651	2132993	-	2130322	1.0	1.0	collinear
gene:TraesCS1B03G0005800	Chr1B	1923843	1927998	-	1925920	Chr1B	2221467	2225622	-	2223544	1.0	1.0	collinear
gene:TraesCS1B03G0006100	Chr1B	1955887	1957879	+	1956883	Chr1B	2252799	2254791	+	2253795	1.0	1.0	collinear
gene:TraesCS1B03G0006200	Chr1B	2028942	2032657	-	2030799	Chr1B	2309445	2313160	-	2311302	1.0	1.0	collinear
gene:TraesCS1B03G0006500	Chr1B	2078159	2090731	-	2084445	Chr1B	2358538	2371110	-	2364824	1.0	1.0	collinear
gene:TraesCS1B03G0006600	Chr1B	2100932	2113189	-	2107060	Chr1B	2381311	2393568	-	2387439	1.0	0.999	collinear
gene:TraesCS1B03G0006700	Chr1B	2125041	2136120	-	2130580	Chr1B	2405207	2416287	-	2410747	1.0	1.0	collinear
gene:TraesCS1B03G0006800	Chr1B	2142910	2143779	-	2143344	Chr1B	2423076	2423945	-	2423510	1.0	1.0	collinear
gene:TraesCS1B03G0007200	Chr1B	2252792	2256718	+	2254755	Chr1B	2532483	2536409	+	2534446	1.0	0.999	collinear
gene:TraesCS1B03G0007300	Chr1B	2259882	2260734	-	2260308	Chr1B	2539572	2540424	-	2539998	1.0	1.0	collinear
gene:TraesCS1B03G0007700	Chr1B	2299260	2300303	+	2299781	Chr1B	2578952	2579995	+	2579473	1.0	1.0	collinear
gene:TraesCS1B03G0008000	Chr1B	2327143	2333719	-	2330431	Chr1B	2606836	2613412	-	2610124	1.0	0.999	collinear
gene:TraesCS1B03G0008600	Chr1B	2380688	2383732	-	2382210	Chr1B	3028852	3031895	-	3030373	1.0	0.999	collinear
gene:TraesCS1B03G0008700	Chr1B	2563615	2566164	-	2564889	Chr1B	3204356	3206905	-	3205630	1.0	1.0	collinear
gene:TraesCS1B03G0008800	Chr1B	2661258	2662527	+	2661892	Chr1B	3254849	3256118	+	3255483	1.0	0.998	collinear
gene:TraesCS1B03G0008900	Chr1B	2661462	2662433	+	2661947	Chr1B	3255053	3256024	+	3255538	1.0	0.997	collinear
