cs_chr	cs_start	cs_end	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	n_anchors	mean_identity
Chr7B	324796789	326779654	Chr7B	313174089	315053788	5	0.9997999999999999
Chr7B	327149605	342648507	Chr7B	351888112	367344569	33	0.9997575757575758
Chr7B	354629255	360832897	Chr7B	342528911	348688853	8	0.99975
Chr7B	346526837	350196935	Chr7B	327592344	338017350	6	0.9991666666666666
Chr7B	362128535	368490167	Chr7B	330905165	337236697	13	0.9999230769230769
Chr7B	34602	183070778	Chr7B	45754	183075267	1337	0.9960583395661929
Chr7B	185568431	270327906	Chr7B	185534616	269930632	382	0.9988638743455497
Chr7B	275290836	279527272	Chr7B	274937763	279137453	8	0.9998750000000001
Chr7B	283870188	293144785	Chr7B	284194051	293388110	16	0.9974375
Chr7B	295582888	302102253	Chr7B	295806415	302301783	11	0.9997272727272729
Chr7B	305617144	309173262	Chr7B	304034821	307582403	7	0.9992857142857143
Chr7B	311571913	321770729	Chr7B	315913880	325715011	19	0.9997368421052633
Chr7B	343118388	344172727	Chr7B	340341802	341381356	5	1.0
Chr7B	368970531	393308791	Chr7B	367846651	392941532	122	0.9987459016393443
Chr7B	396179589	410599513	Chr7B	395808243	409801609	52	0.9998269230769231
Chr7B	413179671	423778078	Chr7B	412377605	422943478	45	0.999488888888889
Chr7B	425791676	545780843	Chr7B	424927695	545543054	780	0.9992858974358975
Chr7B	547795684	756980467	Chr7B	547539001	756415554	1584	0.9929419191919193
Chr7B	761472082	763842288	Chr7B	756918366	759901267	25	0.9631200000000001
Chr7B	679329826	679703918	Chr7B	669739009	670112437	6	0.9998333333333332
