gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS3A02G000200	Chr3A	41683	44884	-	43283	Chr3A	1716632	1719829	+	1718230	1.0	0.989	collinear
gene:TraesCS3A02G000500	Chr3A	129964	132254	-	131109	Chr3A	1616855	1618824	+	1617839	1.0	0.981	collinear
gene:TraesCS3A02G000700	Chr3A	204727	208013	-	206370	Chr3A	1541755	1545040	+	1543397	1.0	0.996	collinear
gene:TraesCS3A02G000800	Chr3A	397801	400871	-	399336	Chr3A	1460755	1463825	+	1462290	0.997	0.965	collinear
gene:TraesCS3A02G000900	Chr3A	409621	416203	-	412912	Chr3A	1351508	1357502	+	1354505	0.954	0.905	collinear
gene:TraesCS3A02G001100	Chr3A	430147	432865	+	431506	Chr3A	1302093	1304851	-	1303472	1.0	0.958	collinear
gene:TraesCS3A02G001500	Chr3A	1028128	1031945	+	1030036	Chr3A	1164204	1167964	-	1166084	0.964	0.916	collinear
gene:TraesCS3A02G001600	Chr3A	1055242	1059496	-	1057369	Chr3A	1127862	1131594	+	1129728	0.999	0.969	collinear
gene:TraesCS3A02G001700	Chr3A	1304381	1309289	+	1306835	Chr3A	471100	476075	-	473587	0.998	0.939	collinear
gene:TraesCS3A02G001800	Chr3A	1313066	1315898	-	1314482	Chr3A	462495	465310	+	463902	0.979	0.955	collinear
gene:TraesCS3A02G001900	Chr3A	1325708	1326744	-	1326226	Chr3A	417531	418564	+	418047	0.997	0.994	collinear
gene:TraesCS3A02G002100	Chr3A	1380918	1383491	+	1382204	Chr3A	409964	412522	-	411243	0.994	0.983	collinear
gene:TraesCS3A02G002200	Chr3A	1389037	1389428	-	1389232	Chr3A	403804	404194	+	403999	1.0	0.996	collinear
gene:TraesCS3A02G002300	Chr3A	1392585	1394247	-	1393416	Chr3A	398909	400582	+	399745	0.999	0.977	collinear
gene:TraesCS3A02G002400	Chr3A	1514278	1514782	+	1514530	Chr3A	2294429	2294936	+	2294682	1.0	0.98	collinear
gene:TraesCS3A02G002500	Chr3A	1519343	1519759	+	1519551	Chr3A	2300771	2301187	+	2300979	1.0	1.0	collinear
