cs_chr	cs_start	cs_end	CS_IAAS_tgt_chr	CS_IAAS_tgt_start	CS_IAAS_tgt_end	n_anchors	mean_identity
Chr4B	230	86155240	Chr4B	298387	87934696	833	0.9996002400960384
Chr4B	88370406	155154630	Chr4B	90145098	156752249	393	0.999852417302799
Chr4B	157172475	164642854	Chr4B	158750988	166193397	12	1.0
Chr4B	167236891	207224234	Chr4B	168777138	209632897	181	0.999585635359116
Chr4B	212453315	226695727	Chr4B	214827175	228988701	38	0.999421052631579
Chr4B	229815313	233299063	Chr4B	232098592	235570573	4	0.9995
Chr4B	236068374	255905796	Chr4B	242182494	263385777	21	0.999952380952381
Chr4B	258340474	259633738	Chr4B	265823137	267115788	4	1.0
Chr4B	264840064	273673527	Chr4B	272299379	281402123	14	0.9995714285714286
Chr4B	275687277	282555008	Chr4B	283896307	290931677	10	1.0
Chr4B	285233326	286424153	Chr4B	293603120	294787837	5	1.0
Chr4B	291502685	291547670	Chr4B	301337072	301381522	4	1.0
Chr4B	294688008	296591676	Chr4B	304507884	306437868	4	1.0
Chr4B	299196258	302476126	Chr4B	309032844	313111204	5	1.0
Chr4B	305087497	317325008	Chr4B	315135198	327304326	33	0.9997878787878788
Chr4B	322209821	324516341	Chr4B	336217692	338511409	6	1.0
Chr4B	326650034	330229225	Chr4B	340634589	344201408	8	0.999875
Chr4B	332805993	335355652	Chr4B	346695746	349236867	5	1.0
Chr4B	337825898	351612341	Chr4B	351702869	365427788	21	1.0
Chr4B	357330117	428374125	Chr4B	371157279	443572230	342	0.9999619883040934
Chr4B	430804721	673727606	Chr4B	445994346	696860228	1903	0.9997157120336312
